Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Red Buff,S,4.03,-0.47,23.1%,1349,0.2%,Xayah | Vex | Kindred | Jinx | Jhin
Radiant Hextech Gunblade,S,4.11,-0.39,16.0%,338,0.1%,Vex | LeBlanc | Aurelion Sol | Bard | Gwen
Radiant Ionic Spark,S,4.14,-0.36,21.3%,94,0.0%,Blitzcrank | Nunu & Willump | Illaoi | Tahm Kench | Ornn
Radiant Last Whisper,S,4.14,-0.36,15.2%,461,0.1%,Corki | Kindred | Samira | Xayah | Jhin
Radiant Warmog's Armor,S,4.15,-0.35,13.8%,1549,0.3%,Ornn | Cho'Gath | Nunu & Willump | Tahm Kench | Rammus
Radiant Thief's Gloves,S,4.16,-0.34,14.7%,5016,0.9%,Blitzcrank | Fiora | Riven | Shen | Graves
Radiant Evenshroud,S,4.17,-0.33,12.4%,105,0.0%,Tahm Kench | Ornn | Rammus | Nunu & Willump | Maokai
Radiant Rabadon's Deathcap,A,4.23,-0.27,14.3%,2227,0.4%,Aurelion Sol | Vex | Bard | Nami | LeBlanc
Radiant Deathblade,A,4.24,-0.26,13.6%,4617,0.8%,Corki | Miss Fortune | Samira | Graves | Jhin
Radiant Hand of Justice,A,4.28,-0.22,12.6%,461,0.1%,Pyke | Riven | Fiora | Gwen | Gragas
Radiant Giant Slayer,A,4.29,-0.21,13.3%,3563,0.6%,Master Yi | Vex | Corki | Graves | Xayah
Radiant Sterak's Gage,B,4.31,-0.19,13.4%,462,0.1%,Fiora | Graves | Riven | Master Yi | The Mighty Mech
Radiant Titan's Resolve,B,4.32,-0.18,13.6%,568,0.1%,Diana | Master Yi | Riven | Jax | Fiora
Radiant Kraken's Fury,B,4.34,-0.16,19.2%,1493,0.3%,Xayah | Kindred | Jinx | Gnar | Miss Fortune
Radiant Blue Buff,B,4.34,-0.16,12.4%,549,0.1%,Corki | Sona | Nami | Lulu | Karma
Radiant Void Staff,B,4.35,-0.15,14.5%,490,0.1%,Vex | Bard | Sona | Karma | Nami
Radiant Infinity Edge,B,4.36,-0.14,14.7%,1418,0.2%,Miss Fortune | Graves | Samira | Jhin | Corki
Radiant Spear of Shojin,B,4.36,-0.14,17.8%,635,0.1%,Samira | Zed | Graves | Nami | Ezreal
Radiant Bloodthirster,B,4.38,-0.12,15.4%,389,0.1%,Riven | Diana | Fiora | Jax | Master Yi
Radiant Edge of Night,B,4.38,-0.12,13.1%,895,0.2%,Master Yi | Zed | Fiora | Pyke | Riven
Radiant Nashor's Tooth,B,4.39,-0.11,13.9%,1540,0.3%,Nami | Lulu | Lissandra | Karma | Sona
Radiant Morellonomicon,C,4.41,-0.09,16.6%,217,0.0%,Sona | Karma | Bard | Nami | Vex
Radiant Dragon's Claw,C,4.42,-0.08,11.5%,295,0.1%,Ornn | Cho'Gath | Leona | Rammus | Nunu & Willump
Radiant Striker's Flail,C,4.42,-0.08,11.7%,1192,0.2%,Corki | Graves | Miss Fortune | Vex | Jhin
Radiant Archangel's Staff,C,4.46,-0.04,13.8%,195,0.0%,Vex | Aurelion Sol | LeBlanc | Nami | Bard
Radiant Jeweled Gauntlet,C,4.46,-0.04,13.5%,2159,0.4%,Aurelion Sol | Nami | Vex | Bard | Lulu
Radiant Adaptive Helm,C,4.50,-0.00,14.4%,320,0.1%,Nunu & Willump | Cho'Gath | Ornn | Nami | Rammus
Radiant Bramble Vest,D,4.51,+0.01,9.0%,346,0.1%,Ornn | Rammus | Tahm Kench | Nunu & Willump | Illaoi
Radiant Spirit Visage,D,4.51,+0.01,12.5%,679,0.1%,Ornn | Nunu & Willump | Cho'Gath | Tahm Kench | Rammus
Radiant Protector's Vow,D,4.51,+0.01,15.3%,620,0.1%,Nunu & Willump | Rammus | Ornn | Cho'Gath | Tahm Kench
Radiant Sunfire Cape,D,4.56,+0.06,10.2%,215,0.0%,Ornn | Tahm Kench | Nunu & Willump | Rammus | Cho'Gath
Radiant Gargoyle Stoneplate,D,4.57,+0.07,13.8%,2715,0.5%,The Mighty Mech | Ornn | Leona | Rammus | Nunu & Willump
Radiant Quicksilver,D,4.59,+0.09,10.2%,402,0.1%,Master Yi | Graves | Fiora | Bel'Veth | Urgot
Radiant Crownguard,D,4.60,+0.10,12.2%,181,0.0%,Ornn | Rammus | Nunu & Willump | Tahm Kench | Jax
Radiant Steadfast Heart,D,4.70,+0.20,9.8%,193,0.0%,Ornn | Tahm Kench | Rammus | Nunu & Willump | Cho'Gath
Radiant Guinsoo's Rageblade,D,4.76,+0.26,12.7%,1876,0.3%,Vex | Xayah | LeBlanc | Miss Fortune | Graves
