Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Ionic Spark,S,3.57,-0.93,30.0%,30,0.0%,Blitzcrank | Illaoi | Leona | Nunu & Willump | The Mighty Mech
Radiant Last Whisper,S,3.88,-0.62,16.7%,108,0.1%,Corki | Kindred | Xayah | Jhin | Graves
Radiant Hextech Gunblade,S,4.02,-0.48,16.3%,104,0.1%,Vex | LeBlanc | Aurelion Sol | Bard | Gwen
Radiant Evenshroud,S,4.05,-0.45,25.0%,20,0.0%,Tahm Kench | Rammus | Ornn | Nunu & Willump | Maokai
Radiant Thief's Gloves,S,4.10,-0.40,15.4%,1356,0.9%,Blitzcrank | Fiora | Riven | Shen | Graves
Radiant Void Staff,S,4.18,-0.32,16.1%,112,0.1%,Vex | Bard | Sona | Aurelion Sol | Karma
Radiant Rabadon's Deathcap,A,4.21,-0.29,13.8%,587,0.4%,Aurelion Sol | Vex | Bard | LeBlanc | Nami
Radiant Kraken's Fury,A,4.23,-0.27,20.4%,456,0.3%,Xayah | Kindred | Jinx | Graves | Miss Fortune
Radiant Spear of Shojin,A,4.23,-0.27,15.9%,113,0.1%,Zed | Graves | Lulu | Corki | Ezreal
Radiant Deathblade,A,4.24,-0.26,14.4%,1146,0.8%,Corki | Miss Fortune | Graves | Xayah | Jhin
Radiant Red Buff,A,4.24,-0.26,20.6%,383,0.3%,Xayah | Vex | Kindred | Jinx | Jhin
Radiant Titan's Resolve,A,4.24,-0.26,16.0%,162,0.1%,Diana | Master Yi | Riven | Fiora | Jax
Radiant Bramble Vest,A,4.26,-0.24,12.5%,80,0.1%,Rammus | Tahm Kench | Nunu & Willump | Leona | Ornn
Radiant Archangel's Staff,A,4.28,-0.22,18.5%,65,0.0%,Vex | Aurelion Sol | LeBlanc | Bard | Nami
Radiant Bloodthirster,A,4.28,-0.22,16.3%,92,0.1%,Diana | Riven | Fiora | Jax | Master Yi
Radiant Giant Slayer,A,4.28,-0.22,13.3%,963,0.6%,Master Yi | Vex | Graves | Corki | Xayah
Radiant Hand of Justice,A,4.30,-0.20,14.1%,128,0.1%,Fiora | Riven | Pyke | Gwen | Gragas
Radiant Warmog's Armor,B,4.34,-0.16,15.1%,378,0.3%,Nunu & Willump | Leona | Ornn | Tahm Kench | Cho'Gath
Radiant Nashor's Tooth,B,4.35,-0.15,13.0%,386,0.3%,Lulu | Nami | Lissandra | Karma | Bard
Radiant Infinity Edge,B,4.38,-0.12,15.4%,325,0.2%,Miss Fortune | Jhin | Graves | Xayah | Corki
Radiant Morellonomicon,B,4.39,-0.11,15.9%,69,0.0%,Sona | Karma | Bard | Vex | Milio
Radiant Blue Buff,B,4.40,-0.10,16.0%,144,0.1%,Corki | Sona | Lulu | Nami | Karma
Radiant Spirit Visage,C,4.43,-0.07,13.2%,182,0.1%,Nunu & Willump | Ornn | Leona | Cho'Gath | Tahm Kench
Radiant Adaptive Helm,C,4.44,-0.06,13.9%,79,0.1%,Nunu & Willump | Leona | Cho'Gath | Bard | Rammus
Radiant Striker's Flail,C,4.48,-0.02,12.0%,333,0.2%,Corki | Graves | Miss Fortune | Vex | Jhin
Radiant Sterak's Gage,C,4.48,-0.02,10.8%,139,0.1%,Fiora | Graves | Riven | Master Yi | Urgot
Radiant Edge of Night,C,4.49,-0.01,11.6%,249,0.2%,Master Yi | Zed | Fiora | Pyke | Riven
Radiant Protector's Vow,C,4.49,-0.01,14.3%,175,0.1%,Nunu & Willump | Rammus | Leona | Cho'Gath | Tahm Kench
Radiant Quicksilver,D,4.55,+0.05,9.8%,122,0.1%,Master Yi | Graves | Bel'Veth | Fiora | Urgot
Radiant Gargoyle Stoneplate,D,4.60,+0.10,14.7%,651,0.4%,The Mighty Mech | Leona | Rammus | Nunu & Willump | Ornn
Radiant Jeweled Gauntlet,D,4.62,+0.12,9.6%,553,0.4%,Vex | Aurelion Sol | Bard | Nami | Lulu
Radiant Dragon's Claw,D,4.65,+0.15,10.3%,78,0.1%,Ornn | Leona | Nunu & Willump | Rammus | Tahm Kench
Radiant Crownguard,D,4.69,+0.19,18.4%,49,0.0%,Rammus | Ornn | Nunu & Willump | Tahm Kench | Jax
Radiant Sunfire Cape,D,4.71,+0.21,9.1%,55,0.0%,Ornn | Tahm Kench | Nunu & Willump | Rammus | Leona
Radiant Guinsoo's Rageblade,D,4.81,+0.31,10.5%,533,0.4%,Vex | Xayah | LeBlanc | Graves | Miss Fortune
Radiant Steadfast Heart,D,4.83,+0.33,7.7%,52,0.0%,Ornn | Rammus | Nunu & Willump | Tahm Kench | Leona
