Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Ionic Spark,S,3.80,-0.70,23.3%,86,0.0%,Illaoi | Blitzcrank | Nunu & Willump | Maokai | The Mighty Mech
Radiant Nashor's Tooth,S,4.00,-0.50,21.4%,1906,0.3%,Lulu | Lissandra | Nami | Karma | Aurelion Sol
Radiant Red Buff,S,4.07,-0.43,22.1%,967,0.2%,Xayah | Vex | Kindred | Corki | Jhin
Radiant Titan's Resolve,S,4.15,-0.35,16.8%,673,0.1%,Diana | Master Yi | Riven | Fiora | Jax
Radiant Rabadon's Deathcap,A,4.21,-0.29,16.1%,2573,0.4%,Aurelion Sol | Vex | Bard | LeBlanc | Karma
Radiant Hand of Justice,A,4.22,-0.28,15.0%,488,0.1%,Riven | Fiora | Master Yi | Gragas | Pyke
Radiant Blue Buff,A,4.25,-0.25,12.8%,687,0.1%,Corki | Karma | Lulu | Aurelion Sol | Kai'Sa
Radiant Evenshroud,A,4.25,-0.25,11.8%,102,0.0%,Tahm Kench | Rammus | The Mighty Mech | Maokai | Nunu & Willump
Radiant Thief's Gloves,A,4.26,-0.24,14.5%,5115,0.8%,Blitzcrank | Riven | Fiora | Shen | Graves
Radiant Archangel's Staff,A,4.28,-0.22,18.0%,194,0.0%,Aurelion Sol | Vex | LeBlanc | Bard | Karma
Radiant Deathblade,A,4.29,-0.21,11.9%,6509,1.1%,Corki | Graves | Jhin | Xayah | Miss Fortune
Radiant Striker's Flail,A,4.30,-0.20,10.8%,1709,0.3%,Corki | Graves | Jhin | Vex | Aurelion Sol
Radiant Giant Slayer,B,4.31,-0.19,12.5%,4320,0.7%,Master Yi | Corki | Vex | Graves | Xayah
Radiant Bloodthirster,B,4.31,-0.19,13.0%,446,0.1%,Diana | Riven | Fiora | Master Yi | Jax
Radiant Jeweled Gauntlet,B,4.32,-0.18,14.6%,2392,0.4%,Aurelion Sol | Vex | Lulu | Bard | Karma
Radiant Void Staff,B,4.33,-0.17,17.1%,427,0.1%,Vex | Karma | Aurelion Sol | Bard | Nami
Radiant Hextech Gunblade,B,4.36,-0.14,16.5%,412,0.1%,Vex | Aurelion Sol | LeBlanc | Bard | Karma
Radiant Edge of Night,B,4.37,-0.13,14.0%,1059,0.2%,Master Yi | Zed | Fiora | Riven | Diana
Radiant Sterak's Gage,B,4.38,-0.12,15.3%,502,0.1%,Fiora | Riven | Graves | Master Yi | Briar
Radiant Dragon's Claw,B,4.38,-0.12,12.8%,188,0.0%,Nunu & Willump | Rammus | Cho'Gath | Tahm Kench | Ornn
Radiant Gargoyle Stoneplate,C,4.40,-0.10,14.9%,2281,0.4%,The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench | Jax
Radiant Kraken's Fury,C,4.42,-0.08,17.6%,1443,0.2%,Xayah | Kindred | Jinx | Miss Fortune | Graves
Radiant Warmog's Armor,C,4.48,-0.02,10.4%,1063,0.2%,Rammus | Cho'Gath | Nunu & Willump | Tahm Kench | Ornn
Radiant Infinity Edge,D,4.51,+0.01,13.3%,1184,0.2%,Corki | Jhin | Graves | Xayah | Miss Fortune
Radiant Sunfire Cape,D,4.53,+0.03,8.5%,234,0.0%,Rammus | Tahm Kench | Nunu & Willump | Ornn | Illaoi
Radiant Morellonomicon,D,4.55,+0.05,12.0%,166,0.0%,Karma | Bard | Milio | Sona | Vex
Radiant Last Whisper,D,4.55,+0.05,9.7%,435,0.1%,Corki | Kindred | Jhin | Xayah | Graves
Radiant Protector's Vow,D,4.57,+0.07,12.5%,654,0.1%,Nunu & Willump | Rammus | Cho'Gath | Tahm Kench | Illaoi
Radiant Spirit Visage,D,4.58,+0.08,14.3%,545,0.1%,Cho'Gath | Rammus | Nunu & Willump | Tahm Kench | Ornn
Radiant Steadfast Heart,D,4.67,+0.17,12.3%,154,0.0%,Rammus | Nunu & Willump | Tahm Kench | Ornn | Cho'Gath
Radiant Spear of Shojin,D,4.71,+0.21,15.1%,537,0.1%,Zed | Graves | Corki | Lulu | Bard
Radiant Quicksilver,D,4.76,+0.26,10.5%,427,0.1%,Master Yi | Graves | Urgot | Fiora | Riven
Radiant Adaptive Helm,D,4.76,+0.26,12.3%,284,0.0%,Nunu & Willump | Cho'Gath | Zed | Rammus | Lulu
Radiant Bramble Vest,D,4.78,+0.28,6.7%,328,0.1%,Rammus | Tahm Kench | Nunu & Willump | Ornn | Illaoi
Radiant Crownguard,D,4.82,+0.32,9.4%,159,0.0%,Rammus | Nunu & Willump | Jax | Tahm Kench | Cho'Gath
Radiant Guinsoo's Rageblade,D,5.05,+0.55,13.0%,1733,0.3%,Vex | Xayah | LeBlanc | Diana | Graves
