Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Ionic Spark,S,4.01,-0.49,16.9%,77,0.0%,Nunu & Willump | Illaoi | Blitzcrank | Tahm Kench | The Mighty Mech
Radiant Nashor's Tooth,S,4.07,-0.43,19.7%,1699,0.3%,Lulu | Lissandra | Nami | Karma | Aurelion Sol
Radiant Rabadon's Deathcap,S,4.12,-0.38,16.2%,2639,0.5%,Aurelion Sol | Vex | Bard | Karma | Lulu
Radiant Blue Buff,S,4.17,-0.33,13.0%,615,0.1%,Corki | Karma | Lulu | Kai'Sa | Aurelion Sol
Radiant Thief's Gloves,S,4.17,-0.33,15.4%,4691,0.9%,Blitzcrank | Riven | Fiora | Shen | The Mighty Mech
Radiant Striker's Flail,S,4.20,-0.30,13.1%,1649,0.3%,Corki | Aurelion Sol | Jhin | Graves | Vex
Radiant Deathblade,A,4.23,-0.27,13.2%,5136,0.9%,Corki | Jhin | Xayah | Graves | Miss Fortune
Radiant Hextech Gunblade,A,4.23,-0.27,16.6%,385,0.1%,Vex | Aurelion Sol | LeBlanc | Karma | Bard
Radiant Red Buff,A,4.23,-0.27,18.3%,491,0.1%,Xayah | Vex | Kindred | Corki | Jhin
Radiant Titan's Resolve,A,4.24,-0.26,17.0%,631,0.1%,Diana | Master Yi | Riven | Fiora | Jax
Radiant Hand of Justice,A,4.28,-0.22,12.2%,458,0.1%,Riven | Gragas | Fiora | Master Yi | Diana
Radiant Bloodthirster,A,4.28,-0.22,17.7%,468,0.1%,Diana | Riven | Fiora | Master Yi | Jax
Radiant Kraken's Fury,A,4.29,-0.21,18.1%,947,0.2%,Xayah | Kindred | Jinx | Corki | Graves
Radiant Giant Slayer,A,4.29,-0.21,12.8%,4476,0.8%,Master Yi | Corki | Vex | Graves | Xayah
Radiant Archangel's Staff,A,4.30,-0.20,13.7%,204,0.0%,Aurelion Sol | Vex | LeBlanc | Lulu | Viktor
Radiant Sterak's Gage,B,4.32,-0.18,13.2%,462,0.1%,Fiora | Riven | Master Yi | Briar | Graves
Radiant Infinity Edge,B,4.37,-0.13,14.7%,1208,0.2%,Corki | Jhin | Xayah | Graves | Kai'Sa
Radiant Warmog's Armor,B,4.37,-0.13,14.1%,1125,0.2%,Rammus | Cho'Gath | Nunu & Willump | Tahm Kench | The Mighty Mech
Radiant Void Staff,B,4.38,-0.12,13.2%,418,0.1%,Aurelion Sol | Karma | Vex | Bard | Sona
Radiant Gargoyle Stoneplate,B,4.39,-0.11,15.3%,2810,0.5%,The Mighty Mech | Rammus | Nunu & Willump | Jax | Tahm Kench
Radiant Spear of Shojin,B,4.40,-0.10,19.5%,431,0.1%,Zed | Lulu | Corki | Graves | Ezreal
Radiant Evenshroud,C,4.41,-0.09,11.1%,108,0.0%,Rammus | Tahm Kench | Maokai | Nunu & Willump | The Mighty Mech
Radiant Jeweled Gauntlet,C,4.41,-0.09,13.9%,2313,0.4%,Aurelion Sol | Vex | Lulu | Karma | Bard
Radiant Crownguard,C,4.44,-0.06,12.4%,194,0.0%,Rammus | Jax | Nunu & Willump | Tahm Kench | Cho'Gath
Radiant Spirit Visage,C,4.45,-0.05,13.9%,539,0.1%,Cho'Gath | Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech
Radiant Last Whisper,C,4.46,-0.04,11.1%,497,0.1%,Corki | Kindred | Xayah | Jhin | Graves
Radiant Steadfast Heart,D,4.50,0.00,11.2%,134,0.0%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Ornn
Radiant Edge of Night,D,4.51,+0.01,12.2%,1026,0.2%,Master Yi | Zed | Fiora | Riven | Diana
Radiant Dragon's Claw,D,4.53,+0.03,12.5%,192,0.0%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Cho'Gath
Radiant Morellonomicon,D,4.58,+0.08,12.7%,165,0.0%,Karma | Milio | Bard | Vex | Sona
Radiant Bramble Vest,D,4.63,+0.13,6.5%,337,0.1%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
Radiant Sunfire Cape,D,4.64,+0.14,13.6%,220,0.0%,Rammus | Tahm Kench | Nunu & Willump | Cho'Gath | The Mighty Mech
Radiant Protector's Vow,D,4.64,+0.14,12.1%,668,0.1%,Nunu & Willump | Rammus | Cho'Gath | The Mighty Mech | Tahm Kench
Radiant Quicksilver,D,4.83,+0.33,10.0%,459,0.1%,Master Yi | Graves | Urgot | Fiora | Riven
Radiant Guinsoo's Rageblade,D,4.94,+0.44,13.9%,1478,0.3%,Vex | Xayah | LeBlanc | Diana | Kindred
Radiant Adaptive Helm,D,5.02,+0.52,9.4%,244,0.0%,Nunu & Willump | Aurelion Sol | Rammus | Cho'Gath | Zed
