Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Warmog's Armor,S,4.08,-0.42,14.0%,2501,0.4%,Ornn | Cho'Gath | Nunu & Willump | Tahm Kench | Rammus
Radiant Evenshroud,S,4.13,-0.37,11.8%,119,0.0%,Ornn | Tahm Kench | Rammus | Nunu & Willump | Maokai
Radiant Rabadon's Deathcap,S,4.15,-0.35,16.1%,2276,0.4%,Aurelion Sol | Bard | Vex | Nami | LeBlanc
Radiant Thief's Gloves,A,4.20,-0.30,14.6%,5056,0.8%,Blitzcrank | Fiora | Riven | Shen | Gwen
Radiant Hextech Gunblade,A,4.21,-0.29,19.1%,325,0.1%,Vex | Aurelion Sol | LeBlanc | Bard | Nami
Radiant Morellonomicon,A,4.21,-0.29,16.0%,225,0.0%,Sona | Karma | Bard | Nami | Milio
Radiant Red Buff,A,4.22,-0.28,19.1%,1360,0.2%,Xayah | Vex | Jinx | Kindred | Samira
Radiant Giant Slayer,A,4.26,-0.24,13.2%,3387,0.6%,Master Yi | Samira | Graves | Vex | Corki
Radiant Spirit Visage,A,4.29,-0.21,11.9%,1080,0.2%,Ornn | Cho'Gath | Nunu & Willump | Tahm Kench | Rammus
Radiant Spear of Shojin,A,4.29,-0.21,17.6%,1656,0.3%,Samira | Nami | Graves | Zed | Miss Fortune
Radiant Deathblade,A,4.30,-0.20,13.2%,4934,0.8%,Corki | Samira | Miss Fortune | Graves | Gnar
Radiant Infinity Edge,B,4.31,-0.19,16.0%,1417,0.2%,Samira | Miss Fortune | Graves | Jhin | Gnar
Radiant Nashor's Tooth,B,4.33,-0.17,15.2%,1653,0.3%,Nami | Lulu | Lissandra | Sona | Bard
Radiant Blue Buff,B,4.33,-0.17,13.7%,678,0.1%,Miss Fortune | Samira | Nami | Sona | Lulu
Radiant Steadfast Heart,B,4.33,-0.17,14.3%,224,0.0%,Ornn | Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech
Radiant Sunfire Cape,B,4.34,-0.16,14.4%,291,0.0%,Ornn | Tahm Kench | Nunu & Willump | Rammus | Maokai
Radiant Titan's Resolve,B,4.35,-0.15,13.4%,479,0.1%,Diana | Master Yi | Riven | Fiora | Jax
Radiant Jeweled Gauntlet,B,4.35,-0.15,14.4%,2205,0.4%,Nami | Bard | Aurelion Sol | Vex | Lulu
Radiant Dragon's Claw,B,4.36,-0.14,13.7%,343,0.1%,Ornn | Cho'Gath | Nunu & Willump | Tahm Kench | Rammus
Radiant Edge of Night,B,4.36,-0.14,12.9%,746,0.1%,Master Yi | Fiora | Zed | Pyke | Riven
Radiant Kraken's Fury,B,4.37,-0.13,17.3%,1401,0.2%,Xayah | Gnar | Kindred | Jinx | Miss Fortune
Radiant Last Whisper,B,4.39,-0.11,11.3%,452,0.1%,Samira | Corki | Kindred | Jhin | Xayah
Radiant Gargoyle Stoneplate,B,4.40,-0.10,11.5%,3625,0.6%,Ornn | The Mighty Mech | Leona | Rammus | Nunu & Willump
Radiant Striker's Flail,B,4.40,-0.10,12.4%,1158,0.2%,Corki | Samira | Graves | Miss Fortune | Aurelion Sol
Radiant Hand of Justice,C,4.40,-0.10,10.9%,475,0.1%,Pyke | Riven | Gragas | Fiora | Master Yi
Radiant Void Staff,C,4.41,-0.09,13.1%,480,0.1%,Bard | Sona | Vex | Nami | Karma
Radiant Ionic Spark,C,4.44,-0.06,17.1%,111,0.0%,Blitzcrank | Ornn | Nunu & Willump | Illaoi | Tahm Kench
Radiant Guinsoo's Rageblade,C,4.44,-0.06,15.9%,1650,0.3%,Vex | Xayah | LeBlanc | Gnar | Graves
Radiant Sterak's Gage,C,4.49,-0.01,12.1%,380,0.1%,Fiora | Riven | Graves | Master Yi | Urgot
Radiant Bloodthirster,D,4.50,+0.00,14.0%,371,0.1%,Riven | Diana | Fiora | Jax | Master Yi
Radiant Bramble Vest,D,4.51,+0.01,11.7%,426,0.1%,Ornn | Rammus | Tahm Kench | Nunu & Willump | Leona
Radiant Archangel's Staff,D,4.52,+0.02,14.2%,212,0.0%,LeBlanc | Vex | Aurelion Sol | Bard | Nami
Radiant Quicksilver,D,4.70,+0.20,10.0%,370,0.1%,Master Yi | Graves | Bel'Veth | Fiora | Riven
Radiant Adaptive Helm,D,4.70,+0.20,12.3%,285,0.0%,Nunu & Willump | Ornn | Cho'Gath | Bard | Lulu
Radiant Crownguard,D,4.73,+0.23,12.8%,188,0.0%,Ornn | Rammus | Nunu & Willump | Jax | Blitzcrank
Radiant Protector's Vow,D,4.78,+0.28,12.1%,612,0.1%,Nunu & Willump | Ornn | Rammus | Cho'Gath | Tahm Kench
