Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Sterak's Gage,S,3.89,-0.61,15.4%,123,0.1%,Fiora | Riven | Graves | Master Yi | Briar
Radiant Red Buff,S,4.10,-0.40,20.7%,357,0.2%,Xayah | Vex | Kindred | Corki | Jinx
Radiant Giant Slayer,S,4.16,-0.34,14.9%,1016,0.7%,Master Yi | Corki | Vex | Graves | Xayah
Radiant Rabadon's Deathcap,S,4.19,-0.31,16.4%,561,0.4%,Aurelion Sol | Vex | Bard | LeBlanc | Karma
Radiant Kraken's Fury,A,4.21,-0.29,20.6%,598,0.4%,Xayah | Kindred | Jinx | Graves | Miss Fortune
Radiant Thief's Gloves,A,4.24,-0.26,13.7%,1223,0.8%,Blitzcrank | Fiora | Riven | Graves | Shen
Radiant Deathblade,A,4.25,-0.25,12.8%,1008,0.7%,Corki | Graves | Miss Fortune | Jhin | Xayah
Radiant Titan's Resolve,A,4.25,-0.25,11.8%,153,0.1%,Diana | Master Yi | Riven | Fiora | Jax
Radiant Hextech Gunblade,A,4.25,-0.25,19.6%,92,0.1%,Vex | Aurelion Sol | LeBlanc | Bard | Karma
Radiant Morellonomicon,A,4.25,-0.25,10.4%,48,0.0%,Karma | Bard | Sona | Milio | Vex
Radiant Last Whisper,A,4.26,-0.24,8.9%,90,0.1%,Corki | Kindred | Xayah | Jhin | Graves
Radiant Ionic Spark,A,4.26,-0.24,10.5%,19,0.0%,Blitzcrank | Nunu & Willump | Illaoi | Tahm Kench | The Mighty Mech
Radiant Warmog's Armor,A,4.30,-0.20,12.4%,354,0.2%,Cho'Gath | Nunu & Willump | Rammus | Tahm Kench | Ornn
Radiant Striker's Flail,B,4.30,-0.20,11.9%,336,0.2%,Corki | Graves | Jhin | Vex | Miss Fortune
Radiant Void Staff,B,4.31,-0.19,13.3%,105,0.1%,Vex | Karma | Aurelion Sol | Bard | Sona
Radiant Infinity Edge,B,4.33,-0.17,14.5%,303,0.2%,Corki | Jhin | Graves | Miss Fortune | Xayah
Radiant Bloodthirster,B,4.34,-0.16,18.5%,92,0.1%,Diana | Riven | Fiora | Jax | Master Yi
Radiant Jeweled Gauntlet,B,4.37,-0.13,13.2%,582,0.4%,Aurelion Sol | Vex | Lulu | Bard | Karma
Radiant Bramble Vest,B,4.38,-0.12,6.6%,91,0.1%,Rammus | Tahm Kench | Nunu & Willump | Ornn | Illaoi
Radiant Blue Buff,C,4.40,-0.10,8.1%,124,0.1%,Corki | Lulu | Karma | Sona | Aurelion Sol
Radiant Hand of Justice,C,4.44,-0.06,6.1%,131,0.1%,Riven | Gragas | Fiora | Master Yi | Graves
Radiant Dragon's Claw,C,4.49,-0.01,7.0%,57,0.0%,Rammus | Nunu & Willump | Cho'Gath | Tahm Kench | Ornn
Radiant Spirit Visage,D,4.50,0.00,11.7%,120,0.1%,Cho'Gath | Nunu & Willump | Rammus | Tahm Kench | Ornn
Radiant Nashor's Tooth,D,4.51,+0.01,10.5%,373,0.3%,Lulu | Lissandra | Nami | Karma | Twisted Fate
Radiant Spear of Shojin,D,4.59,+0.09,16.7%,114,0.1%,Zed | Graves | Corki | Lulu | Karma
Radiant Guinsoo's Rageblade,D,4.62,+0.12,15.4%,591,0.4%,Vex | Xayah | LeBlanc | Diana | Graves
Radiant Archangel's Staff,D,4.64,+0.14,11.1%,45,0.0%,Vex | Aurelion Sol | LeBlanc | Viktor | Bard
Radiant Gargoyle Stoneplate,D,4.67,+0.17,12.4%,541,0.4%,The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench | Jax
Radiant Sunfire Cape,D,4.70,+0.20,5.4%,56,0.0%,Rammus | Tahm Kench | Nunu & Willump | Ornn | Illaoi
Radiant Edge of Night,D,4.73,+0.23,14.5%,241,0.2%,Master Yi | Zed | Fiora | Riven | Pyke
Radiant Protector's Vow,D,4.76,+0.26,9.0%,155,0.1%,Nunu & Willump | Rammus | Cho'Gath | Tahm Kench | Jax
Radiant Adaptive Helm,D,4.93,+0.43,8.2%,97,0.1%,Nunu & Willump | Cho'Gath | Zed | Lulu | Rammus
Radiant Quicksilver,D,4.95,+0.45,8.5%,130,0.1%,Master Yi | Graves | Bel'Veth | Fiora | Urgot
Radiant Steadfast Heart,D,5.18,+0.68,7.9%,38,0.0%,Rammus | Tahm Kench | Ornn | Nunu & Willump | Cho'Gath
Radiant Crownguard,D,5.30,+0.80,4.7%,43,0.0%,Rammus | Nunu & Willump | Tahm Kench | Jax | Ornn
Radiant Evenshroud,D,5.36,+0.86,4.5%,22,0.0%,Tahm Kench | Rammus | Ornn | Nunu & Willump | The Mighty Mech
