Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Ionic Spark,S,3.86,-0.64,22.3%,103,0.0%,Blitzcrank | Ornn | Nunu & Willump | Illaoi | Tahm Kench
Radiant Red Buff,S,4.05,-0.45,23.5%,1368,0.2%,Xayah | Vex | Kindred | Jinx | Jhin
Radiant Thief's Gloves,S,4.15,-0.35,15.4%,5224,0.9%,Blitzcrank | Fiora | Riven | Shen | Urgot
Radiant Morellonomicon,S,4.15,-0.35,15.9%,214,0.0%,Karma | Sona | Nami | Bard | Blitzcrank
Radiant Titan's Resolve,S,4.17,-0.33,14.3%,552,0.1%,Diana | Master Yi | Riven | Jax | Fiora
Radiant Rabadon's Deathcap,S,4.17,-0.33,15.3%,2303,0.4%,Aurelion Sol | Bard | Vex | Nami | LeBlanc
Radiant Warmog's Armor,S,4.18,-0.32,12.6%,2017,0.3%,Ornn | Cho'Gath | Nunu & Willump | Tahm Kench | Rammus
Radiant Hextech Gunblade,A,4.24,-0.26,17.3%,352,0.1%,Vex | LeBlanc | Aurelion Sol | Bard | Gwen
Radiant Giant Slayer,A,4.24,-0.26,13.0%,3562,0.6%,Master Yi | Vex | Corki | Graves | Samira
Radiant Deathblade,A,4.25,-0.25,13.8%,5073,0.8%,Corki | Samira | Miss Fortune | Graves | Jhin
Radiant Hand of Justice,A,4.25,-0.25,12.8%,508,0.1%,Pyke | Riven | Fiora | Gragas | Gwen
Radiant Infinity Edge,A,4.27,-0.23,14.9%,1614,0.3%,Samira | Miss Fortune | Graves | Jhin | Corki
Radiant Blue Buff,A,4.28,-0.22,12.4%,654,0.1%,Miss Fortune | Nami | Sona | Corki | Samira
Radiant Kraken's Fury,A,4.28,-0.22,17.6%,1496,0.2%,Xayah | Kindred | Gnar | Jinx | Miss Fortune
Radiant Nashor's Tooth,A,4.29,-0.21,14.6%,1655,0.3%,Nami | Lulu | Lissandra | Karma | Bard
Radiant Striker's Flail,B,4.31,-0.19,12.1%,1170,0.2%,Corki | Samira | Graves | Miss Fortune | Jhin
Radiant Last Whisper,B,4.32,-0.18,12.8%,470,0.1%,Corki | Samira | Kindred | Xayah | Jhin
Radiant Dragon's Claw,B,4.33,-0.17,13.4%,320,0.1%,Ornn | Cho'Gath | Nunu & Willump | Tahm Kench | Rammus
Radiant Spear of Shojin,B,4.33,-0.17,17.0%,1019,0.2%,Samira | Zed | Nami | Graves | Miss Fortune
Radiant Spirit Visage,B,4.34,-0.16,13.7%,918,0.2%,Ornn | Cho'Gath | Nunu & Willump | Tahm Kench | Rammus
Radiant Steadfast Heart,B,4.34,-0.16,14.8%,216,0.0%,Ornn | Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech
Radiant Void Staff,B,4.36,-0.14,13.8%,529,0.1%,Nami | Vex | Sona | Bard | Aurelion Sol
Radiant Edge of Night,B,4.37,-0.13,12.8%,842,0.1%,Master Yi | Zed | Fiora | Pyke | Riven
Radiant Evenshroud,B,4.38,-0.12,10.7%,122,0.0%,Ornn | Tahm Kench | Rammus | Nunu & Willump | Maokai
Radiant Jeweled Gauntlet,B,4.38,-0.12,14.6%,2268,0.4%,Nami | Aurelion Sol | Bard | Vex | Lulu
Radiant Sterak's Gage,B,4.40,-0.10,14.5%,455,0.1%,Fiora | Graves | Riven | Master Yi | The Mighty Mech
Radiant Sunfire Cape,C,4.42,-0.08,15.1%,278,0.0%,Ornn | Tahm Kench | Nunu & Willump | Rammus | Maokai
Radiant Gargoyle Stoneplate,C,4.47,-0.03,13.2%,3293,0.5%,Ornn | The Mighty Mech | Leona | Rammus | Nunu & Willump
Radiant Archangel's Staff,D,4.62,+0.12,10.8%,223,0.0%,Aurelion Sol | Vex | LeBlanc | Nami | Bard
Radiant Protector's Vow,D,4.65,+0.15,12.6%,618,0.1%,Nunu & Willump | Ornn | Rammus | Cho'Gath | Tahm Kench
Radiant Adaptive Helm,D,4.65,+0.15,10.7%,309,0.1%,Nunu & Willump | Ornn | Cho'Gath | Nami | Zed
Radiant Guinsoo's Rageblade,D,4.66,+0.16,14.4%,1813,0.3%,Vex | Xayah | LeBlanc | Gnar | Graves
Radiant Bramble Vest,D,4.66,+0.16,8.7%,426,0.1%,Ornn | Rammus | Tahm Kench | Nunu & Willump | Leona
Radiant Bloodthirster,D,4.69,+0.19,9.9%,392,0.1%,Riven | Diana | Fiora | Jax | Master Yi
Radiant Quicksilver,D,4.74,+0.24,11.0%,391,0.1%,Master Yi | Graves | Bel'Veth | Fiora | Urgot
Radiant Crownguard,D,4.78,+0.28,9.5%,210,0.0%,Ornn | Rammus | Nunu & Willump | Jax | Tahm Kench
