Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Morellonomicon,S,4.11,-0.39,15.9%,220,0.0%,Sona | Karma | Nami | Bard | Milio
Radiant Warmog's Armor,S,4.15,-0.35,12.9%,2387,0.4%,Ornn | Cho'Gath | Nunu & Willump | Tahm Kench | Rammus
Radiant Rabadon's Deathcap,S,4.16,-0.34,15.9%,2221,0.4%,Aurelion Sol | Bard | Vex | Nami | LeBlanc
Radiant Red Buff,S,4.18,-0.32,20.6%,1313,0.2%,Xayah | Vex | Jinx | Kindred | Jhin
Radiant Thief's Gloves,S,4.20,-0.30,14.8%,5157,0.9%,Blitzcrank | Fiora | Riven | Shen | Gwen
Radiant Ionic Spark,A,4.21,-0.29,18.3%,104,0.0%,Blitzcrank | Ornn | Nunu & Willump | Illaoi | Tahm Kench
Radiant Nashor's Tooth,A,4.22,-0.28,15.8%,1711,0.3%,Nami | Lulu | Lissandra | Bard | Sona
Radiant Deathblade,A,4.26,-0.24,13.8%,4992,0.8%,Corki | Samira | Miss Fortune | Graves | Gnar
Radiant Hand of Justice,A,4.27,-0.23,13.4%,492,0.1%,Pyke | Riven | Fiora | Gragas | Master Yi
Radiant Spear of Shojin,A,4.27,-0.23,17.5%,1549,0.3%,Samira | Nami | Graves | Zed | Miss Fortune
Radiant Sunfire Cape,A,4.27,-0.23,15.8%,272,0.0%,Ornn | Tahm Kench | Nunu & Willump | Rammus | Maokai
Radiant Hextech Gunblade,A,4.28,-0.22,17.6%,341,0.1%,Vex | Aurelion Sol | LeBlanc | Bard | Nami
Radiant Giant Slayer,A,4.28,-0.22,12.8%,3449,0.6%,Master Yi | Vex | Corki | Samira | Graves
Radiant Spirit Visage,A,4.29,-0.21,11.7%,1080,0.2%,Ornn | Cho'Gath | Nunu & Willump | Tahm Kench | Rammus
Radiant Last Whisper,A,4.29,-0.21,12.3%,457,0.1%,Samira | Corki | Kindred | Jhin | Xayah
Radiant Infinity Edge,B,4.30,-0.20,14.9%,1488,0.2%,Samira | Miss Fortune | Graves | Jhin | Corki
Radiant Titan's Resolve,B,4.31,-0.19,14.3%,531,0.1%,Diana | Master Yi | Riven | Jax | Fiora
Radiant Striker's Flail,B,4.32,-0.18,12.3%,1125,0.2%,Corki | Samira | Graves | Miss Fortune | Aurelion Sol
Radiant Edge of Night,B,4.33,-0.17,12.1%,780,0.1%,Master Yi | Zed | Fiora | Pyke | Riven
Radiant Sterak's Gage,B,4.34,-0.16,13.0%,392,0.1%,Fiora | Graves | Riven | Master Yi | Urgot
Radiant Jeweled Gauntlet,B,4.37,-0.13,13.9%,2184,0.4%,Nami | Aurelion Sol | Bard | Vex | Lulu
Radiant Dragon's Claw,B,4.38,-0.12,12.4%,340,0.1%,Ornn | Nunu & Willump | Cho'Gath | Tahm Kench | Rammus
Radiant Gargoyle Stoneplate,B,4.39,-0.11,11.9%,3534,0.6%,Ornn | The Mighty Mech | Leona | Rammus | Nunu & Willump
Radiant Evenshroud,B,4.39,-0.11,13.0%,108,0.0%,Ornn | Tahm Kench | Rammus | Nunu & Willump | Maokai
Radiant Blue Buff,B,4.39,-0.11,12.7%,711,0.1%,Miss Fortune | Nami | Samira | Sona | Lulu
Radiant Void Staff,C,4.43,-0.07,13.3%,495,0.1%,Nami | Vex | Bard | Sona | Karma
Radiant Kraken's Fury,C,4.43,-0.07,17.2%,1406,0.2%,Xayah | Gnar | Kindred | Jinx | Miss Fortune
Radiant Steadfast Heart,D,4.52,+0.02,13.5%,207,0.0%,Ornn | Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech
Radiant Bramble Vest,D,4.53,+0.03,10.1%,414,0.1%,Ornn | Rammus | Tahm Kench | Nunu & Willump | Leona
Radiant Archangel's Staff,D,4.53,+0.03,14.4%,215,0.0%,LeBlanc | Vex | Aurelion Sol | Bard | Nami
Radiant Guinsoo's Rageblade,D,4.60,+0.10,14.7%,1713,0.3%,Vex | Xayah | LeBlanc | Gnar | Graves
Radiant Bloodthirster,D,4.66,+0.16,11.8%,374,0.1%,Riven | Diana | Fiora | Jax | Master Yi
Radiant Protector's Vow,D,4.68,+0.18,12.7%,638,0.1%,Nunu & Willump | Ornn | Rammus | Cho'Gath | Tahm Kench
Radiant Quicksilver,D,4.69,+0.19,10.9%,386,0.1%,Master Yi | Graves | Bel'Veth | Fiora | Urgot
Radiant Adaptive Helm,D,4.71,+0.21,12.5%,281,0.0%,Nunu & Willump | Ornn | Cho'Gath | Bard | Nami
Radiant Crownguard,D,4.90,+0.40,12.1%,215,0.0%,Ornn | Rammus | Nunu & Willump | Jax | Blitzcrank
