Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Nashor's Tooth,S,3.96,-0.54,15.8%,40936,0.7%,Twisted Fate | Nami | Veigar | Karma | Fizz
Radiant Rabadon's Deathcap,S,4.00,-0.50,14.8%,37662,0.6%,Viktor | Twisted Fate | Aurelion Sol | Vex | Nami
Radiant Last Whisper,S,4.04,-0.46,17.2%,15227,0.3%,Xayah | Jhin | Corki | Samira | Urgot
Radiant Infinity Edge,S,4.04,-0.46,18.8%,65529,1.1%,Xayah | Kai'Sa | Jhin | Urgot | Samira
Radiant Kraken's Fury,S,4.06,-0.44,15.4%,26841,0.5%,Xayah | Bel'Veth | Kindred | Graves | Caitlyn
Radiant Giant Slayer,S,4.08,-0.42,14.6%,76854,1.3%,Bel'Veth | Urgot | Vex | Xayah | LeBlanc
Radiant Deathblade,S,4.08,-0.42,16.4%,28840,0.5%,Xayah | Jhin | Corki | Kai'Sa | Samira
Radiant Gargoyle Stoneplate,S,4.09,-0.41,15.9%,102497,1.8%,The Mighty Mech | Nunu & Willump | Jax | Leona | Rammus
Radiant Red Buff,S,4.09,-0.41,15.9%,13944,0.2%,Xayah | Nami | Vex | Karma | Jhin
Radiant Jeweled Gauntlet,S,4.15,-0.35,14.1%,78052,1.3%,Viktor | Nami | Aurelion Sol | Vex | Veigar
Radiant Ionic Spark,S,4.19,-0.31,12.1%,11713,0.2%,Nunu & Willump | Illaoi | Rammus | Blitzcrank | Ornn
Radiant Hextech Gunblade,S,4.19,-0.31,13.8%,20567,0.4%,Vex | Teemo | LeBlanc | Aurelion Sol | Xayah
Radiant Striker's Flail,A,4.20,-0.30,14.9%,28779,0.5%,Kai'Sa | Vex | Urgot | Corki | Aurelion Sol
Radiant Edge of Night,A,4.21,-0.29,12.9%,24451,0.4%,Master Yi | Riven | Akali | Fiora | Zed
Radiant Void Staff,A,4.21,-0.29,12.5%,30155,0.5%,Nami | Aurelion Sol | Vex | Viktor | Karma
Radiant Morellonomicon,A,4.23,-0.27,12.6%,9910,0.2%,Nami | Karma | Bard | Aurelion Sol | Aurora
Radiant Thief's Gloves,A,4.23,-0.27,13.3%,88254,1.5%,Blitzcrank | Fiora | Talon | Riven | Rhaast
Radiant Quicksilver,A,4.24,-0.26,11.9%,23923,0.4%,Bel'Veth | Urgot | Graves | Master Yi | Fiora
Radiant Spear of Shojin,A,4.26,-0.24,14.0%,43560,0.7%,Nami | Karma | Zed | Samira | Kai'Sa
Radiant Sterak's Gage,A,4.27,-0.23,14.8%,19868,0.3%,The Mighty Mech | Fiora | Graves | Riven | Urgot
Radiant Archangel's Staff,A,4.27,-0.23,11.5%,23179,0.4%,Viktor | Aurelion Sol | Vex | Nami | Twisted Fate
Radiant Hand of Justice,A,4.28,-0.22,11.6%,29867,0.5%,Akali | Riven | Urgot | Fiora | Graves
Radiant Evenshroud,A,4.29,-0.21,14.3%,16045,0.3%,Nunu & Willump | Rammus | Ornn | Maokai | Tahm Kench
Radiant Sunfire Cape,B,4.31,-0.19,12.0%,54809,0.9%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Maokai
Radiant Titan's Resolve,B,4.32,-0.18,12.8%,22202,0.4%,Riven | The Mighty Mech | Fiora | Master Yi | Briar
Radiant Blue Buff,B,4.36,-0.14,11.9%,16481,0.3%,Kai'Sa | Karma | Corki | Nami | Veigar
Radiant Protector's Vow,B,4.36,-0.14,13.8%,38415,0.7%,Nunu & Willump | Rammus | Jax | Tahm Kench | Illaoi
Radiant Crownguard,B,4.37,-0.13,11.7%,13491,0.2%,Nunu & Willump | Rammus | Jax | Ornn | Maokai
Radiant Warmog's Armor,B,4.38,-0.12,11.8%,42896,0.7%,Nunu & Willump | Rammus | Illaoi | Leona | Ornn
Radiant Spirit Visage,C,4.42,-0.08,11.2%,43624,0.8%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Radiant Guinsoo's Rageblade,C,4.42,-0.08,14.3%,111679,1.9%,Vex | Xayah | LeBlanc | Kindred | Teemo
Radiant Steadfast Heart,C,4.44,-0.06,11.3%,16858,0.3%,Nunu & Willump | Rammus | Illaoi | Ornn | Tahm Kench
Radiant Bloodthirster,C,4.44,-0.06,12.0%,29381,0.5%,Riven | Fiora | Master Yi | Graves | Blitzcrank
Radiant Bramble Vest,D,4.50,+0.00,9.5%,16340,0.3%,Nunu & Willump | Rammus | Illaoi | Ornn | Tahm Kench
Radiant Dragon's Claw,D,4.52,+0.02,10.4%,29233,0.5%,Nunu & Willump | Rammus | Illaoi | Ornn | The Mighty Mech
Radiant Adaptive Helm,D,4.53,+0.03,10.9%,17679,0.3%,Nunu & Willump | Rammus | Tahm Kench | Jax | Leona
