Tier,Name,Level,Difficulty,Avg Place,Pick Rate,Win Rate,Top 4 Rate,Units,UnitDetails
S,Vanguard Nunu & Willump,,Hard,4.13,0.58,19.5%,55.5%,Nunu & Willump | Vex | Bard | Blitzcrank | Sona | Karma | Illaoi | Meepsie | Mordekaiser,"Nunu & Willump (Protector's Vow, Gargoyle Stoneplate, Warmog's Armor) | Vex (Guinsoo's Rageblade, Jeweled Gauntlet, Striker's Flail) | Bard (Rabadon's Deathcap, Spear of Shojin, Void Staff) | Blitzcrank (Jeweled Gauntlet, Striker's Flail, Hand Of Justice) | Sona | Karma | Illaoi | Meepsie | Mordekaiser"
S,Dark Star Nunu & Willump,,Medium,4.14,0.21,14.4%,57.1%,Nunu & Willump | Jhin | Karma | Kai'Sa | The Mighty Mech | Tahm Kench | Mordekaiser | Cho'Gath | Lissandra,"Nunu & Willump (Adaptive Helm, Protector's Vow, Protector's Vow) | Jhin (Infinity Edge, Last Whisper, Giant Slayer) | Karma (Blue Buff, Morellonomicon, Void Staff) | Kai'Sa (Blue Buff, Infinity Edge, Striker's Flail) | The Mighty Mech | Tahm Kench | Mordekaiser | Cho'Gath | Lissandra"
S,Dark Star Tahm Kench,,Medium,4.16,0.28,14.7%,56.1%,Tahm Kench | Karma | Jhin | Blitzcrank | The Mighty Mech | Kai'Sa | Mordekaiser | Cho'Gath | Lissandra,"Tahm Kench (Ionic Spark, Sunfire Cape, Warmog's Armor) | Karma (Red Buff, Spear of Shojin, Void Staff) | Jhin (Infinity Edge, Giant Slayer, Striker's Flail) | Blitzcrank | The Mighty Mech | Kai'Sa | Mordekaiser | Cho'Gath | Lissandra"
S,Dark Star Illaoi,,Medium,4.23,0.08,13.1%,55.0%,Illaoi | Kai'Sa | Karma | Jhin | Meepsie | Mordekaiser | Pantheon | Cho'Gath | Lissandra,"Illaoi (Protector's Vow, Ionic Spark, Sunfire Cape) | Kai'Sa★ (Blue Buff, Infinity Edge, Striker's Flail) | Karma (Adaptive Helm, Morellonomicon, Void Staff) | Jhin (Infinity Edge, Last Whisper, Giant Slayer) | Meepsie | Mordekaiser | Pantheon | Cho'Gath | Lissandra"
A,Marauder Master Yi,,Medium,4.31,0.92,11.8%,54.0%,Master Yi | Kindred | Tahm Kench | Fiora | Morgana | Maokai | Urgot | Bel'Veth | Gragas,"Master Yi (Malware Matrix, Edge of Night, Giant Slayer) | Kindred (Battle Bunny Crossbow, Guinsoo's Rageblade, Infinity Edge) | Tahm Kench (Sunfire Cape, Spirit Visage, Evenshroud) | Fiora (Edge of Night, Giant Slayer, Hand Of Justice) | Morgana | Maokai | Urgot | Bel'Veth | Gragas"
A,Meeple Corki,,Medium,4.41,1.49,7.9%,53.6%,Corki | Rammus | Riven | The Mighty Mech | Fizz | Meepsie | Milio | Poppy,"Corki (Rogue Emblem, Deathblade, Last Whisper) | Rammus (Crownguard, Protector's Vow, Gargoyle Stoneplate) | Riven (Bloodthirster, Giant Slayer, Sterak's Gage) | The Mighty Mech (Sunfire Cape, Warmog's Armor) | Fizz | Meepsie | Milio | Poppy"
A,Sniper Xayah,,Medium,4.44,0.60,17.3%,49.9%,Xayah | Nunu & Willump | Jhin | Tahm Kench | Blitzcrank | Maokai | Rhaast | Jax | Aatrox,"Xayah (Battle Bunny Crossbow, Guinsoo's Rageblade, Infinity Edge) | Nunu & Willump (Adaptive Helm, Protector's Vow, Protector's Vow) | Jhin (Deathblade, Infinity Edge, Giant Slayer) | Tahm Kench (Bramble Vest, Spirit Visage, Warmog's Armor) | Blitzcrank | Maokai | Rhaast | Jax | Aatrox"
A,Stargazer - The Mountain Lulu,7,Medium,4.45,0.38,13.2%,50.4%,Lulu | Jax | Milio | Maokai | Pantheon | Aatrox | Twisted Fate,"Lulu★ (Jeweled Gauntlet, Nashor's Tooth, Nashor's Tooth) | Jax★ (Bloodthirster, Edge of Night, Titan's Resolve) | Milio★ (Stargazer Emblem, Morellonomicon, Spear of Shojin) | Maokai★ (Stargazer Emblem, Spirit Visage, Warmog's Armor) | Pantheon★ | Aatrox | Twisted Fate"
A,Dark Star Riven,,Easy,4.46,0.03,13.7%,49.9%,Riven | Kai'Sa | Tahm Kench | Jhin | Blitzcrank | The Mighty Mech | Karma | Mordekaiser | Cho'Gath,"Riven (Dark Star Emblem, Brawler Emblem, Sterak's Gage) | Kai'Sa (Infinity Edge, Striker's Flail, Red Buff) | Tahm Kench (Gargoyle Stoneplate, Sunfire Cape, Evenshroud) | Jhin (Deathblade, Infinity Edge, Giant Slayer) | Blitzcrank | The Mighty Mech | Karma | Mordekaiser | Cho'Gath"
A,Mecha Aurelion Sol,,Easy,4.47,0.09,19.2%,50.9%,Aurelion Sol | The Mighty Mech | Karma | Tahm Kench | Nunu & Willump | Urgot | Mordekaiser,"Aurelion Sol (The Annihilator, Jeweled Gauntlet, Rabadon's Deathcap) | The Mighty Mech (Iceblast Armor, Gargoyle Stoneplate, Sterak's Gage) | Karma (Morellonomicon, Spear of Shojin, Void Staff) | Tahm Kench (Protector's Vow, Sunfire Cape, Warmog's Armor) | Nunu & Willump | Urgot | Mordekaiser"
A,Dark Star Cho'Gath,5,Easy,4.49,0.20,15.5%,48.9%,Cho'Gath | Lissandra | Kai'Sa | Karma | Jhin | The Mighty Mech | Mordekaiser | Pantheon,"Cho'Gath★ (Protector's Vow, Spirit Visage, Warmog's Armor) | Lissandra★ (Jeweled Gauntlet, Nashor's Tooth, Nashor's Tooth) | Kai'Sa (Infinity Edge, Giant Slayer, Striker's Flail) | Karma (Blue Buff, Morellonomicon, Void Staff) | Jhin | The Mighty Mech | Mordekaiser | Pantheon"
B,Vanguard Vex,,Hard,4.52,0.71,18.6%,48.9%,Vex | Nunu & Willump | Graves | Blitzcrank | Fiora | Shen | Rhaast | Akali | Aatrox,"Vex (Guinsoo's Rageblade, Rabadon's Deathcap, Red Buff) | Nunu & Willump (Adaptive Helm, Protector's Vow, Protector's Vow) | Graves (Battle Bunny Crossbow, Guinsoo's Rageblade, Infinity Edge) | Blitzcrank (Crownguard) | Fiora | Shen | Rhaast | Akali | Aatrox"
B,Dark Star Xayah,,Medium,4.58,0.05,15.0%,47.8%,Xayah | Nunu & Willump | Jhin | Tahm Kench | The Mighty Mech | Karma | Kai'Sa | Mordekaiser | Cho'Gath,"Xayah (Dark Star Emblem, Last Whisper, Red Buff) | Nunu & Willump (Anomaly, Protector's Vow, Protector's Vow) | Jhin (Stargazer Emblem, Infinity Edge, Striker's Flail) | Tahm Kench (Crownguard, Gargoyle Stoneplate, Warmog's Armor) | The Mighty Mech | Karma | Kai'Sa | Mordekaiser | Cho'Gath"
B,Voyager Viktor,7,Easy,4.60,0.02,7.7%,48.4%,Viktor | Illaoi | Pyke | Nami | Rhaast | Meepsie | Mordekaiser | Lissandra,"Viktor★ (Jeweled Gauntlet, Rabadon's Deathcap, Rabadon's Deathcap) | Illaoi★ (Bramble Vest, Protector's Vow, Gargoyle Stoneplate) | Pyke★ (Edge of Night, Infinity Edge, Hand Of Justice) | Nami (Nashor's Tooth, Spear of Shojin, Void Staff) | Rhaast★ | Meepsie | Mordekaiser | Lissandra"
B,Vanguard Aurelion Sol,,Hard,4.60,0.34,10.8%,47.6%,Aurelion Sol | Nunu & Willump | Karma | Blitzcrank | Bard | Sona | Illaoi | Meepsie | Mordekaiser,"Aurelion Sol (Jeweled Gauntlet, Striker's Flail, Rabadon's Deathcap) | Nunu & Willump (Protector's Vow, Protector's Vow, Warmog's Armor) | Karma (Blue Buff, Morellonomicon, Void Staff) | Blitzcrank (Crownguard) | Bard | Sona | Illaoi | Meepsie | Mordekaiser"
B,Voyager Pyke Gwen,6,Medium,4.60,0.02,4.5%,51.9%,Pyke | Gwen | Gragas | Pantheon | Riven | Rhaast | Meepsie | Milio,"Pyke★ (Target-Lock Optics, Edge of Night, Infinity Edge) | Gwen★ (Hextech Gunblade, Jeweled Gauntlet, Giant Slayer) | Gragas★ (Gargoyle Stoneplate, Ionic Spark, Warmog's Armor) | Pantheon★ (Crownguard, Protector's Vow, Gargoyle Stoneplate) | Riven | Rhaast | Meepsie★ | Milio★"
B,Voyager Aurelion Sol,,Medium,4.63,0.22,8.6%,48.3%,Aurelion Sol | The Mighty Mech | Karma | Morgana | Blitzcrank | Rhaast | Mordekaiser,"Aurelion Sol (Dark Star Emblem, Jeweled Gauntlet, Striker's Flail) | The Mighty Mech (Bramble Vest, Gargoyle Stoneplate, Warmog's Armor) | Karma (Rabadon's Deathcap, Spear of Shojin, Void Staff) | Morgana (Adaptive Helm) | Blitzcrank | Rhaast | Mordekaiser"
B,N.O.V.A. Tahm Kench,,Easy,4.66,0.14,18.6%,45.6%,Tahm Kench | Vex | Graves | Fiora | Shen | Morgana | Maokai | Akali | Aatrox,"Tahm Kench (Sunfire Cape, Spirit Visage, Warmog's Armor) | Vex (Guinsoo's Rageblade, Rabadon's Deathcap, Red Buff) | Graves (Deathblade, Giant Slayer, Spear of Shojin) | Fiora (Edge of Night, Sterak's Gage, Hand Of Justice) | Shen | Morgana | Maokai | Akali | Aatrox"
B,Meeple Veigar,5,Medium,4.69,0.03,10.8%,45.7%,Veigar | Rammus | Poppy | Lissandra | Bard | Illaoi | Meepsie | Mordekaiser,"Veigar★ (Archangel's Staff, Archangel's Staff, Archangel's Staff) | Rammus (Adaptive Helm, Crownguard, Protector's Vow) | Poppy★ (Crownguard, Protector's Vow, Warmog's Armor) | Lissandra★ (Meeple Emblem, Morellonomicon, Void Staff) | Bard | Illaoi | Meepsie | Mordekaiser"
B,Vanguard Leona Teemo,5,Medium,4.69,0.04,8.0%,46.2%,Leona | Teemo | Zoe | Nasus | Nami | Illaoi | Mordekaiser | Lissandra,"Leona★ (Gargoyle Stoneplate, Gargoyle Stoneplate, Warmog's Armor) | Teemo★ (Guinsoo's Rageblade, Giant Slayer, Giant Slayer) | Zoe★ (Archangel's Staff, Morellonomicon, Void Staff) | Nasus★ (Gargoyle Stoneplate, Spirit Visage, Warmog's Armor) | Nami | Illaoi | Mordekaiser | Lissandra★"
B,Stargazer - The Mountain Xayah,,Medium,4.71,0.03,13.1%,45.5%,Xayah | Nunu & Willump | Riven | Jhin | Lulu | Jax | Mordekaiser | Talon,"Xayah (Last Whisper, Giant Slayer, Red Buff) | Nunu & Willump (Crownguard, Protector's Vow, Evenshroud) | Riven (Stargazer Emblem, Bloodthirster, Sterak's Gage) | Jhin (Stargazer Emblem, Infinity Edge, Giant Slayer) | Lulu | Jax | Mordekaiser | Talon"
B,Gun Goddess Miss Fortune,7,Easy,4.73,0.10,7.1%,45.3%,Miss Fortune | Ornn | Viktor | Maokai | Rhaast | Gragas | Aatrox,"Miss Fortune★ (Deathblade, Infinity Edge, Giant Slayer) | Ornn★ (Bramble Vest, Gargoyle Stoneplate, Warmog's Armor) | Viktor★ (Drone Uplink, Jeweled Gauntlet, Rabadon's Deathcap) | Maokai★ (Dragon's Claw, Gargoyle Stoneplate, Warmog's Armor) | Rhaast★ | Gragas | Aatrox"
C,Space Groove Nami,,Medium,4.76,0.07,10.9%,44.1%,Nami | Riven | Tahm Kench | Blitzcrank | Nunu & Willump | Ornn | Gwen | Pantheon,"Nami (Rogue Emblem, Jeweled Gauntlet, Spear of Shojin) | Riven (Space Groove Emblem, Sterak's Gage, Sterak's Gage) | Tahm Kench (Sunfire Cape, Spirit Visage, Warmog's Armor) | Blitzcrank (Ionic Spark, Jeweled Gauntlet, Hand Of Justice) | Nunu & Willump | Ornn | Gwen | Pantheon"
C,Arbiter Diana,7,Medium,4.78,0.17,15.6%,44.3%,Diana | Illaoi | Aurora | Jinx | LeBlanc | Meepsie | Leona,"Diana★ (Cyclonic Slicers, Bloodthirster, Titan's Resolve) | Illaoi★ (Radiant Field, Gargoyle Stoneplate, Warmog's Armor) | Aurora★ (Searing Shortbow, Jeweled Gauntlet, Spear of Shojin) | Jinx★ (Battle Bunny Crossbow, Guinsoo's Rageblade, Infinity Edge) | LeBlanc | Meepsie | Leona"
C,Mecha Urgot,7,Easy,4.79,0.03,9.2%,45.6%,Urgot | Aurora | Maokai | Rhaast | The Mighty Mech | Akali,"Urgot★ (Deathblade, Deathblade, Quicksilver) | Aurora★ (Jeweled Gauntlet, Rabadon's Deathcap, Spear of Shojin) | Maokai★ (Dragon's Claw, Evenshroud, Warmog's Armor) | Rhaast★ (Protector's Vow, Gargoyle Stoneplate, Warmog's Armor) | The Mighty Mech | Akali"
C,Challenger Diana,7,Medium,4.81,0.05,8.0%,45.0%,Diana | Miss Fortune | Ornn | Kindred | Rhaast | Aatrox | Leona,"Diana★ (Bloodthirster, Guinsoo's Rageblade, Titan's Resolve) | Miss Fortune★ (Deathblade, Infinity Edge, Striker's Flail) | Ornn★ (Bramble Vest, Crownguard, Gargoyle Stoneplate) | Kindred (Guinsoo's Rageblade, Giant Slayer, Kraken's Fury) | Rhaast★ | Aatrox | Leona"
C,Voyager Pyke,6,Easy,4.81,0.01,5.6%,45.0%,Pyke | Gragas | Master Yi | Viktor | Karma | Tahm Kench | Meepsie | Lissandra,"Pyke★ (Marauder Emblem, Edge of Night, Infinity Edge) | Gragas★ (Bramble Vest, Dragon's Claw, Spirit Visage) | Master Yi (Bloodthirster, Edge of Night, Giant Slayer) | Viktor★ (Morellonomicon) | Karma | Tahm Kench | Meepsie★ | Lissandra"
C,Vanguard Zoe,6,Medium,4.83,0.04,8.6%,43.2%,Zoe | Leona | LeBlanc | Mordekaiser | Karma | Nunu & Willump | Illaoi | Meepsie,"Zoe★ (Archangel's Staff, Jeweled Gauntlet, Rabadon's Deathcap) | Leona★ (Gargoyle Stoneplate, Gargoyle Stoneplate, Warmog's Armor) | LeBlanc (Archangel's Staff, Guinsoo's Rageblade, Giant Slayer) | Mordekaiser (Crownguard, Gargoyle Stoneplate, Warmog's Armor) | Karma | Nunu & Willump | Illaoi | Meepsie"
C,Vanguard LeBlanc,,Medium,4.85,0.23,7.7%,42.4%,LeBlanc | Nunu & Willump | Karma | Illaoi | Bard | Meepsie | Mordekaiser | Zoe | Leona,"LeBlanc (Guinsoo's Rageblade, Jeweled Gauntlet, Giant Slayer) | Nunu & Willump (Bramble Vest, Protector's Vow, Warmog's Armor) | Karma (Shepherd Emblem, Morellonomicon, Void Staff) | Illaoi (Gargoyle Stoneplate, Ionic Spark, Warmog's Armor) | Bard | Meepsie | Mordekaiser | Zoe | Leona"
C,Fateweaver Jax,6,Easy,4.98,0.05,5.5%,41.5%,Jax | Twisted Fate | Caitlyn | Talon | Corki | Riven | Milio | Aatrox,"Jax★ (Crownguard, Gargoyle Stoneplate, Gargoyle Stoneplate) | Twisted Fate★ (Nashor's Tooth, Nashor's Tooth, Rabadon's Deathcap) | Caitlyn★ (Guinsoo's Rageblade, Giant Slayer, Giant Slayer) | Talon★ (Edge of Night, Hextech Gunblade, Spear of Shojin) | Corki | Riven | Milio | Aatrox★"
D,Voyager Nami,,Medium,5.00,0.07,6.0%,39.4%,Nami | Karma | Nunu & Willump | The Mighty Mech | Illaoi | Rhaast | Meepsie | Lissandra,"Nami (Red Buff, Spear of Shojin, Void Staff) | Karma (Archangel's Staff, Morellonomicon, Spear of Shojin) | Nunu & Willump (Adaptive Helm, Protector's Vow, Protector's Vow) | The Mighty Mech (Dragon's Claw, Gargoyle Stoneplate, Warmog's Armor) | Illaoi | Rhaast | Meepsie | Lissandra"
D,Challenger Diana Miss Fortune,7,Easy,5.01,0.03,7.3%,40.0%,Diana | Miss Fortune | Illaoi | Kindred | Akali | Bel'Veth | Leona,"Diana★ (Bloodthirster, Guinsoo's Rageblade, Titan's Resolve) | Miss Fortune★ (Infinity Edge, Giant Slayer, Spear of Shojin) | Illaoi★ (Crownguard, Ionic Spark, Sunfire Cape) | Kindred | Akali | Bel'Veth | Leona"
D,Meeple Rammus,,Easy,5.08,0.02,13.8%,37.7%,Rammus | Corki | Bard | Fizz | Gnar | Meepsie | Milio | Poppy,"Rammus (Gargoyle Stoneplate, Gargoyle Stoneplate, Gargoyle Stoneplate) | Corki (Deathblade, Giant Slayer, Red Buff) | Bard (Jeweled Gauntlet, Rabadon's Deathcap, Spear of Shojin) | Fizz | Gnar | Meepsie | Milio | Poppy"
D,Timebreaker Ezreal,5,Easy,5.11,0.06,11.9%,37.5%,Ezreal | Cho'Gath | Pantheon | Riven | Tahm Kench | Kai'Sa | Maokai | Milio,"Ezreal★ (Deathblade, Infinity Edge, Spear of Shojin) | Cho'Gath★ (Crownguard, Protector's Vow, Gargoyle Stoneplate) | Pantheon★ (Protector's Vow, Sunfire Cape, Evenshroud) | Riven | Tahm Kench | Kai'Sa | Maokai | Milio★"
D,Primordian Briar,5,Easy,5.21,0.04,6.2%,37.4%,Briar | Bel'Veth | Rek'Sai | Kai'Sa | Kindred | Rhaast | Akali | Cho'Gath,"Briar★ (Bloodthirster, Sterak's Gage, Titan's Resolve) | Bel'Veth★ (Rogue Emblem, Quicksilver, Kraken's Fury) | Rek'Sai★ (Steadfast Heart, Sunfire Cape, Evenshroud) | Kai'Sa★ (Blue Buff, Infinity Edge, Striker's Flail) | Kindred | Rhaast | Akali★ | Cho'Gath★"
D,Challenger Bel'Veth,6,Easy,5.26,0.03,3.9%,36.6%,Bel'Veth | Akali | Rek'Sai | Kindred | Maokai | Aatrox | Briar | Caitlyn,"Bel'Veth★ (N.O.V.A. Emblem, Quicksilver, Kraken's Fury) | Akali★ (Bloodthirster, Sterak's Gage, Hand Of Justice) | Rek'Sai★ (Gargoyle Stoneplate, Sunfire Cape, Evenshroud) | Kindred | Maokai | Aatrox★ | Briar★ | Caitlyn★"
D,Bastion Corki,,Easy,5.26,0.02,4.8%,37.9%,Corki | Rammus | Caitlyn | Shen | Ornn | Jax | Aatrox | Poppy,"Corki (Deathblade, Last Whisper, Striker's Flail) | Rammus (Bramble Vest, Gargoyle Stoneplate, Spirit Visage) | Caitlyn★ (Guinsoo's Rageblade, Infinity Edge, Kraken's Fury) | Shen (Bloodthirster, Guinsoo's Rageblade, Titan's Resolve) | Ornn | Jax | Aatrox | Poppy"
