Tier,Name,Level,Difficulty,Avg Place,Pick Rate,Win Rate,Top 4 Rate,Units,UnitDetails
S,Vanguard Teemo,5,Medium,4.14,0.45,11.8%,57.7%,Teemo | Leona | Zoe | Nasus | Nami | Illaoi | Mordekaiser | Lissandra,"Teemo★ (Guinsoo's Rageblade, Giant Slayer, Rabadon's Deathcap) | Leona★ (Gargoyle Stoneplate, Gargoyle Stoneplate, Warmog's Armor) | Zoe★ (Morellonomicon, Spear of Shojin, Void Staff) | Nasus★ (Ionic Spark, Sunfire Cape, Warmog's Armor) | Nami | Illaoi | Mordekaiser | Lissandra★"
S,Dark Star Karma,,Medium,4.22,0.31,14.2%,55.6%,Karma | Jhin | Tahm Kench | The Mighty Mech | Blitzcrank | Kai'Sa | Mordekaiser | Cho'Gath | Lissandra,"Karma (Blue Buff, Rabadon's Deathcap, Void Staff) | Jhin (Infinity Edge, Giant Slayer, Striker's Flail) | Tahm Kench (Sunfire Cape, Evenshroud, Warmog's Armor) | The Mighty Mech (Protector's Vow, Gargoyle Stoneplate, Warmog's Armor) | Blitzcrank | Kai'Sa | Mordekaiser | Cho'Gath | Lissandra"
A,Marauder Master Yi,,Medium,4.25,1.23,13.4%,54.9%,Master Yi | Kindred | Tahm Kench | Fiora | Morgana | Maokai | Urgot | Bel'Veth | Gragas,"Master Yi (Malware Matrix, Edge of Night, Giant Slayer) | Kindred (Guinsoo's Rageblade, Last Whisper, Kraken's Fury) | Tahm Kench (Sunfire Cape, Spirit Visage, Evenshroud) | Fiora (Edge of Night, Giant Slayer, Hand Of Justice) | Morgana | Maokai | Urgot | Bel'Veth | Gragas"
A,Primordian Briar,5,Medium,4.30,0.50,10.3%,54.6%,Briar | Bel'Veth | Rek'Sai | Kai'Sa | Kindred | Rhaast | Akali | Cho'Gath,"Briar★ (Bloodthirster, Sterak's Gage, Titan's Resolve) | Bel'Veth★ (Giant Slayer, Quicksilver, Kraken's Fury) | Rek'Sai★ (Protector's Vow, Sunfire Cape, Evenshroud) | Kai'Sa (Infinity Edge, Striker's Flail, Spear of Shojin) | Kindred | Rhaast | Akali | Cho'Gath★"
A,Dark Star Nunu & Willump,,Medium,4.32,0.18,13.8%,53.0%,Nunu & Willump | Kai'Sa | Karma | Jhin | The Mighty Mech | Tahm Kench | Mordekaiser | Cho'Gath | Lissandra,"Nunu & Willump (Protector's Vow, Protector's Vow, Protector's Vow) | Kai'Sa (Blue Buff, Infinity Edge, Striker's Flail) | Karma (Jeweled Gauntlet, Rabadon's Deathcap, Spear of Shojin) | Jhin (Infinity Edge, Last Whisper, Striker's Flail) | The Mighty Mech | Tahm Kench | Mordekaiser | Cho'Gath | Lissandra"
A,Fateweaver Twisted Fate,5,Medium,4.33,0.36,10.7%,53.6%,Twisted Fate | Jax | Caitlyn | Talon | Corki | Riven | Milio | Aatrox,"Twisted Fate★ (Nashor's Tooth, Nashor's Tooth, Rabadon's Deathcap) | Jax★ (Crownguard, Gargoyle Stoneplate, Gargoyle Stoneplate) | Caitlyn★ (Deathblade, Guinsoo's Rageblade, Giant Slayer) | Talon★ (Edge of Night, Hextech Gunblade, Spear of Shojin) | Corki | Riven | Milio | Aatrox★"
A,Vanguard Nunu & Willump,,Hard,4.33,0.31,16.3%,52.1%,Nunu & Willump | Vex | Blitzcrank | Bard | Sona | Karma | Illaoi | Meepsie | Mordekaiser,"Nunu & Willump (Bramble Vest, Protector's Vow, Warmog's Armor) | Vex (Guinsoo's Rageblade, Jeweled Gauntlet, Giant Slayer) | Blitzcrank (Jeweled Gauntlet, Striker's Flail, Hand Of Justice) | Bard (Morellonomicon, Spear of Shojin, Void Staff) | Sona | Karma | Illaoi | Meepsie | Mordekaiser"
A,Primordian Bel'Veth,6,Easy,4.34,0.04,9.4%,54.8%,Bel'Veth | Rek'Sai | Kindred | Briar | Maokai | Akali | Aatrox | Caitlyn,"Bel'Veth★ (Giant Slayer, Quicksilver, Kraken's Fury) | Rek'Sai★ (Gargoyle Stoneplate, Steadfast Heart, Sunfire Cape) | Kindred (Guinsoo's Rageblade, Giant Slayer, Red Buff) | Briar★ (Bloodthirster, Sterak's Gage, Titan's Resolve) | Maokai | Akali★ | Aatrox★ | Caitlyn"
A,Dark Star Kai'Sa,7,Medium,4.40,0.30,12.4%,51.8%,Kai'Sa | Illaoi | Karma | Jhin | Meepsie | Mordekaiser | Cho'Gath | Lissandra,"Kai'Sa★ (Blue Buff, Infinity Edge, Striker's Flail) | Illaoi★ (Bramble Vest, Sunfire Cape, Evenshroud) | Karma (Jeweled Gauntlet, Rabadon's Deathcap, Spear of Shojin) | Jhin | Meepsie | Mordekaiser | Cho'Gath | Lissandra"
A,Shepherd LeBlanc,,Easy,4.44,0.08,11.3%,51.0%,LeBlanc | The Mighty Mech | Karma | Illaoi | Morgana | Sona | Meepsie | Leona | Lissandra,"LeBlanc (Guinsoo's Rageblade, Jeweled Gauntlet, Rabadon's Deathcap) | The Mighty Mech (Bramble Vest, Gargoyle Stoneplate, Spirit Visage) | Karma (Shepherd Emblem, Morellonomicon, Void Staff) | Illaoi (Gargoyle Stoneplate, Ionic Spark, Sunfire Cape) | Morgana | Sona | Meepsie | Leona | Lissandra"
