Tier,Name,Level,Difficulty,Avg Place,Pick Rate,Win Rate,Top 4 Rate,Units,UnitDetails
S,Vanguard Nunu & Willump,,Hard,4.12,0.54,19.7%,55.8%,Nunu & Willump | Vex | Bard | Blitzcrank | Sona | Karma | Illaoi | Meepsie | Mordekaiser,"Nunu & Willump (Protector's Vow, Gargoyle Stoneplate, Warmog's Armor) | Vex (Guinsoo's Rageblade, Jeweled Gauntlet, Striker's Flail) | Bard (Rabadon's Deathcap, Spear of Shojin, Void Staff) | Blitzcrank (Jeweled Gauntlet, Striker's Flail, Hand Of Justice) | Sona | Karma | Illaoi | Meepsie | Mordekaiser"
S,Dark Star Nunu & Willump,,Medium,4.15,0.22,14.6%,56.7%,Nunu & Willump | Karma | Jhin | Kai'Sa | The Mighty Mech | Tahm Kench | Mordekaiser | Cho'Gath | Lissandra,"Nunu & Willump (Bramble Vest, Crownguard, Protector's Vow) | Karma (Blue Buff, Morellonomicon, Void Staff) | Jhin (Infinity Edge, Giant Slayer, Striker's Flail) | Kai'Sa (Infinity Edge, Striker's Flail, Spear of Shojin) | The Mighty Mech | Tahm Kench | Mordekaiser | Cho'Gath | Lissandra"
S,Dark Star Tahm Kench,,Medium,4.17,0.29,14.8%,56.1%,Tahm Kench | Karma | Jhin | Blitzcrank | The Mighty Mech | Kai'Sa | Mordekaiser | Cho'Gath | Lissandra,"Tahm Kench (Sunfire Cape, Spirit Visage, Warmog's Armor) | Karma (Morellonomicon, Spear of Shojin, Void Staff) | Jhin (Infinity Edge, Giant Slayer, Striker's Flail) | Blitzcrank | The Mighty Mech | Kai'Sa | Mordekaiser | Cho'Gath | Lissandra"
A,Dark Star Illaoi,,Medium,4.26,0.08,12.9%,54.2%,Illaoi | Kai'Sa | Karma | Jhin | Meepsie | Mordekaiser | Pantheon | Cho'Gath | Lissandra,"Illaoi (Crownguard, Gargoyle Stoneplate, Gargoyle Stoneplate) | Kai'Sa★ (Blue Buff, Infinity Edge, Striker's Flail) | Karma (Morellonomicon, Spear of Shojin, Void Staff) | Jhin (Infinity Edge, Last Whisper, Giant Slayer) | Meepsie | Mordekaiser | Pantheon | Cho'Gath | Lissandra"
A,Marauder Master Yi,,Medium,4.31,0.95,12.2%,54.1%,Master Yi | Kindred | Tahm Kench | Fiora | Morgana | Maokai | Urgot | Bel'Veth | Gragas,"Master Yi (Malware Matrix, Edge of Night, Giant Slayer) | Kindred (Battle Bunny Crossbow, Guinsoo's Rageblade, Infinity Edge) | Tahm Kench (Sunfire Cape, Spirit Visage, Evenshroud) | Fiora (Edge of Night, Giant Slayer, Hand Of Justice) | Morgana | Maokai | Urgot | Bel'Veth | Gragas"
A,Meeple Corki,,Medium,4.42,1.53,7.9%,53.3%,Corki | Rammus | Riven | The Mighty Mech | Fizz | Meepsie | Milio | Poppy,"Corki (Rogue Emblem, Deathblade, Last Whisper) | Rammus (Crownguard, Protector's Vow, Gargoyle Stoneplate) | Riven (Bloodthirster, Giant Slayer, Sterak's Gage) | The Mighty Mech (Sunfire Cape, Warmog's Armor) | Fizz | Meepsie | Milio | Poppy"
A,Stargazer - The Mountain Lulu,7,Medium,4.44,0.39,13.4%,50.4%,Lulu | Jax | Milio | Maokai | Pantheon | Aatrox | Twisted Fate,"Lulu★ (Jeweled Gauntlet, Nashor's Tooth, Nashor's Tooth) | Jax★ (Bloodthirster, Edge of Night, Titan's Resolve) | Milio★ (Stargazer Emblem, Morellonomicon, Spear of Shojin) | Maokai★ (Stargazer Emblem, Spirit Visage, Warmog's Armor) | Pantheon★ | Aatrox | Twisted Fate"
A,Sniper Xayah,,Medium,4.46,0.51,16.9%,49.5%,Xayah | Nunu & Willump | Jhin | Tahm Kench | Blitzcrank | Maokai | Rhaast | Jax | Aatrox,"Xayah (Battle Bunny Crossbow, Guinsoo's Rageblade, Infinity Edge) | Nunu & Willump (Adaptive Helm, Protector's Vow, Protector's Vow) | Jhin (Deathblade, Infinity Edge, Giant Slayer) | Tahm Kench (Bramble Vest, Gargoyle Stoneplate, Warmog's Armor) | Blitzcrank | Maokai | Rhaast | Jax | Aatrox"
A,Dark Star Riven,,Easy,4.50,0.03,13.7%,48.9%,Riven | Kai'Sa | Tahm Kench | Jhin | Blitzcrank | The Mighty Mech | Karma | Mordekaiser | Cho'Gath,"Riven (Dark Star Emblem, Brawler Emblem, Sterak's Gage) | Kai'Sa (Sniper Emblem, Blue Buff, Infinity Edge) | Tahm Kench (Gargoyle Stoneplate, Sunfire Cape, Evenshroud) | Jhin (Infinity Edge, Giant Slayer, Red Buff) | Blitzcrank | The Mighty Mech | Karma | Mordekaiser | Cho'Gath"
A,Mecha Aurelion Sol,,Easy,4.50,0.09,19.0%,50.4%,Aurelion Sol | The Mighty Mech | Karma | Tahm Kench | Nunu & Willump | Urgot | Mordekaiser,"Aurelion Sol (The Annihilator, Jeweled Gauntlet, Rabadon's Deathcap) | The Mighty Mech (Iceblast Armor, Lioness's Lament, Gargoyle Stoneplate) | Karma (Morellonomicon, Spear of Shojin, Void Staff) | Tahm Kench (Protector's Vow, Sunfire Cape, Warmog's Armor) | Nunu & Willump | Urgot | Mordekaiser"
