Tier,Name,Level,Difficulty,Avg Place,Pick Rate,Win Rate,Top 4 Rate,Units,UnitDetails
S,Dark Star Illaoi,7,Medium,4.09,0.07,15.4%,58.9%,Kai'Sa | Illaoi | Karma | Mordekaiser | Jhin | Meepsie | Cho'Gath | Lissandra,"Kai'Sa★ (Infinity Edge, Giant Slayer, Striker's Flail) | Illaoi★ (Protector's Vow, Evenshroud, Warmog's Armor) | Karma (Blue Buff, Jeweled Gauntlet, Void Staff) | Mordekaiser (Gargoyle Stoneplate, Sunfire Cape, Warmog's Armor) | Jhin | Meepsie | Cho'Gath | Lissandra"
S,Vanguard Teemo,5,Medium,4.09,0.35,11.7%,60.2%,Teemo | Leona | Nasus | Lissandra | Nami | Illaoi | Mordekaiser | Zoe,"Teemo★ (Guinsoo's Rageblade, Giant Slayer, Rabadon's Deathcap) | Leona★ (Gargoyle Stoneplate, Gargoyle Stoneplate, Warmog's Armor) | Nasus★ (Sunfire Cape, Spirit Visage, Warmog's Armor) | Lissandra★ (Morellonomicon, Spear of Shojin, Void Staff) | Nami | Illaoi | Mordekaiser | Zoe★"
S,Fateweaver Twisted Fate,5,Medium,4.09,0.39,12.0%,59.4%,Twisted Fate | Jax | Caitlyn | Talon | Corki | Riven | Milio | Aatrox,"Twisted Fate★ (Nashor's Tooth, Nashor's Tooth, Rabadon's Deathcap) | Jax★ (Crownguard, Gargoyle Stoneplate, Gargoyle Stoneplate) | Caitlyn★ (Deathblade, Guinsoo's Rageblade, Giant Slayer) | Talon★ (Edge of Night, Hextech Gunblade, Spear of Shojin) | Corki | Riven | Milio | Aatrox★"
S,Dark Star Karma,,Easy,4.12,0.16,15.3%,57.4%,Karma | Jhin | Tahm Kench | The Mighty Mech | Blitzcrank | Kai'Sa | Mordekaiser | Cho'Gath | Lissandra,"Karma (Sniper Emblem, Jeweled Gauntlet, Spear of Shojin) | Jhin (Infinity Edge, Last Whisper, Giant Slayer) | Tahm Kench (Sunfire Cape, Evenshroud, Warmog's Armor) | The Mighty Mech (Protector's Vow, Gargoyle Stoneplate, Sunfire Cape) | Blitzcrank | Kai'Sa | Mordekaiser | Cho'Gath | Lissandra"
S,Primordian Briar,5,Medium,4.16,0.48,11.7%,57.7%,Briar | Bel'Veth | Rek'Sai | Kindred | Tahm Kench | Kai'Sa | Rhaast | Akali,"Briar★ (Bloodthirster, Sterak's Gage, Titan's Resolve) | Bel'Veth★ (Giant Slayer, Quicksilver, Kraken's Fury) | Rek'Sai★ (Protector's Vow, Sunfire Cape, Evenshroud) | Kindred (Guinsoo's Rageblade, Last Whisper, Red Buff) | Tahm Kench | Kai'Sa | Rhaast | Akali"
S,Vanguard Nunu & Willump,,Hard,4.18,0.37,17.0%,55.0%,Nunu & Willump | Vex | Blitzcrank | Bard | Sona | Karma | Illaoi | Meepsie | Mordekaiser,"Nunu & Willump (Adaptive Helm, Protector's Vow, Protector's Vow) | Vex (Guinsoo's Rageblade, Jeweled Gauntlet, Striker's Flail) | Blitzcrank (Jeweled Gauntlet, Striker's Flail, Hand Of Justice) | Bard (Morellonomicon, Spear of Shojin, Void Staff) | Sona | Karma | Illaoi | Meepsie | Mordekaiser"
S,N.O.V.A. Kindred,,Easy,4.22,0.07,18.8%,54.8%,Tahm Kench | Graves | Maokai | Fiora | Morgana | Shen | Vex | Akali | Aatrox,"Tahm Kench (Gargoyle Stoneplate, Steadfast Heart, Warmog's Armor) | Graves (Infinity Edge, Giant Slayer, Spear of Shojin) | Maokai (Sunfire Cape, Evenshroud, Warmog's Armor) | Fiora | Morgana | Shen | Vex | Akali | Aatrox"
A,Dark Star Nunu & Willump,,Easy,4.30,0.08,12.6%,54.0%,Nunu & Willump | Karma | Jhin | Kai'Sa | The Mighty Mech | Tahm Kench | Mordekaiser | Cho'Gath | Lissandra,"Nunu & Willump (Crownguard, Protector's Vow, Warmog's Armor) | Karma (Jeweled Gauntlet, Nashor's Tooth, Rabadon's Deathcap) | Jhin (Infinity Edge, Last Whisper, Striker's Flail) | Kai'Sa (Blue Buff, Infinity Edge, Striker's Flail) | The Mighty Mech | Tahm Kench | Mordekaiser | Cho'Gath | Lissandra"
A,Dark Star Kai'Sa,7,Easy,4.33,0.04,20.9%,52.1%,Kai'Sa | Cho'Gath | Karma | Jhin | Riven | Mordekaiser | Pantheon | Lissandra,"Kai'Sa★ (Infinity Edge, Giant Slayer, Striker's Flail) | Cho'Gath★ (Crownguard, Protector's Vow, Spirit Visage) | Karma (Rabadon's Deathcap, Red Buff, Spear of Shojin) | Jhin (Infinity Edge, Last Whisper, Striker's Flail) | Riven | Mordekaiser | Pantheon | Lissandra"
A,Marauder Master Yi,,Medium,4.36,0.88,11.7%,53.0%,Master Yi | Kindred | Tahm Kench | Fiora | Shen | Maokai | Akali | Bel'Veth | Aatrox,"Master Yi (Malware Matrix, Edge of Night, Giant Slayer) | Kindred (Marauder Emblem, Guinsoo's Rageblade, Kraken's Fury) | Tahm Kench (Sunfire Cape, Spirit Visage, Evenshroud) | Fiora (Edge of Night, Giant Slayer, Hand Of Justice) | Shen | Maokai | Akali | Bel'Veth | Aatrox"
