Tier,Name,Level,Difficulty,Avg Place,Pick Rate,Win Rate,Top 4 Rate,Units,UnitDetails
S,Vanguard Teemo,5,Medium,4.15,0.46,11.7%,57.4%,Teemo | Leona | Zoe | Nasus | Nami | Illaoi | Mordekaiser | Lissandra,"Teemo★ (Guinsoo's Rageblade, Giant Slayer, Rabadon's Deathcap) | Leona★ (Gargoyle Stoneplate, Gargoyle Stoneplate, Warmog's Armor) | Zoe★ (Morellonomicon, Spear of Shojin, Void Staff) | Nasus★ (Sunfire Cape, Spirit Visage, Warmog's Armor) | Nami | Illaoi | Mordekaiser | Lissandra★"
S,Dark Star Karma,,Medium,4.23,0.33,13.9%,55.3%,Karma | Jhin | Tahm Kench | Kai'Sa | Blitzcrank | The Mighty Mech | Mordekaiser | Cho'Gath | Lissandra,"Karma (Jeweled Gauntlet, Red Buff, Spear of Shojin) | Jhin (Infinity Edge, Last Whisper, Giant Slayer) | Tahm Kench (Dragon's Claw, Sunfire Cape, Evenshroud) | Kai'Sa (Blue Buff, Infinity Edge, Striker's Flail) | Blitzcrank | The Mighty Mech | Mordekaiser | Cho'Gath | Lissandra"
A,Marauder Master Yi,,Medium,4.25,1.27,13.5%,54.9%,Master Yi | Kindred | Tahm Kench | Fiora | Morgana | Maokai | Urgot | Bel'Veth | Gragas,"Master Yi (Malware Matrix, Edge of Night, Giant Slayer) | Kindred (Marauder Emblem, Guinsoo's Rageblade, Last Whisper) | Tahm Kench (Sunfire Cape, Spirit Visage, Evenshroud) | Fiora (Edge of Night, Giant Slayer, Hand Of Justice) | Morgana | Maokai | Urgot | Bel'Veth | Gragas"
A,Primordian Briar,5,Medium,4.26,0.50,10.8%,55.5%,Briar | Bel'Veth | Rek'Sai | Kai'Sa | Kindred | Rhaast | Akali | Cho'Gath,"Briar★ (Bloodthirster, Sterak's Gage, Titan's Resolve) | Bel'Veth★ (Giant Slayer, Quicksilver, Kraken's Fury) | Rek'Sai★ (Protector's Vow, Sunfire Cape, Evenshroud) | Kai'Sa (Infinity Edge, Striker's Flail, Spear of Shojin) | Kindred | Rhaast | Akali | Cho'Gath★"
A,Dark Star Nunu & Willump,,Medium,4.32,0.20,13.8%,53.1%,Nunu & Willump | Kai'Sa | Karma | Jhin | The Mighty Mech | Tahm Kench | Mordekaiser | Cho'Gath | Lissandra,"Nunu & Willump (Protector's Vow, Protector's Vow, Spirit Visage) | Kai'Sa (Blue Buff, Infinity Edge, Striker's Flail) | Karma (Blue Buff, Jeweled Gauntlet, Morellonomicon) | Jhin (Infinity Edge, Giant Slayer, Striker's Flail) | The Mighty Mech | Tahm Kench | Mordekaiser | Cho'Gath | Lissandra"
A,Vanguard Nunu & Willump,,Hard,4.34,0.30,16.4%,51.9%,Nunu & Willump | Vex | Blitzcrank | Bard | Sona | Karma | Illaoi | Meepsie | Mordekaiser,"Nunu & Willump (Protector's Vow, Gargoyle Stoneplate, Warmog's Armor) | Vex (Guinsoo's Rageblade, Jeweled Gauntlet, Striker's Flail) | Blitzcrank (Ionic Spark, Jeweled Gauntlet, Hand Of Justice) | Bard (Rabadon's Deathcap, Spear of Shojin, Void Staff) | Sona | Karma | Illaoi | Meepsie | Mordekaiser"
A,Fateweaver Twisted Fate,5,Medium,4.36,0.35,10.5%,53.2%,Twisted Fate | Jax | Caitlyn | Talon | Corki | Riven | Milio | Aatrox,"Twisted Fate★ (Nashor's Tooth, Nashor's Tooth, Rabadon's Deathcap) | Jax★ (Crownguard, Gargoyle Stoneplate, Gargoyle Stoneplate) | Caitlyn★ (Deathblade, Guinsoo's Rageblade, Giant Slayer) | Talon★ (Edge of Night, Hextech Gunblade, Spear of Shojin) | Corki | Riven | Milio | Aatrox★"
A,Dark Star Kai'Sa,7,Medium,4.42,0.29,12.4%,51.3%,Kai'Sa | Illaoi | Karma | Jhin | Meepsie | Mordekaiser | Cho'Gath | Lissandra,"Kai'Sa★ (Blue Buff, Infinity Edge, Striker's Flail) | Illaoi★ (Bramble Vest, Crownguard, Gargoyle Stoneplate) | Karma (Blue Buff, Jeweled Gauntlet, Void Staff) | Jhin | Meepsie | Mordekaiser | Cho'Gath | Lissandra"
A,Primordian Bel'Veth,6,Easy,4.45,0.04,8.6%,52.9%,Bel'Veth | Rek'Sai | Briar | Kindred | Maokai | Akali | Aatrox | Caitlyn,"Bel'Veth★ (Rogue Emblem, Giant Slayer, Quicksilver) | Rek'Sai★ (Steadfast Heart, Sunfire Cape, Spirit Visage) | Briar★ (Bloodthirster, Sterak's Gage, Titan's Resolve) | Kindred (Guinsoo's Rageblade, Infinity Edge, Striker's Flail) | Maokai | Akali★ | Aatrox | Caitlyn"
A,Meeple Corki,,Medium,4.48,0.93,9.4%,51.2%,Corki | Rammus | Riven | The Mighty Mech | Fizz | Meepsie | Milio | Poppy,"Corki (Deathblade, Last Whisper, Striker's Flail) | Rammus (Crownguard, Protector's Vow, Gargoyle Stoneplate) | Riven (Bloodthirster, Sterak's Gage, Titan's Resolve) | The Mighty Mech (Protector's Vow, Sunfire Cape) | Fizz | Meepsie | Milio | Poppy"
A,Dark Star Xayah,,Medium,4.48,0.08,16.2%,49.5%,Xayah | Nunu & Willump | Jhin | Karma | The Mighty Mech | Tahm Kench | Kai'Sa | Mordekaiser | Cho'Gath,"Xayah (Battle Bunny Crossbow, Dark Star Emblem, Guinsoo's Rageblade) | Nunu & Willump (Adaptive Helm, Protector's Vow, Protector's Vow) | Jhin (Deathblade, Infinity Edge, Last Whisper) | Karma (Stargazer Emblem, Blue Buff, Jeweled Gauntlet) | The Mighty Mech | Tahm Kench | Kai'Sa | Mordekaiser | Cho'Gath"
B,Dark Star Kai'Sa Cho'Gath,,Easy,4.51,0.07,14.7%,48.6%,Kai'Sa | Cho'Gath | Riven | Karma | Jhin | The Mighty Mech | Mordekaiser | Pantheon | Lissandra,"Kai'Sa (Blue Buff, Infinity Edge, Striker's Flail) | Cho'Gath★ (Protector's Vow, Gargoyle Stoneplate, Warmog's Armor) | Riven (Dark Star Emblem, Bloodthirster, Sterak's Gage) | Karma (Jeweled Gauntlet, Nashor's Tooth, Rabadon's Deathcap) | Jhin | The Mighty Mech | Mordekaiser | Pantheon | Lissandra★"
B,Shepherd LeBlanc,,Easy,4.54,0.08,10.7%,49.1%,LeBlanc | Karma | The Mighty Mech | Illaoi | Sona | Meepsie | Leona | Lissandra | Teemo,"LeBlanc (Guinsoo's Rageblade, Giant Slayer, Rabadon's Deathcap) | Karma (Shepherd Emblem, Morellonomicon, Void Staff) | The Mighty Mech (Bramble Vest, Gargoyle Stoneplate, Spirit Visage) | Illaoi (Dragon's Claw, Gargoyle Stoneplate, Sunfire Cape) | Sona | Meepsie | Leona | Lissandra | Teemo"
