Tier,Name,Level,Difficulty,Avg Place,Pick Rate,Win Rate,Top 4 Rate,Units,UnitDetails
S,Dark Star Nunu & Willump,,Medium,4.12,0.21,14.3%,57.7%,Nunu & Willump | Jhin | Karma | Kai'Sa | The Mighty Mech | Tahm Kench | Mordekaiser | Cho'Gath | Lissandra,"Nunu & Willump (Adaptive Helm, Protector's Vow, Protector's Vow) | Jhin (Infinity Edge, Giant Slayer, Striker's Flail) | Karma (Red Buff, Spear of Shojin, Void Staff) | Kai'Sa (Blue Buff, Infinity Edge, Giant Slayer) | The Mighty Mech | Tahm Kench | Mordekaiser | Cho'Gath | Lissandra"
S,Dark Star Tahm Kench,,Easy,4.16,0.27,14.5%,56.6%,Tahm Kench | Karma | Jhin | Blitzcrank | The Mighty Mech | Kai'Sa | Mordekaiser | Cho'Gath | Lissandra,"Tahm Kench (Ionic Spark, Sunfire Cape, Warmog's Armor) | Karma (Giant Slayer, Spear of Shojin, Void Staff) | Jhin (Infinity Edge, Giant Slayer, Red Buff) | Blitzcrank | The Mighty Mech | Kai'Sa | Mordekaiser | Cho'Gath | Lissandra"
S,Vanguard Nunu & Willump,,Hard,4.16,0.66,18.7%,55.1%,Nunu & Willump | Vex | Bard | Blitzcrank | Sona | Karma | Illaoi | Meepsie | Mordekaiser,"Nunu & Willump (Protector's Vow, Gargoyle Stoneplate, Warmog's Armor) | Vex (Guinsoo's Rageblade, Jeweled Gauntlet, Striker's Flail) | Bard (Rabadon's Deathcap, Spear of Shojin, Void Staff) | Blitzcrank (Jeweled Gauntlet, Striker's Flail, Hand Of Justice) | Sona | Karma | Illaoi | Meepsie | Mordekaiser"
A,Dark Star Illaoi,,Medium,4.26,0.07,12.5%,54.8%,Illaoi | Karma | Kai'Sa | Lissandra | Jhin | Meepsie | Mordekaiser | Pantheon | Cho'Gath,"Illaoi (Ionic Spark, Sunfire Cape, Warmog's Armor) | Karma (Morellonomicon, Spear of Shojin, Void Staff) | Kai'Sa★ (Blue Buff, Infinity Edge, Striker's Flail) | Lissandra★ (Jeweled Gauntlet, Nashor's Tooth, Nashor's Tooth) | Jhin | Meepsie | Mordekaiser | Pantheon | Cho'Gath★"
A,Sniper Xayah,,Medium,4.34,0.66,18.3%,51.7%,Xayah | Nunu & Willump | Jhin | Tahm Kench | Blitzcrank | Maokai | Rhaast | Jax | Aatrox,"Xayah (Battle Bunny Crossbow, Guinsoo's Rageblade, Infinity Edge) | Nunu & Willump (Adaptive Helm, Protector's Vow, Protector's Vow) | Jhin (Deathblade, Infinity Edge, Giant Slayer) | Tahm Kench (Dragon's Claw, Spirit Visage, Warmog's Armor) | Blitzcrank | Maokai | Rhaast | Jax | Aatrox"
A,Brawler Master Yi,,Medium,4.36,0.87,10.9%,53.1%,Master Yi | Kindred | Tahm Kench | Fiora | Morgana | Maokai | Urgot | Bel'Veth | Gragas,"Master Yi (Malware Matrix, Edge of Night, Giant Slayer) | Kindred (Battle Bunny Crossbow, Guinsoo's Rageblade, Infinity Edge) | Tahm Kench (Sunfire Cape, Spirit Visage, Evenshroud) | Fiora (Edge of Night, Giant Slayer, Sterak's Gage) | Morgana | Maokai | Urgot | Bel'Veth | Gragas"
A,Meeple Corki,,Medium,4.38,1.43,8.0%,54.2%,Corki | Rammus | Riven | The Mighty Mech | Fizz | Meepsie | Milio | Poppy,"Corki (Rogue Emblem, Deathblade, Last Whisper) | Rammus (Bramble Vest, Crownguard, Gargoyle Stoneplate) | Riven (Bloodthirster, Giant Slayer, Sterak's Gage) | The Mighty Mech (Protector's Vow, Sunfire Cape) | Fizz | Meepsie | Milio | Poppy"
A,Dark Star Riven,,Easy,4.40,0.02,12.4%,50.9%,Riven | Kai'Sa | Tahm Kench | Jhin | Blitzcrank | The Mighty Mech | Karma | Mordekaiser | Cho'Gath,"Riven (Dark Star Emblem, Bloodthirster, Sterak's Gage) | Kai'Sa (Blue Buff, Infinity Edge, Striker's Flail) | Tahm Kench (Gargoyle Stoneplate, Warmog's Armor, Warmog's Armor) | Jhin (Infinity Edge, Striker's Flail, Red Buff) | Blitzcrank | The Mighty Mech | Karma | Mordekaiser | Cho'Gath"
A,Stargazer - The Mountain Lulu,7,Medium,4.46,0.36,12.6%,50.6%,Lulu | Jax | Milio | Maokai | Pantheon | Aatrox | Twisted Fate,"Lulu★ (Jeweled Gauntlet, Nashor's Tooth, Nashor's Tooth) | Jax★ (Bloodthirster, Edge of Night, Titan's Resolve) | Milio★ (Stargazer Emblem, Morellonomicon, Spear of Shojin) | Maokai★ (Stargazer Emblem, Spirit Visage, Warmog's Armor) | Pantheon★ | Aatrox | Twisted Fate"
A,Mecha Aurelion Sol,,Easy,4.46,0.07,18.9%,50.4%,Aurelion Sol | The Mighty Mech | Karma | Tahm Kench | Nunu & Willump | Urgot | Mordekaiser,"Aurelion Sol (The Annihilator, Jeweled Gauntlet, Rabadon's Deathcap) | The Mighty Mech (Iceblast Armor, Lioness's Lament, Gargoyle Stoneplate) | Karma (Red Buff, Spear of Shojin, Void Staff) | Tahm Kench (Gargoyle Stoneplate, Sunfire Cape, Spirit Visage) | Nunu & Willump | Urgot | Mordekaiser"
B,Dark Star Cho'Gath,5,Easy,4.51,0.24,14.6%,48.7%,Cho'Gath | Lissandra | Kai'Sa | Karma | Jhin | The Mighty Mech | Mordekaiser | Pantheon,"Cho'Gath★ (Protector's Vow, Spirit Visage, Warmog's Armor) | Lissandra★ (Jeweled Gauntlet, Nashor's Tooth, Nashor's Tooth) | Kai'Sa (Infinity Edge, Striker's Flail, Spear of Shojin) | Karma (Morellonomicon, Spear of Shojin, Void Staff) | Jhin | The Mighty Mech | Mordekaiser | Pantheon"
B,Vanguard Vex,,Hard,4.54,0.86,18.6%,48.5%,Vex | Nunu & Willump | Graves | Blitzcrank | Fiora | Shen | Rhaast | Akali | Aatrox,"Vex (Guinsoo's Rageblade, Rabadon's Deathcap, Red Buff) | Nunu & Willump (Adaptive Helm, Protector's Vow, Protector's Vow) | Graves (Battle Bunny Crossbow, Guinsoo's Rageblade, Infinity Edge) | Blitzcrank (Crownguard) | Fiora | Shen | Rhaast | Akali | Aatrox"
B,Vanguard Aurelion Sol,,Medium,4.61,0.30,10.5%,47.5%,Aurelion Sol | Nunu & Willump | Karma | Bard | Blitzcrank | Sona | Illaoi | Meepsie | Mordekaiser,"Aurelion Sol (Jeweled Gauntlet, Striker's Flail, Rabadon's Deathcap) | Nunu & Willump (Adaptive Helm, Protector's Vow, Protector's Vow) | Karma (Morellonomicon, Spear of Shojin, Void Staff) | Bard (Giant Slayer, Morellonomicon, Void Staff) | Blitzcrank | Sona | Illaoi | Meepsie | Mordekaiser"
B,Dark Star Xayah,,Medium,4.64,0.05,13.9%,46.1%,Xayah | Nunu & Willump | Jhin | Tahm Kench | The Mighty Mech | Karma | Kai'Sa | Mordekaiser | Cho'Gath,"Xayah (Battle Bunny Crossbow, Guinsoo's Rageblade, Infinity Edge) | Nunu & Willump (Brawler Emblem, Protector's Vow, Protector's Vow) | Jhin (Infinity Edge, Last Whisper, Striker's Flail) | Tahm Kench (Crownguard, Gargoyle Stoneplate, Warmog's Armor) | The Mighty Mech | Karma | Kai'Sa | Mordekaiser | Cho'Gath"
B,Voyager Viktor,7,Easy,4.64,0.02,5.9%,47.3%,Viktor | Illaoi | Pyke | Nami | Rhaast | Meepsie | Mordekaiser | Lissandra,"Viktor★ (Drone Uplink, Jeweled Gauntlet, Giant Slayer) | Illaoi★ (Gargoyle Stoneplate, Ionic Spark, Sunfire Cape) | Pyke★ (Edge of Night, Infinity Edge, Hand Of Justice) | Nami (Rabadon's Deathcap, Spear of Shojin, Void Staff) | Rhaast★ | Meepsie | Mordekaiser | Lissandra"
B,Timebreaker Pyke,6,Medium,4.65,0.01,3.2%,49.0%,Pyke | Gwen | Gragas | Pantheon | Riven | Rhaast | Meepsie | Milio,"Pyke★ (Target-Lock Optics, Edge of Night, Infinity Edge) | Gwen★ (Sympathetic Implant, Hextech Gunblade, Jeweled Gauntlet) | Gragas★ (Crownguard, Protector's Vow, Warmog's Armor) | Pantheon★ (Gargoyle Stoneplate, Spirit Visage, Warmog's Armor) | Riven | Rhaast | Meepsie★ | Milio★"
B,Dark Star Aurelion Sol,,Medium,4.69,0.16,8.1%,46.5%,Aurelion Sol | The Mighty Mech | Karma | Mordekaiser | Blitzcrank | Morgana | Rhaast,"Aurelion Sol (The Annihilator, Jeweled Gauntlet, Rabadon's Deathcap) | The Mighty Mech (Gargoyle Stoneplate, Steadfast Heart, Sterak's Gage) | Karma (Morellonomicon, Spear of Shojin, Void Staff) | Mordekaiser (Sunfire Cape) | Blitzcrank | Morgana | Rhaast"
B,Stargazer - The Mountain Xayah,,Medium,4.70,0.03,12.8%,45.3%,Xayah | Nunu & Willump | Riven | Jhin | Lulu | Jax | Mordekaiser | Talon,"Xayah (Last Whisper, Red Buff, Kraken's Fury) | Nunu & Willump (Adaptive Helm, Protector's Vow, Protector's Vow) | Riven (Stargazer Emblem, Bloodthirster, Sterak's Gage) | Jhin (Stargazer Emblem, Infinity Edge, Striker's Flail) | Lulu | Jax | Mordekaiser | Talon"
B,Bastion Miss Fortune,7,Easy,4.73,0.13,6.3%,45.4%,Miss Fortune | Ornn | Viktor | Maokai | Rhaast | Gragas | Aatrox,"Miss Fortune★ (Deathblade, Infinity Edge, Giant Slayer) | Ornn★ (Bramble Vest, Spirit Visage, Warmog's Armor) | Viktor★ (Archangel's Staff, Jeweled Gauntlet, Giant Slayer) | Maokai★ (Protector's Vow, Spirit Visage, Warmog's Armor) | Rhaast★ | Gragas | Aatrox"
B,Meeple Veigar,5,Medium,4.74,0.03,11.0%,44.3%,Veigar | Rammus | Poppy | Lissandra | Bard | Illaoi | Meepsie | Mordekaiser,"Veigar★ (Blue Buff, Rabadon's Deathcap, Rabadon's Deathcap) | Rammus (Bramble Vest, Protector's Vow, Gargoyle Stoneplate) | Poppy★ (Crownguard, Protector's Vow, Warmog's Armor) | Lissandra★ (Giant Slayer, Spear of Shojin, Void Staff) | Bard | Illaoi | Meepsie | Mordekaiser"
B,Vanguard Leona Teemo,5,Easy,4.74,0.03,7.2%,46.0%,Leona | Teemo | Zoe | Nasus | Nami | Illaoi | Mordekaiser | Lissandra,"Leona★ (Gargoyle Stoneplate, Gargoyle Stoneplate, Warmog's Armor) | Teemo★ (Guinsoo's Rageblade, Giant Slayer, Rabadon's Deathcap) | Zoe★ (Morellonomicon, Spear of Shojin, Void Staff) | Nasus★ (Gargoyle Stoneplate, Spirit Visage, Warmog's Armor) | Nami | Illaoi | Mordekaiser | Lissandra★"
C,N.O.V.A. Tahm Kench,,Easy,4.76,0.15,16.9%,43.4%,Tahm Kench | Vex | Graves | Fiora | Shen | Maokai | Rhaast | Akali | Aatrox,"Tahm Kench (Bramble Vest, Protector's Vow, Gargoyle Stoneplate) | Vex (Archangel's Staff, Guinsoo's Rageblade, Red Buff) | Graves (Infinity Edge, Giant Slayer, Quicksilver) | Fiora (Edge of Night, Giant Slayer, Sterak's Gage) | Shen | Maokai | Rhaast | Akali | Aatrox"
C,Space Groove Nami,,Medium,4.79,0.07,9.9%,44.4%,Nami | Riven | Tahm Kench | Blitzcrank | Nunu & Willump | Ornn | Gwen | Pantheon,"Nami (Jeweled Gauntlet, Nashor's Tooth, Nashor's Tooth) | Riven (Space Groove Emblem, Bloodthirster, Titan's Resolve) | Tahm Kench (Dragon's Claw, Gargoyle Stoneplate, Warmog's Armor) | Blitzcrank (Jeweled Gauntlet, Striker's Flail, Hand Of Justice) | Nunu & Willump | Ornn | Gwen | Pantheon"
C,Arbiter Diana,7,Medium,4.83,0.16,14.4%,43.7%,Diana | Illaoi | Aurora | Jinx | LeBlanc | Meepsie | Leona,"Diana★ (Cyclonic Slicers, Bloodthirster, Titan's Resolve) | Illaoi★ (Radiant Field, Gargoyle Stoneplate, Warmog's Armor) | Aurora★ (Searing Shortbow, Jeweled Gauntlet, Spear of Shojin) | Jinx★ (Battle Bunny Crossbow, Guinsoo's Rageblade, Infinity Edge) | LeBlanc | Meepsie | Leona"
C,Vanguard LeBlanc,,Medium,4.83,0.23,7.8%,43.1%,LeBlanc | Nunu & Willump | Illaoi | Karma | Bard | Meepsie | Mordekaiser | Zoe | Leona,"LeBlanc (Guinsoo's Rageblade, Giant Slayer, Rabadon's Deathcap) | Nunu & Willump (Shepherd Emblem, Protector's Vow, Protector's Vow) | Illaoi (Gargoyle Stoneplate, Steadfast Heart, Warmog's Armor) | Karma (Shepherd Emblem, Morellonomicon, Void Staff) | Bard | Meepsie | Mordekaiser | Zoe | Leona"
C,Voyager Pyke,6,Easy,4.89,0.01,4.9%,42.7%,Pyke | Gragas | Master Yi | Karma | Tahm Kench | Viktor | Meepsie | Lissandra,"Pyke★ (Edge of Night, Striker's Flail, Hand Of Justice) | Gragas★ (Steadfast Heart, Sunfire Cape, Evenshroud) | Master Yi (Bloodthirster, Edge of Night, Giant Slayer) | Karma | Tahm Kench | Viktor★ | Meepsie★ | Lissandra"
C,Mecha Urgot,7,Easy,4.91,0.02,8.2%,41.6%,Urgot | Aurora | Maokai | Rhaast | The Mighty Mech | Akali,"Urgot★ (Deathblade, Deathblade, Quicksilver) | Aurora★ (Jeweled Gauntlet, Jeweled Gauntlet, Spear of Shojin) | Maokai★ (Dragon's Claw, Spirit Visage, Warmog's Armor) | Rhaast★ (Crownguard, Protector's Vow, Evenshroud) | The Mighty Mech | Akali"
C,Challenger Diana,7,Easy,4.92,0.04,7.1%,42.8%,Diana | Miss Fortune | Ornn | Kindred | Rhaast | Aatrox | Leona,"Diana★ (Bloodthirster, Guinsoo's Rageblade, Titan's Resolve) | Miss Fortune★ (Deathblade, Infinity Edge, Striker's Flail) | Ornn★ (Bramble Vest, Spirit Visage, Warmog's Armor) | Kindred (Guinsoo's Rageblade, Giant Slayer, Kraken's Fury) | Rhaast★ | Aatrox | Leona"
C,Challenger Diana Miss Fortune,7,Easy,4.98,0.03,6.6%,41.0%,Diana | Miss Fortune | Illaoi | Nunu & Willump | Mordekaiser | Zoe | Leona,"Diana★ (Bloodthirster, Guinsoo's Rageblade, Titan's Resolve) | Miss Fortune★ (Guinsoo's Rageblade, Infinity Edge, Giant Slayer) | Illaoi★ (Crownguard, Protector's Vow, Warmog's Armor) | Nunu & Willump | Mordekaiser | Zoe | Leona"
C,Vanguard Zoe,6,Medium,4.99,0.04,7.4%,39.9%,Zoe | Leona | LeBlanc | Mordekaiser | Karma | Nunu & Willump | Illaoi | Meepsie,"Zoe★ (Jeweled Gauntlet, Morellonomicon, Rabadon's Deathcap) | Leona★ (Crownguard, Gargoyle Stoneplate, Gargoyle Stoneplate) | LeBlanc (Guinsoo's Rageblade, Hextech Gunblade, Rabadon's Deathcap) | Mordekaiser (Crownguard, Gargoyle Stoneplate, Warmog's Armor) | Karma | Nunu & Willump | Illaoi | Meepsie"
D,Voyager Nami,,Easy,5.02,0.06,5.5%,39.3%,Nami | Karma | Nunu & Willump | The Mighty Mech | Illaoi | Rhaast | Meepsie | Lissandra,"Nami (Giant Slayer, Spear of Shojin, Void Staff) | Karma (Giant Slayer, Spear of Shojin, Void Staff) | Nunu & Willump (Adaptive Helm, Adaptive Helm, Protector's Vow) | The Mighty Mech (Gargoyle Stoneplate, Steadfast Heart, Warmog's Armor) | Illaoi | Rhaast | Meepsie | Lissandra"
