Tier,Name,Level,Difficulty,Avg Place,Pick Rate,Win Rate,Top 4 Rate,Units,UnitDetails
S,Conduit Viktor Illaoi,7,Medium,3.95,0.57,12.3%,61.3%,Viktor | Illaoi | Nami | Rhaast | Meepsie | Mordekaiser | Pyke | Lissandra,"Viktor★ (Drone Uplink, Jeweled Gauntlet, Rabadon's Deathcap) | Illaoi★ (Bramble Vest, Gargoyle Stoneplate, Warmog's Armor) | Nami (Jeweled Gauntlet, Spear of Shojin, Void Staff) | Rhaast★ (Protector's Vow, Sunfire Cape, Warmog's Armor) | Meepsie | Mordekaiser | Pyke | Lissandra"
S,Primordian Bel'Veth,6,Easy,4.18,0.46,9.4%,57.8%,Bel'Veth | Rek'Sai | Akali | Kindred | Maokai | Aatrox | Briar | Caitlyn,"Bel'Veth★ (Giant Slayer, Quicksilver, Kraken's Fury) | Rek'Sai★ (Protector's Vow, Sunfire Cape, Warmog's Armor) | Akali★ (Edge of Night, Striker's Flail, Hand Of Justice) | Kindred (Guinsoo's Rageblade, Giant Slayer, Kraken's Fury) | Maokai | Aatrox★ | Briar★ | Caitlyn"
S,Voyager Meepsie,6,Medium,4.21,0.07,10.0%,56.8%,Meepsie | Rammus | Karma | Pyke | The Mighty Mech | Aurora | Lissandra | Poppy,"Meepsie★ (Edge of Night, Jeweled Gauntlet, Hand Of Justice) | Rammus (Crownguard, Ionic Spark, Warmog's Armor) | Karma (Blue Buff, Red Buff, Void Staff) | Pyke★ (Target-Lock Optics, Edge of Night, Infinity Edge) | The Mighty Mech | Aurora | Lissandra | Poppy"
A,Meeple Veigar Poppy,5,Medium,4.25,0.14,12.0%,54.6%,Veigar | Poppy | Lissandra | Rammus | Corki | Illaoi | Meepsie | Mordekaiser,"Veigar★ (Jeweled Gauntlet, Nashor's Tooth, Nashor's Tooth) | Poppy★ (Crownguard, Ionic Spark, Sunfire Cape) | Lissandra★ (Rabadon's Deathcap, Spear of Shojin, Void Staff) | Rammus (Bramble Vest, Gargoyle Stoneplate, Warmog's Armor) | Corki | Illaoi | Meepsie | Mordekaiser"
A,Vanguard Teemo,5,Medium,4.27,0.25,8.6%,55.6%,Teemo | Leona | Nasus | Lissandra | Nami | Illaoi | Mordekaiser | Zoe,"Teemo★ (Guinsoo's Rageblade, Giant Slayer, Rabadon's Deathcap) | Leona★ (Gargoyle Stoneplate, Gargoyle Stoneplate, Warmog's Armor) | Nasus★ (Ionic Spark, Sunfire Cape, Warmog's Armor) | Lissandra★ (Morellonomicon, Spear of Shojin, Void Staff) | Nami | Illaoi | Mordekaiser | Zoe"
A,Fateweaver Twisted Fate,5,Medium,4.30,0.36,9.5%,54.8%,Twisted Fate | Jax | Caitlyn | Talon | Corki | Riven | Milio | Aatrox,"Twisted Fate★ (Nashor's Tooth, Nashor's Tooth, Rabadon's Deathcap) | Jax★ (Crownguard, Gargoyle Stoneplate, Gargoyle Stoneplate) | Caitlyn★ (Deathblade, Guinsoo's Rageblade, Giant Slayer) | Talon★ (Edge of Night, Hextech Gunblade, Spear of Shojin) | Corki | Riven | Milio | Aatrox★"
A,Vanguard Nunu & Willump,,Medium,4.34,0.46,12.4%,53.0%,Nunu & Willump | LeBlanc | Karma | Illaoi | Bard | Meepsie | Mordekaiser | Zoe | Leona,"Nunu & Willump (Protector's Vow, Ionic Spark, Sunfire Cape) | LeBlanc (Guinsoo's Rageblade, Giant Slayer, Rabadon's Deathcap) | Karma (Jeweled Gauntlet, Spear of Shojin, Void Staff) | Illaoi (Ionic Spark, Sunfire Cape, Spirit Visage) | Bard | Meepsie | Mordekaiser | Zoe | Leona"
A,Sniper Xayah,,Medium,4.34,0.70,18.5%,51.9%,Xayah | Nunu & Willump | Jhin | Rammus | Bard | Rhaast | Gnar | Jax | Mordekaiser,"Xayah (Battle Bunny Crossbow, Guinsoo's Rageblade, Infinity Edge) | Nunu & Willump (Protector's Vow, Protector's Vow, Protector's Vow) | Jhin (Deathblade, Infinity Edge, Giant Slayer) | Rammus (Steadfast Heart, Sunfire Cape, Evenshroud) | Bard | Rhaast | Gnar | Jax | Mordekaiser"
A,Timebreaker Pyke,6,Easy,4.37,0.05,5.7%,54.7%,Pyke | Gwen | Pantheon | Milio | Corki | Riven | Gragas | Meepsie,"Pyke★ (Target-Lock Optics, Edge of Night, Infinity Edge) | Gwen★ (Jeweled Gauntlet, Rabadon's Deathcap, Hand Of Justice) | Pantheon★ (Gargoyle Stoneplate, Sunfire Cape, Spirit Visage) | Milio★ (Morellonomicon, Spear of Shojin, Void Staff) | Corki | Riven | Gragas★ | Meepsie★"
A,Space Groove Nami,,Medium,4.38,0.48,14.9%,52.1%,Nami | Riven | Tahm Kench | Blitzcrank | Shen | Ornn | Gwen | Pantheon | Nasus,"Nami (Jeweled Gauntlet, Nashor's Tooth, Nashor's Tooth) | Riven (Space Groove Emblem, Bloodthirster, Titan's Resolve) | Tahm Kench (Protector's Vow, Spirit Visage, Warmog's Armor) | Blitzcrank (Jeweled Gauntlet, Striker's Flail, Hand Of Justice) | Shen | Ornn | Gwen | Pantheon | Nasus"
