Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Tactician's Crown,S,3.31,-1.19,29.1%,1992,0.6%,Milio | Lissandra | Karma | Bel'Veth | Urgot
Brawler Emblem,A,4.03,-0.27,16.9%,15038,4.3%,Master Yi | Fiora | Riven | Nunu & Willump | The Mighty Mech
Marauder Emblem,A,4.09,-0.23,17.2%,11694,3.3%,Kindred | Riven | Graves | Kai'Sa | Jhin
Dark Star Emblem,A,4.22,-0.22,15.5%,31584,9.0%,Riven | Xayah | Bard | Blitzcrank | The Mighty Mech
Voyager Emblem,A,4.12,-0.22,16.3%,12088,3.4%,Riven | Jhin | Bard | Kai'Sa | Mordekaiser
Rogue Emblem,A,4.16,-0.21,14.0%,14638,4.2%,Corki | Jhin | Karma | Bel'Veth | Master Yi
Timebreaker Emblem,B,4.39,-0.10,14.7%,12073,3.4%,Fizz | Corki | Jhin | Kai'Sa | The Mighty Mech
Primordian Emblem,C,4.39,-0.09,13.5%,7552,2.1%,Maokai | Cho'Gath | Tahm Kench | The Mighty Mech | Mordekaiser
N.O.V.A. Emblem,C,4.46,-0.07,12.9%,12925,3.7%,Master Yi | Fiora | Urgot | Bel'Veth | Riven
Stargazer Emblem,C,4.49,-0.07,16.0%,21572,6.1%,Milio | Maokai | Pantheon | Aatrox | Rhaast
Bastion Emblem,C,4.47,-0.06,12.7%,11436,3.2%,Riven | Nunu & Willump | The Mighty Mech | Tahm Kench | Maokai
Shepherd Emblem,C,4.50,-0.05,12.4%,8494,2.4%,Karma | Mordekaiser | Nunu & Willump | Blitzcrank | Bard
Psionic Emblem,C,4.52,-0.04,11.6%,9255,2.6%,Fiora | Urgot | Kindred | Tahm Kench | Maokai
Vanguard Emblem,C,4.58,-0.02,12.4%,12322,3.5%,LeBlanc | Meepsie | Tahm Kench | The Mighty Mech | Rammus
Tactician's Cape,C,4.37,-0.01,13.3%,3208,0.9%,Milio | Lissandra | Bel'Veth | Urgot | Karma
Tactician's Shield,C,3.82,-0.00,19.5%,118,0.0%,Aatrox | Mordekaiser | Lissandra | Milio | Gragas
Challenger Emblem,D,4.67,+0.02,11.0%,10633,3.0%,Master Yi | Fiora | Urgot | Riven | Kai'Sa
Meeple Emblem,D,4.67,+0.02,12.6%,13757,3.9%,Riven | The Mighty Mech | Milio | Nunu & Willump | Shen
Sniper Emblem,D,4.75,+0.05,12.1%,8874,2.5%,Kai'Sa | Karma | Corki | Bard | Riven
Space Groove Emblem,D,4.77,+0.06,11.5%,8669,2.5%,Riven | Tahm Kench | Nunu & Willump | Illaoi | Maokai
Arbiter Emblem,D,4.84,+0.08,9.8%,7719,2.2%,Illaoi | Mordekaiser | Nunu & Willump | Karma | Teemo
Anima Emblem,D,5.07,+0.16,11.3%,5868,1.7%,Maokai | Mordekaiser | Tahm Kench | Meepsie | The Mighty Mech
