Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Tactician's Crown,S,2.96,-1.54,31.1%,36152,0.6%,Lissandra | Karma | Bard | Sona | Caitlyn
Voyager Emblem,B,4.18,-0.16,16.2%,113949,1.8%,Rhaast | Mordekaiser | Illaoi | Bard | Urgot
Space Groove Emblem,B,4.33,-0.14,15.1%,309667,4.9%,Riven | Tahm Kench | Shen | Nunu & Willump | Graves
Rogue Emblem,B,4.27,-0.13,13.1%,106275,1.7%,Rhaast | Karma | Blitzcrank | Corki | Jhin
Stargazer Emblem,B,4.37,-0.12,15.6%,294810,4.6%,Jhin | Riven | Rammus | Bard | Mordekaiser
Vanguard Emblem,B,4.34,-0.11,14.5%,122714,1.9%,Rammus | LeBlanc | Tahm Kench | Meepsie | Riven
Shepherd Emblem,C,4.33,-0.10,13.3%,79085,1.2%,Karma | Mordekaiser | Blitzcrank | Nunu & Willump | Bard
Timebreaker Emblem,C,4.35,-0.09,14.9%,89548,1.4%,Blitzcrank | Jhin | Xayah | Shen | Corki
Dark Star Emblem,C,4.39,-0.09,14.1%,152454,2.4%,Xayah | Riven | Blitzcrank | Bard | Ezreal
N.O.V.A. Emblem,C,4.45,-0.07,11.2%,183868,2.9%,Master Yi | Fiora | Bel'Veth | Graves | Briar
Brawler Emblem,C,4.47,-0.05,13.0%,94421,1.5%,Nunu & Willump | The Mighty Mech | Rammus | Master Yi | Riven
Marauder Emblem,C,4.47,-0.05,13.0%,80510,1.3%,Kindred | Graves | Riven | The Mighty Mech | Jhin
Bastion Emblem,C,4.49,-0.05,12.8%,104545,1.6%,Nunu & Willump | Tahm Kench | Riven | Blitzcrank | Maokai
Primordian Emblem,C,4.50,-0.04,11.0%,55504,0.9%,Maokai | Akali | Tahm Kench | Nunu & Willump | Aatrox
Psionic Emblem,C,4.58,-0.02,10.7%,73784,1.2%,Illaoi | Fiora | Blitzcrank | Mordekaiser | Rhaast
Tactician's Cape,C,4.32,-0.00,13.5%,43913,0.7%,Lissandra | Gnar | Karma | Caitlyn | Bard
Tactician's Shield,C,3.90,-0.00,20.0%,1761,0.0%,Aatrox | Mordekaiser | Meepsie | Akali | Jax
Sniper Emblem,D,4.63,+0.00,13.2%,79703,1.3%,Bard | Karma | Graves | Corki | Blitzcrank
Meeple Emblem,D,4.65,+0.01,14.6%,124476,2.0%,Riven | Nunu & Willump | Illaoi | Blitzcrank | The Mighty Mech
Challenger Emblem,D,4.76,+0.05,10.1%,78282,1.2%,Master Yi | Fiora | Akali | Briar | Graves
Arbiter Emblem,D,4.89,+0.09,8.7%,69940,1.1%,Karma | Illaoi | Nunu & Willump | Mordekaiser | Blitzcrank
Anima Emblem,D,5.53,+0.28,9.8%,55935,0.9%,Mordekaiser | Tahm Kench | Nunu & Willump | Meepsie | Maokai
