Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Tactician's Crown,S,3.29,-1.21,28.9%,1532,0.6%,Lissandra | Milio | Karma | Bel'Veth | Urgot
Brawler Emblem,A,3.99,-0.29,18.0%,11536,4.2%,Master Yi | Fiora | Riven | Nunu & Willump | The Mighty Mech
Marauder Emblem,A,4.04,-0.25,18.7%,9087,3.3%,Kindred | Riven | Graves | Briar | Jhin
Dark Star Emblem,A,4.20,-0.24,15.7%,24986,9.2%,Riven | Xayah | Bard | Blitzcrank | The Mighty Mech
Voyager Emblem,A,4.08,-0.23,17.1%,9653,3.6%,Riven | Jhin | Bard | Kai'Sa | Mordekaiser
Rogue Emblem,A,4.18,-0.20,14.0%,11224,4.1%,Corki | Karma | Jhin | Bel'Veth | Master Yi
Timebreaker Emblem,C,4.41,-0.09,14.5%,9850,3.6%,Corki | Fizz | Jhin | Kai'Sa | Karma
Primordian Emblem,C,4.40,-0.08,13.3%,5783,2.1%,Maokai | Cho'Gath | Tahm Kench | Mordekaiser | The Mighty Mech
Bastion Emblem,C,4.43,-0.08,12.9%,8985,3.3%,Riven | Nunu & Willump | Tahm Kench | The Mighty Mech | Maokai
N.O.V.A. Emblem,C,4.46,-0.07,13.5%,10897,4.0%,Master Yi | Fiora | Urgot | Bel'Veth | Riven
Psionic Emblem,C,4.45,-0.07,13.1%,7420,2.7%,Fiora | Urgot | Tahm Kench | Kindred | Maokai
Shepherd Emblem,C,4.46,-0.06,13.3%,6842,2.5%,Karma | Mordekaiser | Nunu & Willump | Blitzcrank | Bard
Stargazer Emblem,C,4.50,-0.06,15.7%,16191,6.0%,Milio | Pantheon | Maokai | Aatrox | Jhin
Vanguard Emblem,C,4.53,-0.04,12.8%,9689,3.6%,LeBlanc | Meepsie | Rammus | Tahm Kench | The Mighty Mech
Challenger Emblem,C,4.58,-0.02,11.9%,8144,3.0%,Master Yi | Fiora | Urgot | Briar | Riven
Meeple Emblem,C,4.59,-0.02,13.6%,10499,3.9%,Riven | The Mighty Mech | Milio | Nunu & Willump | Illaoi
Tactician's Cape,C,4.36,-0.01,12.5%,2621,1.0%,Lissandra | Milio | Bel'Veth | Urgot | Karma
Tactician's Shield,C,3.94,-0.00,17.8%,101,0.0%,Mordekaiser | Lissandra | Meepsie | Urgot | Milio
Sniper Emblem,D,4.64,+0.01,13.8%,7248,2.7%,Kai'Sa | Karma | Corki | Bard | Riven
Space Groove Emblem,D,4.74,+0.04,11.1%,7197,2.6%,Riven | Nunu & Willump | Tahm Kench | Karma | Illaoi
Arbiter Emblem,D,4.82,+0.07,10.4%,5899,2.2%,Illaoi | Mordekaiser | Nunu & Willump | Karma | Nasus
Anima Emblem,D,5.03,+0.14,12.3%,4476,1.6%,Mordekaiser | Maokai | Meepsie | Tahm Kench | The Mighty Mech
