Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Space Groove Emblem,A,4.18,-0.21,16.8%,75214,5.0%,Riven | Tahm Kench | Shen | Nunu & Willump | Graves
Voyager Emblem,B,4.18,-0.17,16.0%,27930,1.9%,Illaoi | Mordekaiser | Bard | Blitzcrank | Tahm Kench
Rogue Emblem,B,4.22,-0.15,14.3%,26234,1.8%,Rhaast | Karma | Blitzcrank | Corki | Fiora
Vanguard Emblem,B,4.29,-0.13,14.8%,31742,2.1%,Meepsie | LeBlanc | Tahm Kench | Rammus | Ornn
Timebreaker Emblem,B,4.26,-0.13,16.3%,22248,1.5%,Blitzcrank | Shen | Jhin | Xayah | Tahm Kench
Shepherd Emblem,B,4.30,-0.11,14.0%,19488,1.3%,Karma | Mordekaiser | Blitzcrank | Leona | Nunu & Willump
Dark Star Emblem,C,4.39,-0.09,13.8%,27644,1.9%,Xayah | Riven | Blitzcrank | Bard | LeBlanc
N.O.V.A. Emblem,C,4.44,-0.08,11.6%,60836,4.1%,Master Yi | Fiora | Bel'Veth | Graves | Shen
Marauder Emblem,C,4.38,-0.08,14.3%,19463,1.3%,Kindred | Graves | Riven | Shen | Blitzcrank
Bastion Emblem,C,4.42,-0.07,13.2%,27379,1.8%,Nunu & Willump | Tahm Kench | Blitzcrank | Riven | Maokai
Stargazer Emblem,C,4.46,-0.07,13.6%,60732,4.1%,Jhin | Riven | Shen | Rammus | Mordekaiser
Primordian Emblem,C,4.39,-0.07,12.2%,13089,0.9%,Maokai | Tahm Kench | Akali | Aatrox | Nunu & Willump
Brawler Emblem,C,4.46,-0.06,12.9%,24230,1.6%,Nunu & Willump | The Mighty Mech | Rammus | Riven | Ornn
Psionic Emblem,C,4.58,-0.02,10.9%,19351,1.3%,Fiora | Illaoi | Tahm Kench | Blitzcrank | Rhaast
Meeple Emblem,C,4.58,-0.02,14.8%,28829,1.9%,Riven | Shen | Nunu & Willump | The Mighty Mech | Blitzcrank
Sniper Emblem,C,4.59,-0.01,13.2%,18724,1.3%,Bard | Graves | Corki | Riven | Nami
Challenger Emblem,D,4.69,+0.02,10.2%,20431,1.4%,Master Yi | Fiora | Akali | Graves | LeBlanc
Arbiter Emblem,D,4.85,+0.07,9.0%,17976,1.2%,Karma | Nunu & Willump | Illaoi | Blitzcrank | Mordekaiser
Anima Emblem,D,5.37,+0.23,10.1%,12862,0.9%,Mordekaiser | Meepsie | Tahm Kench | Nunu & Willump | Blitzcrank
