Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Tactician's Crown,S,3.36,-1.14,28.6%,1472,0.6%,Lissandra | Milio | Akali | Kai'Sa | Karma
Brawler Emblem,A,4.00,-0.28,18.3%,10181,4.2%,Master Yi | Fiora | Riven | Nunu & Willump | The Mighty Mech
Marauder Emblem,A,4.05,-0.25,18.4%,8062,3.3%,Kindred | Riven | Graves | Briar | Jhin
Voyager Emblem,A,4.06,-0.24,17.3%,8682,3.6%,Mordekaiser | Illaoi | Riven | Jhin | Tahm Kench
Dark Star Emblem,A,4.19,-0.24,15.7%,21856,9.0%,Riven | Xayah | Blitzcrank | Bard | The Mighty Mech
Rogue Emblem,B,4.20,-0.19,13.6%,9972,4.1%,Corki | Jhin | Karma | Bel'Veth | Master Yi
Bastion Emblem,B,4.39,-0.10,13.4%,8138,3.3%,Nunu & Willump | Riven | Tahm Kench | The Mighty Mech | Maokai
Timebreaker Emblem,C,4.42,-0.09,14.6%,8722,3.6%,Corki | Jhin | Fizz | Kai'Sa | Xayah
Primordian Emblem,C,4.40,-0.09,12.7%,5111,2.1%,Maokai | Cho'Gath | Tahm Kench | Akali | Mordekaiser
N.O.V.A. Emblem,C,4.44,-0.08,13.7%,10037,4.1%,Master Yi | Fiora | Bel'Veth | Urgot | Riven
Shepherd Emblem,C,4.44,-0.07,13.6%,6158,2.5%,Karma | Mordekaiser | Nunu & Willump | Blitzcrank | Leona
Psionic Emblem,C,4.45,-0.07,13.0%,6634,2.7%,Fiora | Urgot | Tahm Kench | Maokai | Kindred
Stargazer Emblem,C,4.51,-0.06,15.5%,14117,5.8%,Aatrox | Milio | Jhin | Pantheon | Maokai
Vanguard Emblem,C,4.52,-0.05,13.1%,8795,3.6%,Meepsie | Tahm Kench | Rammus | The Mighty Mech | LeBlanc
Meeple Emblem,C,4.57,-0.03,13.8%,9277,3.8%,Riven | The Mighty Mech | Milio | Nunu & Willump | Illaoi
Challenger Emblem,C,4.59,-0.02,11.9%,7277,3.0%,Master Yi | Fiora | Urgot | Briar | Riven
Tactician's Cape,C,4.35,-0.01,13.0%,2300,0.9%,Lissandra | Milio | Bel'Veth | Urgot | Karma
Tactician's Shield,C,4.06,-0.00,14.3%,98,0.0%,Meepsie | Lissandra | Mordekaiser | Akali | Milio
Sniper Emblem,D,4.67,+0.02,13.2%,6464,2.7%,Kai'Sa | Karma | Bard | Corki | Riven
Space Groove Emblem,D,4.71,+0.04,11.6%,6664,2.7%,Riven | Nunu & Willump | Tahm Kench | Illaoi | Fiora
Arbiter Emblem,D,4.77,+0.05,10.5%,5418,2.2%,Illaoi | Mordekaiser | Nunu & Willump | Karma | Nasus
Anima Emblem,D,5.06,+0.16,11.4%,4023,1.7%,Mordekaiser | Meepsie | Tahm Kench | Maokai | Nunu & Willump
