Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Tactician's Crown,S,3.19,-1.31,31.0%,2914,0.5%,Milio | Karma | Lissandra | Sona | Meepsie
Brawler Emblem,A,4.03,-0.26,16.9%,20120,3.8%,Master Yi | Nunu & Willump | The Mighty Mech | Fiora | Riven
Voyager Emblem,A,4.07,-0.25,17.2%,21009,4.0%,Bard | Aurelion Sol | Sona | Riven | Illaoi
Dark Star Emblem,A,4.18,-0.24,15.1%,47840,9.0%,Aurelion Sol | Riven | Bard | Xayah | Blitzcrank
Marauder Emblem,B,4.16,-0.19,17.0%,15077,2.8%,Kindred | Riven | Graves | Jhin | Kai'Sa
Rogue Emblem,B,4.22,-0.18,12.4%,20594,3.9%,Corki | Jhin | Karma | Blitzcrank | Fiora
Shepherd Emblem,C,4.40,-0.09,13.7%,13684,2.6%,Karma | Mordekaiser | Blitzcrank | Nunu & Willump | Bard
Bastion Emblem,C,4.43,-0.08,12.0%,17002,3.2%,Riven | The Mighty Mech | Nunu & Willump | Tahm Kench | Maokai
Timebreaker Emblem,C,4.48,-0.06,12.3%,16762,3.2%,Fizz | Corki | The Mighty Mech | Jhin | Bard
Psionic Emblem,C,4.47,-0.06,12.5%,13866,2.6%,Fiora | Urgot | Blitzcrank | Tahm Kench | Maokai
N.O.V.A. Emblem,C,4.49,-0.05,12.7%,15558,2.9%,Master Yi | Fiora | Urgot | Bel'Veth | Riven
Primordian Emblem,C,4.49,-0.05,12.4%,9774,1.8%,Maokai | Tahm Kench | The Mighty Mech | Cho'Gath | Illaoi
Vanguard Emblem,C,4.54,-0.04,13.2%,19336,3.6%,Meepsie | The Mighty Mech | Diana | Tahm Kench | LeBlanc
Stargazer Emblem,C,4.55,-0.03,14.8%,25415,4.8%,Milio | Maokai | Pantheon | Aatrox | Rhaast
Meeple Emblem,C,4.56,-0.03,12.6%,21250,4.0%,Riven | The Mighty Mech | Milio | Nunu & Willump | Shen
Tactician's Cape,C,4.33,-0.01,13.5%,4937,0.9%,Milio | Lissandra | Bel'Veth | Urgot | Karma
Tactician's Shield,C,3.77,-0.00,18.6%,161,0.0%,Meepsie | Mordekaiser | Milio | Cho'Gath | Rhaast
Challenger Emblem,D,4.66,+0.02,11.3%,14737,2.8%,Master Yi | Fiora | LeBlanc | Urgot | Riven
Sniper Emblem,D,4.76,+0.05,12.1%,12527,2.4%,Kai'Sa | Karma | Bard | Corki | Riven
Space Groove Emblem,D,4.77,+0.06,11.1%,13068,2.5%,Riven | Nunu & Willump | Tahm Kench | Karma | Illaoi
Arbiter Emblem,D,4.95,+0.13,9.2%,11637,2.2%,Illaoi | Karma | Nunu & Willump | Mordekaiser | Blitzcrank
Anima Emblem,D,5.07,+0.16,11.7%,9026,1.7%,Meepsie | Mordekaiser | The Mighty Mech | Maokai | Tahm Kench
