Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Tactician's Crown,S,3.19,-1.31,31.3%,1632,0.6%,Milio | Lissandra | Karma | Bel'Veth | Urgot
Brawler Emblem,A,3.98,-0.29,18.2%,12363,4.2%,Master Yi | Fiora | Riven | Nunu & Willump | The Mighty Mech
Marauder Emblem,A,4.03,-0.25,19.0%,9737,3.3%,Kindred | Riven | Graves | Briar | Kai'Sa
Dark Star Emblem,A,4.20,-0.23,15.9%,26994,9.3%,Riven | Xayah | Bard | Blitzcrank | The Mighty Mech
Voyager Emblem,A,4.12,-0.22,16.5%,10397,3.6%,Riven | Jhin | Bard | Mordekaiser | Kai'Sa
Rogue Emblem,A,4.17,-0.21,14.2%,12228,4.2%,Corki | Jhin | Karma | Bel'Veth | Master Yi
Timebreaker Emblem,B,4.39,-0.10,14.7%,10579,3.6%,Corki | Fizz | Jhin | Kai'Sa | Karma
Primordian Emblem,C,4.40,-0.09,13.3%,6329,2.2%,Maokai | Cho'Gath | Tahm Kench | The Mighty Mech | Mordekaiser
Bastion Emblem,C,4.44,-0.08,12.8%,9657,3.3%,Riven | Nunu & Willump | The Mighty Mech | Tahm Kench | Maokai
N.O.V.A. Emblem,C,4.47,-0.07,13.4%,11393,3.9%,Master Yi | Fiora | Urgot | Bel'Veth | Riven
Psionic Emblem,C,4.47,-0.06,13.0%,7920,2.7%,Fiora | Urgot | Tahm Kench | Kindred | Maokai
Shepherd Emblem,C,4.48,-0.06,12.8%,7221,2.5%,Karma | Mordekaiser | Nunu & Willump | Blitzcrank | Bard
Stargazer Emblem,C,4.51,-0.06,15.7%,17557,6.0%,Milio | Pantheon | Maokai | Aatrox | Jhin
Vanguard Emblem,C,4.55,-0.03,12.8%,10251,3.5%,LeBlanc | Meepsie | Tahm Kench | Rammus | The Mighty Mech
Meeple Emblem,C,4.61,-0.01,13.4%,11338,3.9%,Riven | The Mighty Mech | Milio | Nunu & Willump | Illaoi
Tactician's Cape,C,4.31,-0.01,12.6%,2793,1.0%,Lissandra | Milio | Bel'Veth | Urgot | Karma
Challenger Emblem,C,4.61,-0.01,11.8%,8846,3.0%,Master Yi | Fiora | Urgot | Riven | Briar
Tactician's Shield,C,3.86,-0.00,16.0%,100,0.0%,Mordekaiser | Akali | Urgot | Gragas | Lissandra
Sniper Emblem,D,4.66,+0.01,13.9%,7673,2.6%,Kai'Sa | Karma | Corki | Bard | Riven
Space Groove Emblem,D,4.74,+0.05,11.1%,7544,2.6%,Riven | Nunu & Willump | Tahm Kench | Karma | Illaoi
Arbiter Emblem,D,4.83,+0.08,10.3%,6259,2.1%,Illaoi | Mordekaiser | Nunu & Willump | Karma | Nasus
Anima Emblem,D,5.05,+0.15,11.8%,4693,1.6%,Mordekaiser | Maokai | Tahm Kench | Meepsie | The Mighty Mech
