Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Space Groove Emblem,A,4.14,-0.23,17.3%,25937,4.9%,Riven | Tahm Kench | Shen | Nunu & Willump | Graves
Voyager Emblem,B,4.16,-0.17,15.8%,10189,1.9%,Bard | Illaoi | Mordekaiser | Urgot | Blitzcrank
Rogue Emblem,B,4.22,-0.15,14.2%,9360,1.8%,Rhaast | Karma | Blitzcrank | Corki | Fiora
Timebreaker Emblem,B,4.25,-0.13,16.7%,8000,1.5%,Blitzcrank | Shen | Xayah | Jhin | Tahm Kench
Vanguard Emblem,B,4.33,-0.11,14.5%,11414,2.1%,LeBlanc | Meepsie | Tahm Kench | Rammus | Riven
Shepherd Emblem,B,4.29,-0.11,14.1%,6981,1.3%,Karma | Blitzcrank | Mordekaiser | Nunu & Willump | Leona
Marauder Emblem,C,4.38,-0.08,14.5%,6974,1.3%,Kindred | Graves | Riven | Shen | Blitzcrank
Dark Star Emblem,C,4.40,-0.08,13.7%,9352,1.8%,Xayah | Riven | Blitzcrank | Bard | LeBlanc
Bastion Emblem,C,4.42,-0.08,13.2%,10183,1.9%,Nunu & Willump | Tahm Kench | Riven | Blitzcrank | Maokai
N.O.V.A. Emblem,C,4.46,-0.07,11.5%,23244,4.4%,Master Yi | Fiora | Graves | Bel'Veth | Shen
Primordian Emblem,C,4.39,-0.07,12.1%,4741,0.9%,Maokai | Tahm Kench | Akali | Aatrox | Nunu & Willump
Stargazer Emblem,C,4.47,-0.07,13.6%,21311,4.0%,Jhin | Riven | Shen | Mordekaiser | Blitzcrank
Brawler Emblem,C,4.46,-0.06,13.0%,8638,1.6%,Nunu & Willump | The Mighty Mech | Rammus | Master Yi | Riven
Psionic Emblem,C,4.56,-0.02,11.0%,7082,1.3%,Fiora | Tahm Kench | Illaoi | Blitzcrank | Rhaast
Meeple Emblem,C,4.57,-0.02,14.7%,10154,1.9%,Riven | Shen | Blitzcrank | Tahm Kench | Nunu & Willump
Sniper Emblem,C,4.59,-0.01,12.7%,6739,1.3%,Bard | Graves | Riven | Corki | Nami
Challenger Emblem,D,4.67,+0.01,10.4%,7497,1.4%,Master Yi | Fiora | Graves | Akali | LeBlanc
Arbiter Emblem,D,4.80,+0.06,8.9%,6491,1.2%,Karma | Nunu & Willump | Illaoi | Blitzcrank | Mordekaiser
Anima Emblem,D,5.31,+0.21,9.9%,4502,0.8%,Mordekaiser | Meepsie | Tahm Kench | Nunu & Willump | Blitzcrank
