Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Tactician's Crown,S,3.23,-1.27,28.9%,883,0.6%,Milio | Karma | Meepsie | Sona | Rhaast
Voyager Emblem,A,4.04,-0.25,16.9%,4634,3.2%,Bard | Sona | Riven | Blitzcrank | Jhin
Brawler Emblem,A,4.14,-0.21,13.5%,4926,3.4%,Master Yi | Nunu & Willump | Fiora | The Mighty Mech | Mordekaiser
Dark Star Emblem,B,4.36,-0.13,12.3%,8459,5.8%,Aurelion Sol | Bard | Riven | Xayah | Blitzcrank
Marauder Emblem,B,4.32,-0.12,13.2%,3665,2.5%,Kindred | Graves | Riven | Jhin | Miss Fortune
Rogue Emblem,B,4.33,-0.12,10.3%,4377,3.0%,Corki | Jhin | Karma | Blitzcrank | Fiora
Meeple Emblem,C,4.41,-0.09,13.2%,4177,2.9%,Riven | The Mighty Mech | Milio | Nunu & Willump | Blitzcrank
Shepherd Emblem,C,4.43,-0.08,13.3%,3441,2.4%,Karma | Blitzcrank | Nunu & Willump | Mordekaiser | Bard
Timebreaker Emblem,C,4.44,-0.07,12.1%,3564,2.4%,Fizz | Corki | The Mighty Mech | Jhin | Bard
Psionic Emblem,C,4.47,-0.06,12.0%,3580,2.5%,Fiora | Urgot | Blitzcrank | Tahm Kench | Maokai
Stargazer Emblem,C,4.52,-0.05,14.5%,8628,5.9%,Maokai | Jhin | Rhaast | Milio | Pantheon
Bastion Emblem,C,4.52,-0.04,11.0%,4343,3.0%,Riven | Nunu & Willump | The Mighty Mech | Tahm Kench | Maokai
Primordian Emblem,C,4.53,-0.03,11.6%,2577,1.8%,Maokai | Tahm Kench | The Mighty Mech | Illaoi | Nunu & Willump
N.O.V.A. Emblem,C,4.56,-0.03,11.2%,4796,3.3%,Master Yi | Fiora | Urgot | Bel'Veth | Graves
Vanguard Emblem,C,4.58,-0.02,12.9%,5181,3.5%,Meepsie | Tahm Kench | Diana | The Mighty Mech | LeBlanc
Sniper Emblem,C,4.58,-0.02,13.5%,3385,2.3%,Kai'Sa | Blitzcrank | Karma | Graves | Bard
Challenger Emblem,C,4.60,-0.01,9.1%,4104,2.8%,Master Yi | Urgot | Fiora | LeBlanc | Akali
Space Groove Emblem,C,4.61,-0.01,11.1%,5067,3.5%,Riven | Nunu & Willump | Tahm Kench | Shen | Illaoi
Tactician's Cape,C,4.34,-0.01,12.8%,1336,0.9%,Milio | Karma | Bel'Veth | Lissandra | Urgot
Tactician's Shield,C,4.00,-0.00,14.8%,54,0.0%,Aatrox | Meepsie | Mordekaiser | Milio | Rhaast
Arbiter Emblem,D,4.76,+0.05,10.2%,2925,2.0%,Illaoi | Talon | Blitzcrank | Nunu & Willump | Karma
Anima Emblem,D,5.15,+0.19,11.0%,2273,1.6%,Meepsie | Maokai | The Mighty Mech | Mordekaiser | Tahm Kench
