Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Tactician's Crown,S,2.96,-1.54,30.7%,39717,0.6%,Lissandra | Karma | Bard | Sona | Caitlyn
Voyager Emblem,B,4.17,-0.16,16.2%,122536,1.8%,Rhaast | Mordekaiser | Illaoi | Urgot | Bard
Rogue Emblem,B,4.27,-0.13,13.1%,114031,1.7%,Rhaast | Karma | Blitzcrank | Corki | Bel'Veth
Space Groove Emblem,B,4.35,-0.13,14.8%,322681,4.7%,Riven | Tahm Kench | Shen | Nunu & Willump | Pantheon
Stargazer Emblem,B,4.36,-0.12,15.8%,318159,4.6%,Jhin | Riven | Rammus | Bard | Mordekaiser
Vanguard Emblem,B,4.35,-0.10,14.4%,130209,1.9%,Rammus | LeBlanc | Tahm Kench | Meepsie | Riven
Shepherd Emblem,C,4.34,-0.09,13.2%,84049,1.2%,Karma | Mordekaiser | Blitzcrank | Nunu & Willump | Bard
Dark Star Emblem,C,4.40,-0.09,14.0%,172968,2.5%,Xayah | Riven | Blitzcrank | Bard | Ezreal
Timebreaker Emblem,C,4.37,-0.09,14.7%,94990,1.4%,Blitzcrank | Jhin | Xayah | Shen | Corki
N.O.V.A. Emblem,C,4.47,-0.07,11.0%,190161,2.8%,Master Yi | Fiora | Bel'Veth | Graves | Briar
Brawler Emblem,C,4.46,-0.06,13.0%,101177,1.5%,Nunu & Willump | The Mighty Mech | Master Yi | Rammus | Riven
Marauder Emblem,C,4.48,-0.05,12.7%,86468,1.3%,Kindred | Graves | Riven | The Mighty Mech | Briar
Bastion Emblem,C,4.50,-0.04,12.8%,111152,1.6%,Nunu & Willump | Tahm Kench | Riven | Blitzcrank | Maokai
Primordian Emblem,C,4.50,-0.04,11.1%,59758,0.9%,Maokai | Akali | Tahm Kench | Aatrox | Nunu & Willump
Psionic Emblem,C,4.60,-0.01,10.6%,77951,1.1%,Illaoi | Blitzcrank | Fiora | Mordekaiser | Rhaast
Tactician's Cape,C,4.32,-0.00,13.5%,47256,0.7%,Lissandra | Gnar | Karma | Caitlyn | Bard
Tactician's Shield,C,3.84,-0.00,21.0%,1914,0.0%,Aatrox | Mordekaiser | Akali | Meepsie | Lissandra
Sniper Emblem,D,4.63,+0.00,13.4%,85431,1.2%,Bard | Karma | Graves | Corki | Kai'Sa
Meeple Emblem,D,4.66,+0.01,14.6%,132524,1.9%,Riven | Nunu & Willump | Illaoi | The Mighty Mech | Blitzcrank
Challenger Emblem,D,4.77,+0.05,9.9%,83297,1.2%,Master Yi | Fiora | Akali | Briar | Graves
Arbiter Emblem,D,4.89,+0.09,8.7%,74331,1.1%,Karma | Illaoi | Nunu & Willump | Mordekaiser | Blitzcrank
Anima Emblem,D,5.54,+0.28,9.9%,59840,0.9%,Mordekaiser | Tahm Kench | Nunu & Willump | Meepsie | Maokai
