Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Tactician's Crown,S,3.17,-1.33,31.6%,1721,0.5%,Lissandra | Milio | Karma | Bel'Veth | Urgot
Brawler Emblem,A,3.98,-0.29,17.5%,13540,4.2%,Master Yi | Fiora | Riven | Nunu & Willump | The Mighty Mech
Marauder Emblem,A,4.06,-0.24,18.3%,10741,3.4%,Kindred | Riven | Graves | Briar | Kai'Sa
Voyager Emblem,A,4.11,-0.22,16.3%,11377,3.6%,Riven | Jhin | Bard | Kai'Sa | Mordekaiser
Dark Star Emblem,A,4.22,-0.22,15.5%,29671,9.3%,Riven | Xayah | Bard | Blitzcrank | The Mighty Mech
Rogue Emblem,A,4.16,-0.21,14.2%,13360,4.2%,Corki | Jhin | Karma | Bel'Veth | Master Yi
Timebreaker Emblem,B,4.38,-0.11,14.9%,11465,3.6%,Corki | Fizz | Jhin | Kai'Sa | Karma
Primordian Emblem,C,4.41,-0.08,13.3%,7108,2.2%,Maokai | Cho'Gath | Tahm Kench | The Mighty Mech | Mordekaiser
Bastion Emblem,C,4.44,-0.08,13.2%,10613,3.3%,Riven | Nunu & Willump | The Mighty Mech | Tahm Kench | Maokai
N.O.V.A. Emblem,C,4.46,-0.07,13.5%,12193,3.8%,Master Yi | Fiora | Urgot | Bel'Veth | Riven
Shepherd Emblem,C,4.45,-0.07,12.7%,7918,2.5%,Karma | Mordekaiser | Nunu & Willump | Blitzcrank | Bard
Stargazer Emblem,C,4.51,-0.06,15.9%,19401,6.1%,Milio | Maokai | Pantheon | Aatrox | Jhin
Psionic Emblem,C,4.50,-0.05,12.6%,8543,2.7%,Fiora | Urgot | Tahm Kench | Kindred | Maokai
Vanguard Emblem,C,4.57,-0.02,12.8%,11172,3.5%,LeBlanc | Tahm Kench | Meepsie | Rammus | The Mighty Mech
Tactician's Cape,C,4.32,-0.01,13.0%,3011,0.9%,Lissandra | Milio | Bel'Veth | Urgot | Karma
Tactician's Shield,C,3.63,-0.00,24.1%,108,0.0%,Aatrox | Mordekaiser | Akali | Gragas | Cho'Gath
Challenger Emblem,D,4.64,+0.01,11.5%,9771,3.1%,Master Yi | Fiora | Urgot | Riven | Briar
Meeple Emblem,D,4.67,+0.02,12.8%,12619,3.9%,Riven | The Mighty Mech | Milio | Nunu & Willump | Illaoi
Sniper Emblem,D,4.69,+0.03,13.5%,8243,2.6%,Kai'Sa | Karma | Corki | Bard | Riven
Space Groove Emblem,D,4.77,+0.06,10.9%,8083,2.5%,Riven | Tahm Kench | Nunu & Willump | Karma | Illaoi
Arbiter Emblem,D,4.85,+0.09,10.2%,6988,2.2%,Illaoi | Mordekaiser | Nunu & Willump | Karma | Nasus
Anima Emblem,D,5.03,+0.15,11.8%,5215,1.6%,Maokai | Mordekaiser | Tahm Kench | Meepsie | The Mighty Mech
