Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Tactician's Crown,S,3.15,-1.35,30.1%,3474,0.6%,Karma | Sona | Milio | Rhaast | Meepsie
Voyager Emblem,A,4.13,-0.21,15.7%,17760,3.1%,Bard | Sona | Blitzcrank | Illaoi | Riven
Brawler Emblem,A,4.16,-0.20,13.8%,18833,3.3%,Master Yi | Nunu & Willump | Fiora | Ornn | Riven
Space Groove Emblem,B,4.29,-0.17,14.7%,34221,6.0%,Riven | Shen | Tahm Kench | Rammus | Nunu & Willump
Rogue Emblem,B,4.34,-0.12,11.0%,18402,3.2%,Corki | Blitzcrank | Jhin | Karma | Nami
Marauder Emblem,B,4.32,-0.12,12.8%,13764,2.4%,Kindred | Graves | Riven | Jhin | Miss Fortune
Dark Star Emblem,B,4.41,-0.10,12.4%,27795,4.9%,Aurelion Sol | Bard | Riven | Xayah | Blitzcrank
Bastion Emblem,C,4.40,-0.10,12.9%,17363,3.0%,Riven | Nunu & Willump | Tahm Kench | Blitzcrank | The Mighty Mech
Meeple Emblem,C,4.44,-0.08,13.3%,18583,3.3%,Riven | The Mighty Mech | Milio | Blitzcrank | Nunu & Willump
Primordian Emblem,C,4.41,-0.08,11.6%,9782,1.7%,Maokai | Tahm Kench | Illaoi | Nunu & Willump | The Mighty Mech
Timebreaker Emblem,C,4.43,-0.08,13.4%,14371,2.5%,Fizz | Blitzcrank | Corki | Jhin | Shen
Stargazer Emblem,C,4.49,-0.07,15.0%,30214,5.3%,Maokai | Jhin | Tahm Kench | Blitzcrank | Rhaast
Shepherd Emblem,C,4.49,-0.05,11.9%,13322,2.3%,Karma | Blitzcrank | Nunu & Willump | Mordekaiser | Bard
Sniper Emblem,C,4.51,-0.04,13.8%,13417,2.4%,Blitzcrank | Nami | Kai'Sa | Graves | Karma
N.O.V.A. Emblem,C,4.52,-0.04,11.9%,16925,3.0%,Master Yi | Fiora | Urgot | Bel'Veth | Blitzcrank
Psionic Emblem,C,4.54,-0.03,11.3%,13424,2.4%,Fiora | Blitzcrank | Urgot | Tahm Kench | Kindred
Vanguard Emblem,C,4.58,-0.02,13.2%,19029,3.3%,Meepsie | Tahm Kench | Diana | The Mighty Mech | Ornn
Tactician's Cape,C,4.28,-0.01,13.2%,4798,0.8%,Milio | Karma | Bel'Veth | Lissandra | Urgot
Tactician's Shield,C,3.98,-0.00,20.7%,184,0.0%,Aatrox | Meepsie | Rhaast | Mordekaiser | Maokai
Challenger Emblem,D,4.63,+0.00,9.2%,15543,2.7%,Urgot | Master Yi | Fiora | Akali | LeBlanc
Arbiter Emblem,D,4.82,+0.07,9.5%,10992,1.9%,Illaoi | Blitzcrank | Karma | Nunu & Willump | Sona
Anima Emblem,D,5.06,+0.15,12.6%,8911,1.6%,Meepsie | Maokai | Tahm Kench | Nunu & Willump | Mordekaiser
