Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Tactician's Crown,S,3.19,-1.31,31.1%,2982,0.6%,Milio | Karma | Lissandra | Sona | Meepsie
Voyager Emblem,A,4.04,-0.26,17.7%,21296,3.9%,Bard | Aurelion Sol | Riven | Sona | Milio
Brawler Emblem,A,4.05,-0.25,16.4%,20494,3.8%,Master Yi | Fiora | Nunu & Willump | The Mighty Mech | Mordekaiser
Dark Star Emblem,A,4.19,-0.24,15.3%,50030,9.2%,Aurelion Sol | Riven | Bard | Xayah | Blitzcrank
Marauder Emblem,B,4.16,-0.19,17.1%,15469,2.9%,Kindred | Graves | Riven | Jhin | Kai'Sa
Rogue Emblem,B,4.23,-0.18,12.3%,21089,3.9%,Corki | Jhin | Karma | Blitzcrank | Fiora
Shepherd Emblem,C,4.38,-0.10,14.1%,13815,2.5%,Karma | Mordekaiser | Blitzcrank | Nunu & Willump | Bard
Bastion Emblem,C,4.46,-0.07,11.7%,17377,3.2%,Riven | The Mighty Mech | Nunu & Willump | Tahm Kench | Maokai
Timebreaker Emblem,C,4.48,-0.06,12.3%,16845,3.1%,Fizz | Corki | The Mighty Mech | Jhin | Bard
Primordian Emblem,C,4.49,-0.05,12.2%,9891,1.8%,Maokai | Tahm Kench | The Mighty Mech | Cho'Gath | Illaoi
N.O.V.A. Emblem,C,4.51,-0.05,12.5%,15718,2.9%,Master Yi | Fiora | Urgot | Bel'Veth | Riven
Psionic Emblem,C,4.50,-0.05,12.3%,13937,2.6%,Fiora | Urgot | Blitzcrank | Tahm Kench | Maokai
Stargazer Emblem,C,4.54,-0.04,14.8%,25463,4.7%,Milio | Maokai | Pantheon | Aatrox | Rhaast
Vanguard Emblem,C,4.56,-0.03,12.9%,19710,3.6%,Meepsie | The Mighty Mech | Diana | Tahm Kench | LeBlanc
Meeple Emblem,C,4.56,-0.03,12.6%,21375,3.9%,Riven | The Mighty Mech | Milio | Nunu & Willump | Shen
Tactician's Cape,C,4.29,-0.01,13.2%,5015,0.9%,Milio | Lissandra | Bel'Veth | Urgot | Karma
Tactician's Shield,C,3.85,-0.00,18.2%,181,0.0%,Mordekaiser | Milio | Meepsie | Aatrox | Cho'Gath
Challenger Emblem,D,4.66,+0.01,11.2%,14858,2.7%,Master Yi | Fiora | LeBlanc | Urgot | Riven
Sniper Emblem,D,4.76,+0.05,11.9%,12727,2.3%,Kai'Sa | Karma | Bard | Corki | Riven
Space Groove Emblem,D,4.78,+0.06,11.1%,13341,2.5%,Riven | Nunu & Willump | Tahm Kench | Karma | Illaoi
Arbiter Emblem,D,4.95,+0.13,9.5%,11693,2.2%,Illaoi | Nunu & Willump | Karma | Talon | Mordekaiser
Anima Emblem,D,5.07,+0.16,11.4%,9210,1.7%,Meepsie | Mordekaiser | The Mighty Mech | Maokai | Tahm Kench
