Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Tactician's Crown,S,3.13,-1.37,31.8%,214,0.5%,Lissandra | Karma | Milio | Sona | Akali
Brawler Emblem,A,4.00,-0.27,18.4%,1719,3.7%,Nunu & Willump | Master Yi | The Mighty Mech | Riven | Rammus
Voyager Emblem,A,4.08,-0.23,17.6%,1569,3.4%,Rhaast | Mordekaiser | Illaoi | Maokai | Bard
Dark Star Emblem,A,4.18,-0.22,16.9%,2639,5.7%,Xayah | Riven | Blitzcrank | Ezreal | Bard
Rogue Emblem,B,4.17,-0.20,14.5%,1644,3.5%,Karma | Rhaast | Corki | Bel'Veth | Blitzcrank
Marauder Emblem,B,4.17,-0.19,15.5%,1403,3.0%,Kindred | Graves | Riven | Briar | The Mighty Mech
Timebreaker Emblem,B,4.24,-0.17,17.1%,1620,3.5%,Blitzcrank | Jhin | Corki | Xayah | Shen
Shepherd Emblem,B,4.27,-0.14,13.9%,1170,2.5%,Karma | Mordekaiser | Blitzcrank | Nunu & Willump | Bard
Stargazer Emblem,B,4.34,-0.14,15.9%,2521,5.4%,Jhin | Riven | Rammus | Bard | Aatrox
Bastion Emblem,B,4.35,-0.11,13.5%,1449,3.1%,Nunu & Willump | Tahm Kench | Riven | Blitzcrank | Maokai
N.O.V.A. Emblem,B,4.40,-0.11,12.9%,2238,4.8%,Master Yi | Fiora | Bel'Veth | Graves | Briar
Vanguard Emblem,C,4.42,-0.09,13.5%,1740,3.7%,Rammus | LeBlanc | Meepsie | Tahm Kench | Riven
Psionic Emblem,C,4.43,-0.08,11.6%,1257,2.7%,Fiora | Illaoi | Mordekaiser | Blitzcrank | Tahm Kench
Primordian Emblem,C,4.46,-0.06,14.1%,924,2.0%,Maokai | Tahm Kench | Akali | Nunu & Willump | Mordekaiser
Meeple Emblem,C,4.53,-0.04,15.0%,1586,3.4%,Riven | Nunu & Willump | The Mighty Mech | Illaoi | Blitzcrank
Sniper Emblem,C,4.59,-0.01,13.7%,1168,2.5%,Bard | Karma | Kai'Sa | Graves | Corki
Challenger Emblem,C,4.60,-0.01,11.2%,1252,2.7%,Master Yi | Fiora | Briar | Akali | LeBlanc
Tactician's Cape,C,4.38,-0.01,11.5%,391,0.8%,Lissandra | Karma | Gnar | Akali | Milio
Tactician's Shield,C,2.85,-0.00,30.8%,13,0.0%,Mordekaiser | Akali | Aatrox | Meepsie | Lissandra
Space Groove Emblem,D,4.66,+0.02,11.5%,1682,3.6%,Riven | Tahm Kench | Nunu & Willump | Shen | Pantheon
Arbiter Emblem,D,4.76,+0.05,11.0%,1034,2.2%,Illaoi | Karma | Mordekaiser | Nunu & Willump | Nasus
Anima Emblem,D,5.11,+0.17,10.3%,708,1.5%,Mordekaiser | Tahm Kench | Nunu & Willump | Meepsie | Maokai
