Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Tactician's Crown,S,3.21,-1.29,29.7%,2984,0.5%,Milio | Karma | Lissandra | Meepsie | Sona
Dark Star Emblem,A,4.14,-0.26,15.2%,47724,8.7%,Aurelion Sol | Bard | Riven | Xayah | Blitzcrank
Voyager Emblem,A,4.05,-0.25,16.6%,19712,3.6%,Bard | Riven | Jhin | Sona | Milio
Brawler Emblem,A,4.09,-0.23,15.1%,19907,3.6%,Master Yi | Nunu & Willump | Fiora | The Mighty Mech | Mordekaiser
Rogue Emblem,B,4.25,-0.16,11.2%,20065,3.7%,Corki | Jhin | Karma | Blitzcrank | Fiora
Marauder Emblem,B,4.24,-0.16,15.3%,14892,2.7%,Kindred | Graves | Riven | Jhin | Kai'Sa
Shepherd Emblem,C,4.45,-0.07,13.0%,12856,2.3%,Karma | Blitzcrank | Nunu & Willump | Mordekaiser | Bard
Timebreaker Emblem,C,4.47,-0.06,12.3%,15623,2.9%,Fizz | Corki | The Mighty Mech | Bard | Jhin
Stargazer Emblem,C,4.51,-0.06,15.3%,29336,5.4%,Maokai | Milio | Pantheon | Jhin | Rhaast
Primordian Emblem,C,4.47,-0.06,12.0%,9587,1.8%,Maokai | Tahm Kench | The Mighty Mech | Illaoi | Cho'Gath
Psionic Emblem,C,4.49,-0.05,11.9%,13013,2.4%,Fiora | Urgot | Blitzcrank | Tahm Kench | Maokai
Bastion Emblem,C,4.52,-0.04,10.8%,16948,3.1%,Riven | The Mighty Mech | Nunu & Willump | Tahm Kench | Maokai
N.O.V.A. Emblem,C,4.53,-0.04,12.2%,16003,2.9%,Master Yi | Fiora | Urgot | Bel'Veth | Jhin
Meeple Emblem,C,4.58,-0.02,11.9%,19920,3.6%,Riven | The Mighty Mech | Milio | Nunu & Willump | Shen
Vanguard Emblem,C,4.58,-0.02,13.0%,18951,3.5%,Meepsie | Diana | Tahm Kench | The Mighty Mech | LeBlanc
Tactician's Cape,C,4.34,-0.01,13.5%,4892,0.9%,Milio | Lissandra | Karma | Bel'Veth | Urgot
Tactician's Shield,C,3.99,-0.00,22.8%,158,0.0%,Meepsie | Rhaast | Mordekaiser | Aatrox | Milio
Challenger Emblem,D,4.70,+0.03,10.2%,14901,2.7%,Master Yi | Fiora | Urgot | LeBlanc | Riven
Sniper Emblem,D,4.71,+0.03,12.6%,12887,2.4%,Kai'Sa | Karma | Blitzcrank | Bard | Corki
Space Groove Emblem,D,4.85,+0.09,9.6%,12789,2.3%,Riven | Nunu & Willump | Tahm Kench | Illaoi | Karma
Arbiter Emblem,D,4.97,+0.13,8.8%,11149,2.0%,Illaoi | Nunu & Willump | Talon | Karma | Mordekaiser
Anima Emblem,D,5.09,+0.17,11.1%,8995,1.6%,Meepsie | Mordekaiser | The Mighty Mech | Maokai | Tahm Kench
