Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Tactician's Crown,S,3.18,-1.32,30.0%,3759,0.6%,Karma | Sona | Rhaast | Milio | Meepsie
Brawler Emblem,A,4.15,-0.20,13.9%,19518,3.3%,Master Yi | Nunu & Willump | Fiora | The Mighty Mech | Mordekaiser
Voyager Emblem,A,4.14,-0.20,15.5%,18423,3.1%,Bard | Sona | Blitzcrank | Illaoi | Riven
Rogue Emblem,B,4.33,-0.12,10.2%,17870,3.0%,Corki | Jhin | Blitzcrank | Karma | Fiora
Marauder Emblem,B,4.32,-0.12,13.0%,14314,2.4%,Kindred | Graves | Riven | Jhin | Miss Fortune
Dark Star Emblem,C,4.44,-0.09,11.7%,32277,5.4%,Aurelion Sol | Bard | Xayah | Riven | Blitzcrank
Bastion Emblem,C,4.46,-0.07,11.4%,17159,2.9%,Riven | Nunu & Willump | Tahm Kench | The Mighty Mech | Maokai
Meeple Emblem,C,4.46,-0.07,12.9%,17268,2.9%,Riven | The Mighty Mech | Milio | Blitzcrank | Nunu & Willump
Shepherd Emblem,C,4.46,-0.06,12.1%,14005,2.3%,Karma | Blitzcrank | Nunu & Willump | Mordekaiser | Bard
Psionic Emblem,C,4.46,-0.06,11.4%,14102,2.4%,Fiora | Blitzcrank | Urgot | Maokai | Kindred
Stargazer Emblem,C,4.50,-0.06,15.3%,33501,5.6%,Jhin | Maokai | Tahm Kench | Blitzcrank | Rhaast
Timebreaker Emblem,C,4.49,-0.05,11.2%,13811,2.3%,Fizz | Corki | Blitzcrank | Jhin | The Mighty Mech
Primordian Emblem,C,4.50,-0.05,10.8%,9889,1.6%,Maokai | Tahm Kench | Nunu & Willump | Illaoi | The Mighty Mech
N.O.V.A. Emblem,C,4.54,-0.04,11.2%,17934,3.0%,Master Yi | Fiora | Urgot | Bel'Veth | Graves
Vanguard Emblem,C,4.58,-0.02,12.7%,20269,3.4%,Meepsie | Tahm Kench | Diana | The Mighty Mech | LeBlanc
Tactician's Cape,C,4.33,-0.01,13.1%,5087,0.8%,Milio | Karma | Bel'Veth | Lissandra | Rhaast
Tactician's Shield,C,3.86,-0.00,18.9%,159,0.0%,Aatrox | Meepsie | Rhaast | Mordekaiser | Poppy
Space Groove Emblem,D,4.63,+0.00,10.8%,18980,3.2%,Riven | Shen | Nunu & Willump | Tahm Kench | Illaoi
Sniper Emblem,D,4.63,+0.00,13.0%,12997,2.2%,Blitzcrank | Kai'Sa | Graves | Karma | Bard
Challenger Emblem,D,4.63,+0.00,9.0%,16208,2.7%,Urgot | Master Yi | Fiora | Akali | LeBlanc
Arbiter Emblem,D,4.77,+0.05,9.8%,12256,2.0%,Illaoi | Blitzcrank | Karma | Nunu & Willump | Sona
Anima Emblem,D,5.03,+0.14,12.0%,8949,1.5%,Meepsie | Maokai | Mordekaiser | Tahm Kench | Nunu & Willump
