Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Space Groove Emblem,A,4.01,-0.29,19.0%,7382,5.0%,Riven | Shen | Jhin | Nunu & Willump | Illaoi
Voyager Emblem,A,3.94,-0.27,17.9%,3380,2.3%,Illaoi | Mordekaiser | Bard | Blitzcrank | Fiora
Marauder Emblem,B,4.13,-0.18,17.3%,2456,1.6%,Kindred | Graves | Briar | Riven | Shen
Vanguard Emblem,B,4.19,-0.17,15.4%,3855,2.6%,Meepsie | Ornn | Cho'Gath | Tahm Kench | Rammus
Shepherd Emblem,B,4.16,-0.17,15.1%,2517,1.7%,Karma | Mordekaiser | Leona | Blitzcrank | Bard
Timebreaker Emblem,B,4.17,-0.17,16.9%,2546,1.7%,Jhin | Tahm Kench | Xayah | Mordekaiser | Shen
Rogue Emblem,B,4.21,-0.15,15.0%,2986,2.0%,Rhaast | Karma | Jhin | Fiora | Graves
Brawler Emblem,B,4.23,-0.15,15.1%,3151,2.1%,Mordekaiser | The Mighty Mech | Aatrox | Rammus | Ornn
N.O.V.A. Emblem,B,4.34,-0.14,13.5%,9066,6.1%,Master Yi | Fiora | Graves | Bel'Veth | Shen
Bastion Emblem,B,4.30,-0.13,13.9%,3414,2.3%,Meepsie | Maokai | Nunu & Willump | Tahm Kench | Blitzcrank
Dark Star Emblem,B,4.32,-0.11,14.9%,2570,1.7%,Xayah | Tahm Kench | Blitzcrank | Riven | Morgana
Primordian Emblem,B,4.28,-0.11,13.5%,1420,1.0%,Maokai | Mordekaiser | Illaoi | Tahm Kench | Meepsie
Meeple Emblem,C,4.42,-0.08,15.8%,3144,2.1%,Shen | Ornn | Riven | The Mighty Mech | Blitzcrank
Psionic Emblem,C,4.44,-0.07,12.3%,2578,1.7%,Mordekaiser | Fiora | Rhaast | Urgot | Meepsie
Stargazer Emblem,C,4.52,-0.05,12.6%,5403,3.6%,Riven | Jhin | Shen | Blitzcrank | Aatrox
Challenger Emblem,C,4.60,-0.01,11.4%,2431,1.6%,Fiora | Master Yi | LeBlanc | Graves | Akali
Sniper Emblem,D,4.65,+0.01,12.1%,1953,1.3%,Kai'Sa | Corki | Graves | Teemo | Nami
Arbiter Emblem,D,4.75,+0.04,10.7%,2239,1.5%,Illaoi | Mordekaiser | Nunu & Willump | Meepsie | Karma
Anima Emblem,D,5.32,+0.22,9.0%,1391,0.9%,Mordekaiser | Meepsie | Tahm Kench | Blitzcrank | Nunu & Willump
