Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.73,-2.77,73.7%,209,0.0%,일라오이 | 피오라 | 거대 메크 로봇 | 블리츠크랭크 | 누누와 윌럼프
광휘 역장,S,3.94,-0.56,28.9%,5151,1.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 탐 켄치 | 피오라
드론 업링크,C,4.08,-0.05,12.7%,30480,6.0%,빅토르 | 소나 | 마스터 이 | 아우렐리온 솔 | 카르마
공감 임플란트,C,4.32,-0.02,12.3%,17629,3.5%,빅토르 | 소나 | 카르마 | 아우렐리온 솔 | 나미
악성코드 매트릭스,C,4.33,-0.01,12.2%,10268,2.0%,파이크 | 마스터 이 | 빅토르 | 미스 포츈 | 라아스트
유기물 보존기,C,4.42,-0.01,11.7%,11559,2.3%,일라오이 | 그라가스 | 라아스트 | 탐 켄치 | 모데카이저
얼음작렬 갑옷,C,3.71,-0.01,34.6%,5173,1.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 피오라 | 탐 켄치
표적 고정 광학 장치,C,4.35,-0.01,12.2%,10231,2.0%,파이크 | 마스터 이 | 빅토르 | 미스 포츈 | 소나
사자의 비가,C,3.86,-0.01,30.7%,4778,0.9%,일라오이 | 거대 메크 로봇 | 피오라 | 누누와 윌럼프 | 탐 켄치
망가진 시제품,C,4.23,-0.01,19.5%,6088,1.2%,일라오이 | 거대 메크 로봇 | 꼬마 정령 | 누누와 윌럼프 | 블리츠크랭크
타오르는 단궁,C,4.00,-0.01,28.6%,4510,0.9%,오로라 | 아우렐리온 솔 | 징크스 | 벡스 | 르블랑
불꽃 튀는 시제품,C,4.27,-0.01,19.0%,5166,1.0%,징크스 | 피오라 | 르블랑 | 오로라 | 킨드레드
엉성한 시제품,C,4.28,-0.01,18.4%,4745,0.9%,오로라 | 르블랑 | 소나 | 카르마 | 징크스
회오리 칼날,C,4.08,-0.01,29.0%,3468,0.7%,피오라 | 다이애나 | 일라오이 | 오로라 | 블리츠크랭크
전투 토끼 석궁,C,4.29,-0.01,26.6%,4354,0.9%,징크스 | 피오라 | 그레이브즈 | 진 | 킨드레드
절멸자,C,4.45,-0.00,21.8%,3795,0.7%,오로라 | 피오라 | 징크스 | 아우렐리온 솔 | 르블랑
촉수 후려치기,C,4.62,-0.00,17.6%,5510,1.1%,일라오이 | 거대 메크 로봇 | 탐 켄치 | 누누와 윌럼프 | 피오라
인도의 저주,C,4.72,-0.00,15.5%,5474,1.1%,오로라 | 카르마 | 르블랑 | 징크스 | 소나
메아리치는 박쥐칼날,C,4.48,-0.00,24.3%,2807,0.5%,징크스 | 피오라 | 그레이브즈 | 킨드레드 | 진
진화한 불꽃 사격,C,1.75,-0.00,73.2%,321,0.1%,오로라 | 피오라 | 벡스 | 소나 | 징크스
사자의 비탄,C,2.08,-0.00,69.8%,189,0.0%,일라오이 | 피오라 | 거대 메크 로봇 | 누누와 윌럼프 | 람머스
포악한 절단검,C,4.82,-0.00,16.3%,2942,0.6%,브라이어 | 피오라 | 징크스 | 다이애나 | 그레이브즈
왕 귀여운 발사기,C,2.90,-0.00,51.4%,255,0.0%,징크스 | 피오라 | 그레이브즈 | 진 | 킨드레드
귀여운 발사기,C,4.81,-0.00,20.4%,2729,0.5%,징크스 | 피오라 | 그레이브즈 | 진 | 킨드레드
완전 빙결,C,2.61,-0.00,55.8%,206,0.0%,일라오이 | 피오라 | 거대 메크 로봇 | 누누와 윌럼프 | 블리츠크랭크
동물의 종말,C,2.55,-0.00,61.3%,181,0.0%,피오라 | 오로라 | 벡스 | 아우렐리온 솔 | 징크스
로켓 연사,C,4.84,-0.00,16.2%,2581,0.5%,징크스 | 오로라 | 킨드레드 | 피오라 | 그레이브즈
토끼 프라임 거대 석궁,C,2.90,-0.00,55.1%,167,0.0%,피오라 | 징크스 | 그레이브즈 | 진 | 오로라
그치지 않는 폭풍,C,2.93,-0.00,54.1%,157,0.0%,피오라 | 다이애나 | 일라오이 | 그레이브즈 | 오로라
베인의 크로마칼날,C,3.19,-0.00,53.6%,153,0.0%,피오라 | 징크스 | 그레이브즈 | 진 | 킨드레드
만능 무기,C,1.00,-0.00,100.0%,24,0.0%,피오라 | 그레이브즈 | 오로라 | 소나 | 블리츠크랭크
공감 임플란트,D,4.63,+0.13,7.7%,2969,0.6%,빅토르 | 소나 | 파이크 | 마스터 이 | 그라가스
표적 고정 광학 장치,D,4.64,+0.14,7.2%,2486,0.5%,마스터 이 | 파이크 | 소나 | 빅토르 | 그라가스
악성코드 매트릭스,D,4.71,+0.21,6.5%,2309,0.5%,마스터 이 | 파이크 | 소나 | 빅토르 | 그라가스
드론 업링크,D,4.73,+0.23,7.1%,3745,0.7%,빅토르 | 소나 | 마스터 이 | 파이크 | 그라가스
유기물 보존기,D,4.78,+0.28,6.7%,1374,0.3%,그라가스 | 마스터 이 | 파이크 | 소나 | 라아스트
