Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.72,-2.78,77.2%,1884,0.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 피오라
광휘 역장,S,4.10,-0.40,28.6%,46100,1.0%,거대 메크 로봇 | 일라오이 | 누누와 윌럼프 | 람머스 | 탐 켄치
드론 업링크,C,4.06,-0.05,13.3%,234883,5.2%,빅토르 | 소나 | 카르마 | 아우렐리온 솔 | 나미
전투 토끼 석궁,C,3.32,-0.03,44.1%,79029,1.8%,자야 | 그레이브즈 | 징크스 | 피오라 | 우르곳
공감 임플란트,C,4.28,-0.02,12.0%,133930,3.0%,빅토르 | 소나 | 나미 | 카르마 | 바드
표적 고정 광학 장치,C,4.22,-0.01,12.8%,78283,1.7%,파이크 | 마스터 이 | 피오라 | 그레이브즈 | 우르곳
유기물 보존기,C,4.39,-0.01,11.7%,85223,1.9%,일라오이 | 라아스트 | 탐 켄치 | 거대 메크 로봇 | 그라가스
악성코드 매트릭스,C,4.32,-0.01,12.3%,75566,1.7%,파이크 | 마스터 이 | 피오라 | 그레이브즈 | 소나
얼음작렬 갑옷,C,4.06,-0.01,31.3%,46681,1.0%,거대 메크 로봇 | 일라오이 | 누누와 윌럼프 | 람머스 | 탐 켄치
사자의 비가,C,4.09,-0.01,29.6%,43506,1.0%,거대 메크 로봇 | 일라오이 | 누누와 윌럼프 | 람머스 | 탐 켄치
망가진 시제품,C,4.33,-0.01,20.3%,41639,0.9%,일라오이 | 누누와 윌럼프 | 탐 켄치 | 람머스 | 거대 메크 로봇
불꽃 튀는 시제품,C,4.36,-0.01,19.5%,37383,0.8%,징크스 | 르블랑 | 피오라 | 진 | 그레이브즈
메아리치는 박쥐칼날,C,4.35,-0.01,26.9%,36294,0.8%,자야 | 피오라 | 그레이브즈 | 징크스 | 우르곳
타오르는 단궁,C,4.45,-0.00,24.9%,40042,0.9%,아우렐리온 솔 | 오로라 | 벡스 | 자야 | 바드
엉성한 시제품,C,4.31,-0.00,20.0%,31110,0.7%,오로라 | 카르마 | 르블랑 | 소나 | 바드
회오리 칼날,C,4.35,-0.00,28.2%,31582,0.7%,피오라 | 다이애나 | 거대 메크 로봇 | 블리츠크랭크 | 일라오이
촉수 후려치기,C,4.76,-0.00,18.0%,43724,1.0%,일라오이 | 누누와 윌럼프 | 탐 켄치 | 람머스 | 거대 메크 로봇
진화한 불꽃 사격,C,1.72,-0.00,76.1%,3049,0.1%,오로라 | 아우렐리온 솔 | 벡스 | 소나 | 피오라
절멸자,C,4.78,-0.00,20.8%,32714,0.7%,아우렐리온 솔 | 오로라 | 자야 | 피오라 | 벡스
인도의 저주,C,4.82,-0.00,16.6%,39462,0.9%,오로라 | 아우렐리온 솔 | 카르마 | 바드 | 벡스
귀여운 발사기,C,4.82,-0.00,20.7%,32755,0.7%,자야 | 그레이브즈 | 징크스 | 피오라 | 우르곳
왕 귀여운 발사기,C,2.64,-0.00,54.7%,2482,0.1%,징크스 | 그레이브즈 | 피오라 | 자야 | 진
사자의 비탄,C,1.94,-0.00,73.4%,1634,0.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 피오라 | 람머스
토끼 프라임 거대 석궁,C,2.20,-0.00,69.9%,1660,0.0%,피오라 | 그레이브즈 | 자야 | 징크스 | 진
완전 빙결,C,2.44,-0.00,65.0%,1779,0.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 피오라 | 람머스
동물의 종말,C,2.50,-0.00,61.9%,1605,0.0%,오로라 | 피오라 | 아우렐리온 솔 | 벡스 | 그레이브즈
그치지 않는 폭풍,C,2.53,-0.00,64.1%,1569,0.0%,피오라 | 다이애나 | 거대 메크 로봇 | 일라오이 | 블리츠크랭크
베인의 크로마칼날,C,2.66,-0.00,58.0%,1452,0.0%,피오라 | 그레이브즈 | 자야 | 징크스 | 진
만능 무기,C,1.01,-0.00,98.7%,232,0.0%,피오라 | 그레이브즈 | 벡스 | 블리츠크랭크 | 거대 메크 로봇
포악한 절단검,C,4.97,-0.00,16.2%,25687,0.6%,피오라 | 그레이브즈 | 우르곳 | 마스터 이 | 브라이어
로켓 연사,D,5.03,+0.00,15.7%,23466,0.5%,징크스 | 자야 | 진 | 그레이브즈 | 피오라
공감 임플란트,D,4.62,+0.12,7.8%,29081,0.6%,빅토르 | 소나 | 파이크 | 마스터 이 | 카르마
표적 고정 광학 장치,D,4.62,+0.12,7.3%,24770,0.6%,파이크 | 마스터 이 | 소나 | 피오라 | 우르곳
악성코드 매트릭스,D,4.68,+0.18,7.0%,22881,0.5%,마스터 이 | 파이크 | 소나 | 피오라 | 그레이브즈
드론 업링크,D,4.74,+0.24,6.7%,35381,0.8%,빅토르 | 소나 | 마스터 이 | 파이크 | 아우렐리온 솔
유기물 보존기,D,4.88,+0.38,5.9%,13500,0.3%,그라가스 | 일라오이 | 마스터 이 | 라아스트 | 탐 켄치
