Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.63,-2.87,79.3%,2686,0.0%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 피오라
광휘 역장,B,4.35,-0.15,26.7%,72403,1.0%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
전투 토끼 석궁,C,2.93,-0.05,51.0%,189164,2.6%,자야 | 그레이브즈 | 징크스 | 우르곳 | 피오라
드론 업링크,C,3.99,-0.05,13.5%,349714,4.8%,빅토르 | 소나 | 카르마 | 나미 | 바드
공감 임플란트,C,4.25,-0.02,11.9%,196500,2.7%,빅토르 | 소나 | 나미 | 카르마 | 바드
표적 고정 광학 장치,C,4.20,-0.01,12.3%,118168,1.6%,파이크 | 마스터 이 | 피오라 | 킨드레드 | 우르곳
유기물 보존기,C,4.37,-0.01,11.4%,125234,1.7%,일라오이 | 탐 켄치 | 라아스트 | 누누와 윌럼프 | 그라가스
악성코드 매트릭스,C,4.30,-0.01,11.9%,112515,1.5%,파이크 | 마스터 이 | 피오라 | 킨드레드 | 소나
얼음작렬 갑옷,C,4.34,-0.01,28.8%,73829,1.0%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
사자의 비가,C,4.34,-0.01,27.5%,67628,0.9%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
메아리치는 박쥐칼날,C,4.41,-0.01,26.2%,73785,1.0%,자야 | 그레이브즈 | 피오라 | 우르곳 | 진
망가진 시제품,C,4.49,-0.00,19.5%,57558,0.8%,누누와 윌럼프 | 일라오이 | 탐 켄치 | 람머스 | 라아스트
불꽃 튀는 시제품,C,4.54,-0.00,18.7%,49433,0.7%,진 | 징크스 | 피오라 | 자야 | 오로라
엉성한 시제품,C,4.49,-0.00,19.1%,39754,0.5%,오로라 | 카르마 | 바드 | 소나 | 블리츠크랭크
회오리 칼날,C,4.64,-0.00,25.7%,50455,0.7%,피오라 | 누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 블리츠크랭크
촉수 후려치기,C,4.81,-0.00,19.1%,67560,0.9%,일라오이 | 누누와 윌럼프 | 람머스 | 탐 켄치 | 거대 메크 로봇
진화한 불꽃 사격,C,1.81,-0.00,76.7%,4063,0.1%,오로라 | 아우렐리온 솔 | 벡스 | 자야 | 바드
타오르는 단궁,C,4.84,-0.00,21.3%,59171,0.8%,아우렐리온 솔 | 오로라 | 자야 | 바드 | 벡스
토끼 프라임 거대 석궁,C,1.88,-0.00,76.7%,2900,0.0%,자야 | 그레이브즈 | 피오라 | 징크스 | 벡스
왕 귀여운 발사기,C,2.53,-0.00,59.9%,3621,0.0%,자야 | 징크스 | 그레이브즈 | 피오라 | 진
사자의 비탄,C,1.90,-0.00,75.5%,2356,0.0%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 피오라
완전 빙결,C,2.53,-0.00,65.0%,2571,0.0%,누누와 윌럼프 | 거대 메크 로봇 | 일라오이 | 람머스 | 피오라
인도의 저주,C,4.91,-0.00,17.4%,58024,0.8%,오로라 | 바드 | 카르마 | 아우렐리온 솔 | 벡스
베인의 크로마칼날,C,2.79,-0.00,57.5%,2299,0.0%,자야 | 피오라 | 그레이브즈 | 징크스 | 마스터 이
동물의 종말,C,2.72,-0.00,59.3%,2140,0.0%,아우렐리온 솔 | 오로라 | 자야 | 피오라 | 벡스
그치지 않는 폭풍,C,2.80,-0.00,58.6%,2198,0.0%,피오라 | 거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 블리츠크랭크
귀여운 발사기,C,4.92,-0.00,20.0%,63187,0.9%,자야 | 우르곳 | 그레이브즈 | 피오라 | 진
만능 무기,C,1.02,-0.00,98.5%,329,0.0%,피오라 | 그레이브즈 | 블리츠크랭크 | 진 | 자야
포악한 절단검,D,5.05,+0.00,16.4%,41367,0.6%,피오라 | 우르곳 | 진 | 자야 | 마스터 이
절멸자,D,5.08,+0.00,18.4%,50283,0.7%,아우렐리온 솔 | 자야 | 진 | 오로라 | 바드
로켓 연사,D,5.15,+0.00,15.5%,37859,0.5%,자야 | 진 | 징크스 | 그레이브즈 | 우르곳
표적 고정 광학 장치,D,4.60,+0.10,7.2%,41676,0.6%,파이크 | 마스터 이 | 피오라 | 소나 | 우르곳
공감 임플란트,D,4.62,+0.12,7.4%,47336,0.6%,빅토르 | 소나 | 파이크 | 마스터 이 | 카르마
악성코드 매트릭스,D,4.67,+0.17,6.8%,37243,0.5%,마스터 이 | 파이크 | 소나 | 피오라 | 그레이브즈
드론 업링크,D,4.75,+0.25,6.3%,58404,0.8%,빅토르 | 소나 | 마스터 이 | 파이크 | 카르마
유기물 보존기,D,4.89,+0.39,5.3%,22897,0.3%,그라가스 | 일라오이 | 라아스트 | 탐 켄치 | 마스터 이
