Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.71,-2.79,76.6%,1644,0.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 피오라 | 람머스
광휘 역장,S,4.02,-0.48,29.0%,37391,1.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 탐 켄치
드론 업링크,C,4.08,-0.05,13.3%,201576,5.4%,빅토르 | 소나 | 카르마 | 아우렐리온 솔 | 나미
공감 임플란트,C,4.31,-0.02,11.9%,116207,3.1%,빅토르 | 소나 | 나미 | 카르마 | 아우렐리온 솔
전투 토끼 석궁,C,3.57,-0.02,39.6%,52013,1.4%,자야 | 징크스 | 그레이브즈 | 피오라 | 우르곳
표적 고정 광학 장치,C,4.25,-0.01,12.6%,67816,1.8%,파이크 | 마스터 이 | 피오라 | 그레이브즈 | 우르곳
유기물 보존기,C,4.40,-0.01,11.8%,73692,2.0%,일라오이 | 라아스트 | 탐 켄치 | 거대 메크 로봇 | 그라가스
악성코드 매트릭스,C,4.34,-0.01,12.4%,65660,1.8%,파이크 | 마스터 이 | 피오라 | 그레이브즈 | 우르곳
얼음작렬 갑옷,C,3.96,-0.01,32.4%,38319,1.0%,거대 메크 로봇 | 일라오이 | 누누와 윌럼프 | 람머스 | 탐 켄치
사자의 비가,C,4.00,-0.01,30.6%,35920,1.0%,거대 메크 로봇 | 일라오이 | 누누와 윌럼프 | 람머스 | 탐 켄치
망가진 시제품,C,4.27,-0.01,20.3%,36085,1.0%,일라오이 | 누누와 윌럼프 | 탐 켄치 | 꼬마 정령 | 거대 메크 로봇
타오르는 단궁,C,4.29,-0.01,26.2%,33005,0.9%,오로라 | 아우렐리온 솔 | 벡스 | 카르마 | 자야
불꽃 튀는 시제품,C,4.28,-0.01,19.8%,32444,0.9%,징크스 | 르블랑 | 피오라 | 그레이브즈 | 마스터 이
엉성한 시제품,C,4.25,-0.01,20.1%,27536,0.7%,오로라 | 르블랑 | 카르마 | 소나 | 바드
회오리 칼날,C,4.23,-0.01,29.0%,25855,0.7%,피오라 | 다이애나 | 거대 메크 로봇 | 블리츠크랭크 | 일라오이
메아리치는 박쥐칼날,C,4.34,-0.00,27.1%,26660,0.7%,자야 | 피오라 | 그레이브즈 | 징크스 | 우르곳
촉수 후려치기,C,4.72,-0.00,17.8%,36339,1.0%,일라오이 | 누누와 윌럼프 | 탐 켄치 | 거대 메크 로봇 | 람머스
절멸자,C,4.65,-0.00,21.9%,27045,0.7%,아우렐리온 솔 | 오로라 | 피오라 | 벡스 | 자야
진화한 불꽃 사격,C,1.69,-0.00,77.0%,2726,0.1%,오로라 | 아우렐리온 솔 | 벡스 | 소나 | 피오라
인도의 저주,C,4.78,-0.00,16.5%,33856,0.9%,오로라 | 아우렐리온 솔 | 카르마 | 바드 | 벡스
귀여운 발사기,C,4.77,-0.00,21.4%,24204,0.6%,자야 | 징크스 | 그레이브즈 | 피오라 | 우르곳
왕 귀여운 발사기,C,2.64,-0.00,54.1%,2128,0.1%,징크스 | 피오라 | 그레이브즈 | 자야 | 진
사자의 비탄,C,1.90,-0.00,74.4%,1455,0.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 피오라 | 람머스
완전 빙결,C,2.36,-0.00,66.7%,1539,0.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 피오라 | 람머스
토끼 프라임 거대 석궁,C,2.29,-0.00,67.5%,1418,0.0%,피오라 | 그레이브즈 | 자야 | 징크스 | 진
동물의 종말,C,2.47,-0.00,62.9%,1399,0.0%,오로라 | 피오라 | 아우렐리온 솔 | 벡스 | 그레이브즈
그치지 않는 폭풍,C,2.57,-0.00,63.8%,1396,0.0%,피오라 | 다이애나 | 거대 메크 로봇 | 일라오이 | 블리츠크랭크
베인의 크로마칼날,C,2.72,-0.00,58.3%,1247,0.0%,피오라 | 그레이브즈 | 자야 | 징크스 | 마스터 이
로켓 연사,C,4.91,-0.00,16.4%,18441,0.5%,징크스 | 자야 | 그레이브즈 | 진 | 피오라
포악한 절단검,C,4.93,-0.00,16.3%,20732,0.6%,피오라 | 마스터 이 | 그레이브즈 | 우르곳 | 브라이어
만능 무기,C,1.02,-0.00,98.5%,204,0.0%,피오라 | 그레이브즈 | 벡스 | 블리츠크랭크 | 아우렐리온 솔
공감 임플란트,D,4.62,+0.12,7.9%,24255,0.6%,빅토르 | 소나 | 파이크 | 마스터 이 | 카르마
표적 고정 광학 장치,D,4.62,+0.12,7.6%,20635,0.6%,마스터 이 | 파이크 | 소나 | 피오라 | 우르곳
악성코드 매트릭스,D,4.69,+0.19,7.1%,18850,0.5%,마스터 이 | 파이크 | 소나 | 피오라 | 그레이브즈
드론 업링크,D,4.75,+0.25,6.7%,29243,0.8%,빅토르 | 소나 | 마스터 이 | 파이크 | 아우렐리온 솔
유기물 보존기,D,4.89,+0.39,5.7%,11111,0.3%,그라가스 | 일라오이 | 마스터 이 | 라아스트 | 탐 켄치
