Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.76,-2.74,77.4%,2128,0.0%,거대 메크 로봇 | 일라오이 | 누누와 윌럼프 | 람머스 | 탐 켄치
광휘 역장,S,4.19,-0.31,27.8%,54097,1.0%,거대 메크 로봇 | 누누와 윌럼프 | 일라오이 | 람머스 | 탐 켄치
드론 업링크,C,4.03,-0.05,13.4%,263990,5.1%,빅토르 | 소나 | 카르마 | 나미 | 바드
전투 토끼 석궁,C,3.16,-0.04,46.7%,107520,2.1%,자야 | 그레이브즈 | 징크스 | 우르곳 | 피오라
공감 임플란트,C,4.26,-0.02,12.2%,150317,2.9%,빅토르 | 소나 | 나미 | 카르마 | 바드
표적 고정 광학 장치,C,4.20,-0.01,13.0%,87630,1.7%,파이크 | 마스터 이 | 피오라 | 우르곳 | 소나
유기물 보존기,C,4.37,-0.01,11.8%,95004,1.8%,일라오이 | 탐 켄치 | 라아스트 | 누누와 윌럼프 | 그라가스
악성코드 매트릭스,C,4.31,-0.01,12.3%,84416,1.6%,파이크 | 마스터 이 | 피오라 | 그레이브즈 | 우르곳
얼음작렬 갑옷,C,4.16,-0.01,30.2%,54200,1.0%,거대 메크 로봇 | 누누와 윌럼프 | 일라오이 | 람머스 | 탐 켄치
사자의 비가,C,4.18,-0.01,28.6%,50537,1.0%,거대 메크 로봇 | 누누와 윌럼프 | 일라오이 | 람머스 | 탐 켄치
메아리치는 박쥐칼날,C,4.37,-0.01,26.6%,45990,0.9%,자야 | 피오라 | 그레이브즈 | 우르곳 | 킨드레드
망가진 시제품,C,4.39,-0.01,19.8%,46365,0.9%,일라오이 | 누누와 윌럼프 | 탐 켄치 | 람머스 | 거대 메크 로봇
불꽃 튀는 시제품,C,4.42,-0.00,19.1%,41200,0.8%,징크스 | 르블랑 | 진 | 피오라 | 그레이브즈
엉성한 시제품,C,4.38,-0.00,19.7%,33721,0.7%,카르마 | 오로라 | 바드 | 르블랑 | 소나
회오리 칼날,C,4.46,-0.00,27.0%,36509,0.7%,피오라 | 거대 메크 로봇 | 누누와 윌럼프 | 블리츠크랭크 | 다이애나
타오르는 단궁,C,4.60,-0.00,23.2%,45970,0.9%,아우렐리온 솔 | 오로라 | 벡스 | 자야 | 바드
진화한 불꽃 사격,C,1.73,-0.00,76.6%,3358,0.1%,오로라 | 아우렐리온 솔 | 벡스 | 바드 | 소나
촉수 후려치기,C,4.79,-0.00,18.0%,50626,1.0%,일라오이 | 누누와 윌럼프 | 탐 켄치 | 람머스 | 거대 메크 로봇
왕 귀여운 발사기,C,2.62,-0.00,56.2%,2813,0.1%,징크스 | 자야 | 그레이브즈 | 피오라 | 진
귀여운 발사기,C,4.86,-0.00,20.3%,41495,0.8%,자야 | 그레이브즈 | 우르곳 | 피오라 | 징크스
인도의 저주,C,4.87,-0.00,16.5%,44768,0.9%,오로라 | 카르마 | 바드 | 아우렐리온 솔 | 나미
사자의 비탄,C,1.92,-0.00,73.7%,1836,0.0%,거대 메크 로봇 | 일라오이 | 누누와 윌럼프 | 람머스 | 피오라
토끼 프라임 거대 석궁,C,2.12,-0.00,71.3%,1939,0.0%,자야 | 피오라 | 그레이브즈 | 징크스 | 진
완전 빙결,C,2.43,-0.00,66.2%,1983,0.0%,거대 메크 로봇 | 일라오이 | 누누와 윌럼프 | 람머스 | 탐 켄치
그치지 않는 폭풍,C,2.58,-0.00,63.2%,1713,0.0%,피오라 | 거대 메크 로봇 | 다이애나 | 일라오이 | 블리츠크랭크
절멸자,C,4.89,-0.00,19.9%,38007,0.7%,아우렐리온 솔 | 자야 | 오로라 | 벡스 | 진
동물의 종말,C,2.57,-0.00,62.3%,1667,0.0%,아우렐리온 솔 | 오로라 | 피오라 | 벡스 | 자야
베인의 크로마칼날,C,2.69,-0.00,57.9%,1674,0.0%,피오라 | 자야 | 그레이브즈 | 징크스 | 킨드레드
만능 무기,C,1.01,-0.00,98.8%,241,0.0%,피오라 | 그레이브즈 | 거대 메크 로봇 | 진 | 블리츠크랭크
포악한 절단검,D,5.01,+0.00,16.0%,30374,0.6%,피오라 | 우르곳 | 마스터 이 | 그레이브즈 | 진
로켓 연사,D,5.09,+0.00,15.2%,28002,0.5%,자야 | 진 | 징크스 | 우르곳 | 그레이브즈
공감 임플란트,D,4.61,+0.11,7.8%,33390,0.6%,빅토르 | 소나 | 파이크 | 마스터 이 | 카르마
표적 고정 광학 장치,D,4.61,+0.11,7.3%,28704,0.6%,파이크 | 마스터 이 | 소나 | 피오라 | 그레이브즈
악성코드 매트릭스,D,4.68,+0.18,6.8%,26540,0.5%,마스터 이 | 파이크 | 피오라 | 소나 | 그레이브즈
드론 업링크,D,4.74,+0.24,6.5%,41107,0.8%,빅토르 | 소나 | 마스터 이 | 파이크 | 아우렐리온 솔
유기물 보존기,D,4.88,+0.38,5.7%,15655,0.3%,그라가스 | 일라오이 | 라아스트 | 탐 켄치 | 거대 메크 로봇
