Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.68,-2.82,76.1%,683,0.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 피오라 | 람머스
광휘 역장,S,3.87,-0.63,29.8%,14612,1.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 탐 켄치 | 람머스
드론 업링크,C,4.09,-0.05,13.2%,83618,5.6%,빅토르 | 소나 | 아우렐리온 솔 | 카르마 | 나미
공감 임플란트,C,4.34,-0.02,12.0%,49446,3.3%,빅토르 | 소나 | 나미 | 카르마 | 아우렐리온 솔
표적 고정 광학 장치,C,4.26,-0.01,12.6%,28892,1.9%,파이크 | 마스터 이 | 피오라 | 그레이브즈 | 우르곳
유기물 보존기,C,4.40,-0.01,11.7%,31383,2.1%,일라오이 | 탐 켄치 | 라아스트 | 거대 메크 로봇 | 마오카이
악성코드 매트릭스,C,4.36,-0.01,12.5%,28077,1.9%,파이크 | 마스터 이 | 피오라 | 그레이브즈 | 우르곳
얼음작렬 갑옷,C,3.85,-0.01,33.1%,14972,1.0%,거대 메크 로봇 | 일라오이 | 누누와 윌럼프 | 탐 켄치 | 람머스
사자의 비가,C,3.86,-0.01,31.3%,14283,1.0%,거대 메크 로봇 | 일라오이 | 누누와 윌럼프 | 탐 켄치 | 람머스
전투 토끼 석궁,C,4.03,-0.01,30.6%,14299,1.0%,징크스 | 그레이브즈 | 피오라 | 자야 | 우르곳
망가진 시제품,C,4.21,-0.01,20.3%,15486,1.0%,일라오이 | 꼬마 정령 | 탐 켄치 | 누누와 윌럼프 | 거대 메크 로봇
타오르는 단궁,C,4.10,-0.01,27.4%,12956,0.9%,오로라 | 아우렐리온 솔 | 벡스 | 카르마 | 나미
불꽃 튀는 시제품,C,4.22,-0.01,20.5%,13590,0.9%,르블랑 | 징크스 | 피오라 | 카르마 | 그레이브즈
엉성한 시제품,C,4.18,-0.01,20.3%,12012,0.8%,르블랑 | 카르마 | 오로라 | 소나 | 모르가나
회오리 칼날,C,4.07,-0.01,29.9%,9892,0.7%,피오라 | 다이애나 | 일라오이 | 거대 메크 로봇 | 블리츠크랭크
메아리치는 박쥐칼날,C,4.33,-0.00,27.4%,8790,0.6%,피오라 | 징크스 | 그레이브즈 | 자야 | 우르곳
절멸자,C,4.49,-0.00,23.3%,10752,0.7%,오로라 | 아우렐리온 솔 | 피오라 | 벡스 | 빅토르
촉수 후려치기,C,4.64,-0.00,17.6%,14701,1.0%,일라오이 | 탐 켄치 | 거대 메크 로봇 | 누누와 윌럼프 | 람머스
진화한 불꽃 사격,C,1.59,-0.00,78.4%,1202,0.1%,오로라 | 아우렐리온 솔 | 벡스 | 소나 | 피오라
인도의 저주,C,4.72,-0.00,16.6%,14259,1.0%,오로라 | 아우렐리온 솔 | 카르마 | 바드 | 벡스
귀여운 발사기,C,4.72,-0.00,22.5%,8308,0.6%,징크스 | 피오라 | 그레이브즈 | 자야 | 우르곳
사자의 비탄,C,1.85,-0.00,74.3%,634,0.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 피오라 | 람머스
왕 귀여운 발사기,C,2.67,-0.00,55.5%,851,0.1%,징크스 | 피오라 | 그레이브즈 | 킨드레드 | 오로라
완전 빙결,C,2.37,-0.00,67.2%,661,0.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 피오라 | 람머스
동물의 종말,C,2.52,-0.00,61.7%,632,0.0%,오로라 | 피오라 | 아우렐리온 솔 | 벡스 | 그레이브즈
토끼 프라임 거대 석궁,C,2.48,-0.00,62.7%,595,0.0%,피오라 | 그레이브즈 | 징크스 | 자야 | 오로라
그치지 않는 폭풍,C,2.55,-0.00,61.4%,604,0.0%,피오라 | 다이애나 | 거대 메크 로봇 | 일라오이 | 블리츠크랭크
로켓 연사,C,4.80,-0.00,16.3%,7039,0.5%,징크스 | 그레이브즈 | 피오라 | 우르곳 | 카르마
베인의 크로마칼날,C,2.86,-0.00,56.5%,542,0.0%,피오라 | 그레이브즈 | 징크스 | 마스터 이 | 킨드레드
포악한 절단검,C,4.87,-0.00,16.3%,8105,0.5%,피오라 | 마스터 이 | 우르곳 | 그레이브즈 | 브라이어
만능 무기,C,1.05,-0.00,97.6%,84,0.0%,피오라 | 그레이브즈 | 아우렐리온 솔 | 오로라 | 일라오이
공감 임플란트,D,4.63,+0.13,7.9%,9492,0.6%,빅토르 | 소나 | 파이크 | 마스터 이 | 아우렐리온 솔
표적 고정 광학 장치,D,4.65,+0.15,7.6%,7997,0.5%,마스터 이 | 파이크 | 소나 | 피오라 | 그레이브즈
악성코드 매트릭스,D,4.67,+0.17,7.2%,7385,0.5%,마스터 이 | 파이크 | 소나 | 피오라 | 그레이브즈
드론 업링크,D,4.77,+0.27,6.8%,11408,0.8%,빅토르 | 소나 | 마스터 이 | 파이크 | 아우렐리온 솔
유기물 보존기,D,4.87,+0.37,5.7%,4232,0.3%,그라가스 | 일라오이 | 마스터 이 | 라아스트 | 탐 켄치
