Unit,Cost,Avg Place,Top 4%,Games,Win%
모르가나,S,3.97,19.6%,"642,865",17.4%
진,S,3.97,18.7%,"521,309",14.1%
바드,S,4.01,19.0%,"716,372",19.4%
소나,S,4.03,17.6%,"403,071",10.9%
쉔,S,4.04,18.0%,"976,657",26.5%
블리츠크랭크,S,4.11,17.4%,"1,005,952",27.3%
나미,S,4.12,13.6%,"553,568",15.0%
제드,S,4.15,19.5%,"54,696",1.5%
라아스트,S,4.18,14.7%,"757,977",20.6%
리산드라,A,4.22,11.2%,"585,489",15.9%
파이크,A,4.22,11.3%,"425,618",11.6%
피오라,A,4.24,17.7%,"646,212",17.5%
킨드레드,A,4.26,10.8%,"409,257",11.1%
리븐,A,4.26,14.1%,"657,967",17.9%
빅토르,A,4.29,11.1%,"397,570",10.8%
케이틀린,A,4.30,9.9%,"437,961",11.9%
벡스,A,4.30,16.9%,"598,306",16.2%
코르키,A,4.33,12.5%,"358,069",9.7%
벨베스,A,4.34,10.0%,"322,619",8.8%
렉사이,A,4.38,9.0%,"233,837",6.3%
꼬마 정령,A,4.38,12.3%,"1,183,627",32.1%
모데카이저,A,4.39,12.9%,"1,353,069",36.7%
사미라,A,4.39,14.4%,"264,617",7.2%
카르마,A,4.40,13.5%,"869,298",23.6%
아트록스,B,4.40,12.2%,"898,738",24.4%
티모,B,4.41,10.0%,"177,555",4.8%
그웬,B,4.41,12.7%,"337,092",9.1%
밀리오,B,4.42,12.0%,"323,460",8.8%
아칼리,B,4.42,12.8%,"696,151",18.9%
자야,B,4.43,15.4%,"533,136",14.5%
탈론,B,4.43,10.4%,"256,505",7.0%
누누와 윌럼프,B,4.46,14.5%,"1,285,759",34.9%
일라오이,B,4.48,11.4%,"963,187",26.1%
잭스,B,4.48,13.2%,"681,188",18.5%
카이사,B,4.50,10.4%,"237,122",6.4%
람머스,B,4.51,13.5%,"994,990",27.0%
마오카이,B,4.52,11.0%,"681,231",18.5%
조이,B,4.54,8.9%,"247,920",6.7%
거대 메크 로봇,B,4.54,14.2%,"536,240",14.6%
오른,B,4.54,11.9%,"650,533",17.7%
트위스티드 페이트,B,4.55,9.3%,"255,365",6.9%
피즈,B,4.55,12.0%,"300,175",8.1%
르블랑,B,4.56,10.1%,"386,105",10.5%
나르,B,4.57,15.5%,"323,461",8.8%
나서스,B,4.60,10.6%,"363,848",9.9%
그레이브즈,C,4.61,15.2%,"467,281",12.7%
베이가,C,4.61,12.3%,"141,234",3.8%
뽀삐,C,4.63,11.8%,"331,038",9.0%
마스터 이,C,4.63,11.5%,"323,090",8.8%
탐 켄치,C,4.65,13.9%,"929,128",25.2%
브라이어,C,4.65,8.5%,"246,773",6.7%
아우렐리온 솔,C,4.66,15.5%,"275,776",7.5%
레오나,C,4.66,9.1%,"413,661",11.2%
판테온,C,4.67,12.3%,"460,223",12.5%
우르곳,C,4.72,13.4%,"361,506",9.8%
초가스,C,4.75,10.6%,"203,665",5.5%
룰루,D,4.86,9.8%,"120,277",3.3%
미스 포츈,D,4.87,6.8%,"71,089",1.9%
그라가스,D,4.89,6.4%,"160,545",4.4%
이즈리얼,D,4.90,11.4%,"140,650",3.8%
오로라,D,4.94,13.1%,"176,266",4.8%
다이애나,D,5.07,10.6%,"80,667",2.2%
징크스,D,5.58,10.6%,"90,540",2.5%
