Unit,Cost,Avg Place,Top 4%,Games,Win%
진,S,3.91,21.1%,"1,054,897",16.9%
바드,S,3.96,21.0%,"1,128,211",18.1%
모르가나,S,3.99,19.6%,"900,421",14.4%
소나,S,4.05,17.4%,"665,617",10.7%
쉔,S,4.07,17.7%,"1,338,461",21.4%
나미,S,4.08,13.2%,"913,652",14.6%
블리츠크랭크,S,4.12,17.3%,"1,530,218",24.5%
라아스트,S,4.16,15.2%,"1,563,886",25.0%
파이크,S,4.18,11.5%,"692,392",11.1%
리산드라,A,4.22,11.1%,"1,060,353",17.0%
빅토르,A,4.22,11.2%,"602,510",9.6%
킨드레드,A,4.23,10.5%,"655,636",10.5%
제드,A,4.24,17.5%,"96,496",1.5%
리븐,A,4.26,13.5%,"1,016,685",16.3%
코르키,A,4.30,12.2%,"602,197",9.6%
피오라,A,4.30,17.4%,"911,601",14.6%
케이틀린,A,4.31,9.4%,"702,153",11.2%
벨베스,A,4.35,9.7%,"559,564",9.0%
티모,A,4.37,9.4%,"397,337",6.4%
렉사이,A,4.37,9.0%,"441,365",7.1%
모데카이저,A,4.37,13.9%,"2,366,498",37.9%
아칼리,A,4.38,12.3%,"1,324,300",21.2%
벡스,A,4.38,15.8%,"866,566",13.9%
꼬마 정령,A,4.38,12.1%,"1,721,516",27.6%
밀리오,A,4.40,11.3%,"519,808",8.3%
카르마,A,4.40,13.6%,"1,270,243",20.3%
사미라,B,4.40,14.2%,"468,306",7.5%
아트록스,B,4.42,11.4%,"1,359,900",21.8%
거대 메크 로봇,B,4.44,13.7%,"1,034,398",16.6%
그웬,B,4.44,12.0%,"516,441",8.3%
카이사,B,4.44,10.6%,"478,624",7.7%
탈론,B,4.46,9.9%,"479,134",7.7%
마오카이,B,4.46,10.8%,"1,263,532",20.2%
자야,B,4.47,17.2%,"1,126,894",18.0%
누누와 윌럼프,B,4.47,15.5%,"2,328,306",37.3%
조이,B,4.47,8.8%,"427,662",6.8%
잭스,B,4.48,14.8%,"1,377,767",22.1%
일라오이,B,4.50,11.3%,"1,646,491",26.4%
트위스티드 페이트,B,4.53,9.0%,"458,040",7.3%
람머스,B,4.53,14.7%,"1,624,401",26.0%
나르,B,4.55,17.9%,"674,729",10.8%
나서스,B,4.57,9.7%,"632,711",10.1%
우르곳,B,4.57,12.9%,"767,546",12.3%
오른,B,4.57,11.5%,"1,009,165",16.2%
르블랑,B,4.58,9.8%,"506,908",8.1%
피즈,B,4.60,11.3%,"451,754",7.2%
아우렐리온 솔,B,4.60,15.8%,"397,590",6.4%
뽀삐,C,4.63,11.6%,"509,238",8.2%
레오나,C,4.63,8.6%,"658,002",10.5%
베이가,C,4.65,12.0%,"250,071",4.0%
마스터 이,C,4.65,11.3%,"454,777",7.3%
그레이브즈,C,4.66,14.8%,"658,277",10.5%
탐 켄치,C,4.66,13.5%,"1,391,808",22.3%
초가스,C,4.70,10.6%,"392,720",6.3%
오로라,C,4.72,11.9%,"512,350",8.2%
판테온,C,4.73,11.7%,"704,994",11.3%
브라이어,C,4.74,8.2%,"486,527",7.8%
미스 포츈,D,4.86,7.0%,"112,546",1.8%
룰루,D,4.88,9.5%,"200,025",3.2%
그라가스,D,4.89,6.3%,"257,451",4.1%
이즈리얼,D,4.94,11.3%,"229,204",3.7%
다이애나,D,5.20,7.8%,"110,010",1.8%
징크스,D,6.08,7.7%,"145,371",2.3%
