Unit,Cost,Avg Place,Top 4%,Games,Win%
진,S,3.86,22.0%,"1,325,573",17.6%
바드,S,3.95,21.9%,"1,331,077",17.7%
모르가나,S,3.98,19.9%,"968,900",12.9%
나미,S,4.05,13.3%,"1,075,610",14.3%
소나,S,4.08,17.2%,"818,169",10.9%
쉔,S,4.09,17.6%,"1,407,252",18.7%
블리츠크랭크,S,4.11,17.5%,"1,735,494",23.1%
라아스트,S,4.13,15.4%,"2,075,434",27.6%
파이크,S,4.18,11.3%,"804,056",10.7%
빅토르,A,4.21,11.1%,"716,834",9.5%
리산드라,A,4.21,11.2%,"1,322,378",17.6%
킨드레드,A,4.22,10.4%,"856,266",11.4%
리븐,A,4.26,13.2%,"1,151,807",15.3%
제드,A,4.29,17.1%,"116,216",1.5%
코르키,A,4.31,12.1%,"691,191",9.2%
피오라,A,4.32,17.2%,"995,599",13.2%
벨베스,A,4.35,9.5%,"772,875",10.3%
티모,A,4.35,9.3%,"530,237",7.0%
케이틀린,A,4.36,9.0%,"796,758",10.6%
카이사,A,4.37,11.0%,"693,734",9.2%
아칼리,A,4.37,11.9%,"1,707,326",22.7%
렉사이,A,4.37,9.0%,"628,880",8.4%
모데카이저,A,4.37,14.4%,"2,887,723",38.4%
꼬마 정령,A,4.38,12.3%,"1,971,226",26.2%
사미라,A,4.38,14.5%,"534,386",7.1%
벡스,A,4.39,15.6%,"970,701",12.9%
카르마,B,4.40,13.8%,"1,461,568",19.4%
밀리오,B,4.40,11.0%,"589,794",7.8%
거대 메크 로봇,B,4.41,13.4%,"1,322,750",17.6%
그웬,B,4.42,11.6%,"626,573",8.3%
조이,B,4.44,8.9%,"519,311",6.9%
아트록스,B,4.46,10.9%,"1,482,381",19.7%
탈론,B,4.46,9.6%,"596,734",7.9%
잭스,B,4.47,15.5%,"1,685,806",22.4%
자야,B,4.47,18.2%,"1,365,487",18.1%
누누와 윌럼프,B,4.48,16.0%,"2,771,967",36.8%
마오카이,B,4.48,10.6%,"1,588,776",21.1%
일라오이,B,4.50,11.5%,"2,045,216",27.2%
트위스티드 페이트,B,4.52,8.8%,"569,690",7.6%
람머스,B,4.54,15.5%,"1,842,489",24.5%
나르,B,4.54,19.1%,"821,303",10.9%
나서스,B,4.55,9.5%,"758,679",10.1%
우르곳,B,4.55,12.3%,"1,030,888",13.7%
오른,B,4.58,11.5%,"1,103,545",14.7%
아우렐리온 솔,B,4.58,15.3%,"443,858",5.9%
르블랑,B,4.58,9.8%,"549,908",7.3%
레오나,C,4.62,8.5%,"786,014",10.4%
피즈,C,4.62,11.3%,"498,091",6.6%
뽀삐,C,4.64,11.7%,"575,703",7.6%
탐 켄치,C,4.64,13.2%,"1,637,067",21.7%
마스터 이,C,4.66,10.9%,"526,108",7.0%
초가스,C,4.67,10.6%,"509,589",6.8%
베이가,C,4.67,12.1%,"304,209",4.0%
그레이브즈,C,4.68,14.7%,"707,315",9.4%
오로라,C,4.69,11.6%,"730,981",9.7%
브라이어,C,4.70,8.3%,"694,440",9.2%
판테온,C,4.75,11.2%,"803,941",10.7%
그라가스,D,4.86,6.5%,"338,067",4.5%
미스 포츈,D,4.87,6.8%,"160,028",2.1%
룰루,D,4.89,9.4%,"241,116",3.2%
이즈리얼,D,4.99,10.7%,"256,474",3.4%
다이애나,D,5.22,7.2%,"127,240",1.7%
징크스,D,6.19,7.1%,"175,616",2.3%
