Unit,Cost,Avg Place,Top 4%,Games,Win%
모르가나,S,3.89,19.2%,"32,166",21.9%
쉔,S,4.03,17.5%,"44,702",30.4%
소나,S,4.07,16.6%,"19,485",13.3%
바드,S,4.07,16.5%,"33,956",23.1%
피오라,S,4.11,17.8%,"31,107",21.2%
진,S,4.11,17.1%,"13,484",9.2%
나미,S,4.15,14.5%,"20,133",13.7%
블리츠크랭크,S,4.15,16.4%,"42,324",28.8%
라아스트,S,4.18,13.3%,"23,583",16.1%
파이크,A,4.21,11.3%,"13,273",9.0%
리산드라,A,4.22,11.8%,"16,613",11.3%
제드,A,4.25,17.4%,"1,677",1.1%
벡스,A,4.29,16.3%,"26,327",17.9%
리븐,A,4.31,14.8%,"25,448",17.3%
빅토르,A,4.34,11.0%,"16,263",11.1%
그웬,A,4.34,14.3%,"12,900",8.8%
벨베스,A,4.35,12.0%,"12,237",8.3%
킨드레드,A,4.38,11.9%,"18,522",12.6%
코르키,A,4.38,13.8%,"12,461",8.5%
카르마,B,4.41,12.5%,"41,965",28.6%
아트록스,B,4.42,12.9%,"36,184",24.6%
꼬마 정령,B,4.43,11.9%,"49,453",33.7%
탈론,B,4.43,11.2%,"7,915",5.4%
티모,B,4.43,11.6%,"5,496",3.7%
사미라,B,4.44,14.1%,"7,181",4.9%
아칼리,B,4.44,13.4%,"31,513",21.5%
모데카이저,B,4.44,11.5%,"49,328",33.6%
케이틀린,B,4.44,10.1%,"13,567",9.2%
밀리오,B,4.45,13.1%,"11,297",7.7%
아우렐리온 솔,B,4.46,14.6%,"20,237",13.8%
거대 메크 로봇,B,4.46,14.2%,"30,375",20.7%
렉사이,B,4.48,9.0%,"5,169",3.5%
일라오이,B,4.48,11.1%,"38,852",26.4%
누누와 윌럼프,B,4.49,13.1%,"46,699",31.8%
탐 켄치,B,4.50,15.2%,"45,402",30.9%
우르곳,B,4.53,13.6%,"24,603",16.7%
피즈,B,4.54,12.6%,"10,994",7.5%
자야,B,4.54,13.3%,"12,284",8.4%
마오카이,B,4.54,11.8%,"32,713",22.3%
오른,B,4.55,11.9%,"23,124",15.7%
잭스,B,4.55,11.8%,"17,326",11.8%
마스터 이,B,4.56,12.3%,"19,482",13.3%
그레이브즈,B,4.56,15.4%,"21,386",14.6%
판테온,B,4.57,13.8%,"17,441",11.9%
베이가,B,4.57,14.3%,"4,398",3.0%
르블랑,B,4.58,10.1%,"22,438",15.3%
트위스티드 페이트,B,4.58,9.8%,"7,747",5.3%
카이사,B,4.59,9.8%,"6,192",4.2%
나서스,C,4.61,11.6%,"12,898",8.8%
조이,C,4.61,8.3%,"10,577",7.2%
람머스,C,4.63,11.9%,"34,615",23.6%
뽀삐,C,4.66,12.4%,"11,422",7.8%
나르,C,4.68,13.9%,"6,566",4.5%
레오나,C,4.69,9.2%,"19,929",13.6%
브라이어,C,4.70,8.5%,"5,158",3.5%
미스 포츈,D,4.81,6.3%,"3,646",2.5%
이즈리얼,D,4.82,12.1%,"4,207",2.9%
그라가스,D,4.84,6.8%,"7,452",5.1%
오로라,D,4.87,14.7%,"6,255",4.3%
초가스,D,4.87,11.5%,"4,639",3.2%
룰루,D,4.90,9.3%,"4,249",2.9%
다이애나,D,5.02,12.8%,"3,650",2.5%
징크스,D,5.19,12.9%,"3,654",2.5%
