Unit,Cost,Avg Place,Top 4%,Games,Win%
진,S,3.92,20.9%,"939,659",16.4%
바드,S,3.96,20.7%,"1,063,125",18.5%
모르가나,S,4.00,19.4%,"873,985",15.2%
소나,S,4.04,17.5%,"612,713",10.7%
쉔,S,4.06,17.7%,"1,311,113",22.8%
나미,S,4.09,13.2%,"849,056",14.8%
블리츠크랭크,S,4.12,17.2%,"1,456,251",25.4%
라아스트,S,4.17,15.2%,"1,339,951",23.3%
파이크,S,4.18,11.5%,"646,076",11.2%
제드,A,4.21,17.9%,"88,724",1.5%
리산드라,A,4.22,11.0%,"967,273",16.8%
빅토르,A,4.23,11.1%,"560,458",9.8%
킨드레드,A,4.24,10.4%,"596,592",10.4%
리븐,A,4.26,13.7%,"950,479",16.5%
케이틀린,A,4.29,9.6%,"663,946",11.6%
피오라,A,4.29,17.4%,"888,267",15.5%
코르키,A,4.31,12.2%,"560,454",9.8%
벨베스,A,4.35,9.7%,"498,614",8.7%
벡스,A,4.37,15.9%,"834,938",14.5%
모데카이저,A,4.37,13.8%,"2,164,762",37.7%
티모,A,4.38,9.4%,"345,689",6.0%
렉사이,A,4.38,8.8%,"383,420",6.7%
꼬마 정령,A,4.38,12.1%,"1,637,638",28.5%
아칼리,A,4.39,12.3%,"1,155,418",20.1%
카르마,A,4.39,13.5%,"1,199,515",20.9%
밀리오,A,4.40,11.5%,"479,172",8.3%
사미라,B,4.41,14.0%,"436,711",7.6%
아트록스,B,4.41,11.5%,"1,309,849",22.8%
그웬,B,4.43,12.2%,"485,666",8.5%
탈론,B,4.44,10.1%,"430,979",7.5%
자야,B,4.45,16.9%,"1,016,186",17.7%
거대 메크 로봇,B,4.46,13.8%,"900,556",15.7%
마오카이,B,4.47,10.8%,"1,121,424",19.5%
누누와 윌럼프,B,4.47,15.3%,"2,145,833",37.4%
잭스,B,4.47,14.6%,"1,241,750",21.6%
카이사,B,4.48,10.3%,"396,828",6.9%
조이,B,4.49,8.8%,"396,079",6.9%
일라오이,B,4.50,11.2%,"1,510,678",26.3%
람머스,B,4.52,14.5%,"1,533,762",26.7%
트위스티드 페이트,B,4.53,9.0%,"413,532",7.2%
나르,B,4.54,17.7%,"616,135",10.7%
오른,B,4.57,11.5%,"962,623",16.8%
나서스,B,4.57,9.8%,"588,591",10.2%
르블랑,B,4.58,9.8%,"493,168",8.6%
피즈,B,4.59,11.4%,"433,258",7.5%
우르곳,C,4.60,13.1%,"642,262",11.2%
아우렐리온 솔,C,4.61,15.8%,"374,848",6.5%
뽀삐,C,4.62,11.6%,"492,971",8.6%
베이가,C,4.63,12.1%,"240,096",4.2%
레오나,C,4.64,8.7%,"614,434",10.7%
마스터 이,C,4.64,11.3%,"436,312",7.6%
그레이브즈,C,4.65,14.9%,"649,722",11.3%
탐 켄치,C,4.66,13.7%,"1,306,232",22.7%
초가스,C,4.70,10.5%,"350,598",6.1%
판테온,C,4.71,11.9%,"665,970",11.6%
브라이어,C,4.75,8.1%,"421,165",7.3%
오로라,C,4.79,11.8%,"403,372",7.0%
미스 포츈,D,4.86,6.9%,"104,313",1.8%
룰루,D,4.87,9.5%,"186,246",3.2%
그라가스,D,4.89,6.2%,"238,414",4.2%
이즈리얼,D,4.93,11.3%,"214,821",3.7%
다이애나,D,5.19,8.2%,"105,688",1.8%
징크스,D,6.00,8.2%,"136,130",2.4%
