Unit,Cost,Avg Place,Top 4%,Games,Win%
진,S,3.94,20.4%,"804,900",15.8%
바드,S,3.97,20.3%,"969,735",19.0%
모르가나,S,4.00,19.4%,"818,487",16.0%
소나,S,4.03,17.6%,"549,360",10.8%
쉔,S,4.05,17.8%,"1,233,647",24.2%
나미,S,4.10,13.3%,"765,507",15.0%
블리츠크랭크,S,4.12,17.3%,"1,337,052",26.2%
제드,S,4.18,18.7%,"78,337",1.5%
라아스트,S,4.18,15.0%,"1,108,869",21.7%
파이크,S,4.20,11.4%,"583,331",11.4%
리산드라,A,4.22,11.0%,"855,824",16.8%
킨드레드,A,4.25,10.5%,"537,382",10.5%
빅토르,A,4.25,11.0%,"508,506",10.0%
리븐,A,4.26,13.8%,"868,259",17.0%
케이틀린,A,4.28,9.7%,"604,192",11.8%
피오라,A,4.28,17.4%,"831,353",16.3%
코르키,A,4.31,12.3%,"504,465",9.9%
벨베스,A,4.34,9.7%,"440,982",8.6%
벡스,A,4.35,16.1%,"774,184",15.2%
모데카이저,A,4.37,13.5%,"1,915,291",37.6%
티모,A,4.38,9.5%,"287,629",5.6%
꼬마 정령,A,4.38,12.1%,"1,516,315",29.7%
렉사이,A,4.39,8.8%,"331,715",6.5%
카르마,A,4.40,13.5%,"1,097,004",21.5%
아트록스,A,4.40,11.7%,"1,207,676",23.7%
밀리오,B,4.40,11.6%,"432,130",8.5%
아칼리,B,4.41,12.4%,"974,569",19.1%
사미라,B,4.41,13.9%,"390,354",7.7%
그웬,B,4.42,12.5%,"444,840",8.7%
탈론,B,4.43,10.3%,"375,655",7.4%
자야,B,4.45,16.6%,"871,370",17.1%
누누와 윌럼프,B,4.46,15.1%,"1,894,378",37.1%
잭스,B,4.47,14.3%,"1,070,109",21.0%
마오카이,B,4.48,10.7%,"956,800",18.8%
거대 메크 로봇,B,4.49,14.0%,"749,188",14.7%
일라오이,B,4.50,11.2%,"1,347,121",26.4%
조이,B,4.50,8.7%,"352,375",6.9%
카이사,B,4.51,10.2%,"327,264",6.4%
람머스,B,4.51,14.2%,"1,389,499",27.2%
트위스티드 페이트,B,4.53,9.1%,"361,493",7.1%
나르,B,4.54,17.3%,"533,832",10.5%
오른,B,4.56,11.5%,"882,876",17.3%
르블랑,B,4.57,9.8%,"463,605",9.1%
나서스,B,4.58,10.1%,"525,923",10.3%
피즈,B,4.58,11.5%,"399,330",7.8%
베이가,C,4.61,12.2%,"220,339",4.3%
뽀삐,C,4.62,11.6%,"456,912",9.0%
마스터 이,C,4.63,11.4%,"403,914",7.9%
아우렐리온 솔,C,4.63,15.8%,"342,686",6.7%
그레이브즈,C,4.63,15.0%,"612,172",12.0%
레오나,C,4.64,8.7%,"554,526",10.9%
우르곳,C,4.65,13.3%,"510,925",10.0%
탐 켄치,C,4.66,13.8%,"1,197,690",23.5%
판테온,C,4.69,12.1%,"610,627",12.0%
초가스,C,4.72,10.4%,"299,916",5.9%
브라이어,C,4.74,8.1%,"361,441",7.1%
미스 포츈,D,4.86,6.8%,"94,035",1.8%
룰루,D,4.87,9.6%,"166,852",3.3%
오로라,D,4.89,11.8%,"295,687",5.8%
그라가스,D,4.89,6.2%,"213,994",4.2%
이즈리얼,D,4.92,11.3%,"193,431",3.8%
다이애나,D,5.16,8.7%,"99,050",1.9%
징크스,D,5.90,8.7%,"123,239",2.4%
