Unit,Cost,Avg Place,Top 4%,Games,Win%
모르가나,S,3.96,19.5%,"279,999",18.7%
진,S,4.01,17.4%,"187,209",12.5%
소나,S,4.03,17.6%,"168,201",11.3%
쉔,S,4.04,18.0%,"425,131",28.4%
바드,S,4.05,17.9%,"296,475",19.8%
나미,S,4.11,14.1%,"217,658",14.6%
블리츠크랭크,S,4.12,17.3%,"418,558",28.0%
라아스트,S,4.15,14.6%,"290,060",19.4%
제드,S,4.16,19.6%,"21,790",1.5%
리산드라,S,4.19,11.6%,"211,764",14.2%
파이크,A,4.21,11.3%,"168,633",11.3%
피오라,A,4.23,17.5%,"284,096",19.0%
리븐,A,4.27,14.4%,"269,278",18.0%
벡스,A,4.28,17.1%,"255,840",17.1%
킨드레드,A,4.30,11.0%,"172,249",11.5%
빅토르,A,4.30,11.3%,"170,440",11.4%
코르키,A,4.33,13.0%,"142,348",9.5%
케이틀린,A,4.33,10.1%,"172,247",11.5%
벨베스,A,4.34,10.5%,"128,459",8.6%
사미라,A,4.37,14.7%,"99,658",6.7%
꼬마 정령,A,4.37,12.6%,"502,275",33.6%
렉사이,A,4.38,9.4%,"85,351",5.7%
모데카이저,A,4.39,12.4%,"532,681",35.6%
카르마,B,4.40,13.4%,"383,116",25.6%
밀리오,B,4.41,12.5%,"130,025",8.7%
그웬,B,4.41,13.0%,"136,269",9.1%
아트록스,B,4.41,12.5%,"371,690",24.9%
자야,B,4.41,14.3%,"182,707",12.2%
탈론,B,4.42,10.8%,"98,493",6.6%
아칼리,B,4.44,13.0%,"293,405",19.6%
티모,B,4.44,10.4%,"61,079",4.1%
일라오이,B,4.46,11.4%,"386,121",25.8%
누누와 윌럼프,B,4.46,13.8%,"501,877",33.6%
잭스,B,4.48,12.4%,"242,555",16.2%
카이사,B,4.49,10.8%,"89,862",6.0%
람머스,B,4.51,13.1%,"390,723",26.1%
오른,B,4.53,12.2%,"259,767",17.4%
피즈,B,4.53,12.5%,"123,382",8.3%
마오카이,B,4.54,11.2%,"281,988",18.9%
트위스티드 페이트,B,4.56,9.6%,"99,175",6.6%
거대 메크 로봇,B,4.58,13.8%,"234,633",15.7%
르블랑,B,4.58,10.0%,"181,227",12.1%
조이,B,4.59,8.8%,"103,096",6.9%
나르,B,4.60,14.1%,"105,078",7.0%
브라이어,B,4.60,9.0%,"88,294",5.9%
그레이브즈,C,4.61,15.2%,"198,160",13.3%
나서스,C,4.62,11.0%,"137,866",9.2%
베이가,C,4.63,12.7%,"47,868",3.2%
뽀삐,C,4.63,12.0%,"131,553",8.8%
판테온,C,4.64,12.6%,"182,701",12.2%
마스터 이,C,4.64,11.3%,"150,332",10.1%
탐 켄치,C,4.65,13.8%,"399,980",26.8%
레오나,C,4.68,9.3%,"177,173",11.9%
아우렐리온 솔,C,4.69,14.5%,"132,785",8.9%
우르곳,C,4.75,12.7%,"169,932",11.4%
초가스,C,4.76,11.1%,"72,490",4.9%
오로라,D,4.85,14.3%,"68,335",4.6%
룰루,D,4.87,9.7%,"51,122",3.4%
이즈리얼,D,4.87,11.8%,"52,883",3.5%
미스 포츈,D,4.88,7.0%,"30,452",2.0%
그라가스,D,4.89,6.5%,"67,353",4.5%
다이애나,D,4.97,11.8%,"34,012",2.3%
징크스,D,5.35,12.0%,"36,345",2.4%
