Unit,Cost,Avg Place,Top 4%,Games,Win%
모르가나,S,3.89,19.2%,"30,817",22.0%
쉔,S,4.03,17.5%,"42,689",30.5%
소나,S,4.06,16.7%,"18,701",13.4%
바드,S,4.07,16.6%,"32,327",23.1%
피오라,S,4.11,17.8%,"29,778",21.3%
진,S,4.11,17.1%,"12,857",9.2%
나미,S,4.15,14.3%,"19,098",13.6%
블리츠크랭크,S,4.15,16.4%,"40,433",28.9%
라아스트,S,4.18,13.3%,"22,344",16.0%
파이크,A,4.21,11.3%,"12,575",9.0%
리산드라,A,4.21,11.9%,"15,770",11.3%
제드,A,4.26,17.2%,"1,611",1.2%
벡스,A,4.29,16.3%,"25,149",18.0%
리븐,A,4.32,14.7%,"24,167",17.3%
빅토르,A,4.34,10.9%,"15,476",11.1%
벨베스,A,4.35,11.9%,"11,676",8.3%
그웬,A,4.35,14.1%,"12,294",8.8%
킨드레드,A,4.38,11.8%,"17,716",12.7%
코르키,A,4.39,13.8%,"11,845",8.5%
카르마,B,4.41,12.5%,"39,995",28.6%
아트록스,B,4.42,12.9%,"34,586",24.7%
꼬마 정령,B,4.43,11.9%,"47,051",33.6%
탈론,B,4.43,11.2%,"7,497",5.4%
티모,B,4.43,11.7%,"5,237",3.7%
사미라,B,4.44,14.0%,"6,849",4.9%
아칼리,B,4.44,13.4%,"30,147",21.5%
모데카이저,B,4.44,11.5%,"46,913",33.5%
케이틀린,B,4.45,10.0%,"12,899",9.2%
밀리오,B,4.46,13.1%,"10,719",7.7%
아우렐리온 솔,B,4.46,14.6%,"19,312",13.8%
거대 메크 로봇,B,4.46,14.2%,"29,023",20.7%
일라오이,B,4.48,11.1%,"36,961",26.4%
렉사이,B,4.49,8.9%,"4,916",3.5%
누누와 윌럼프,B,4.50,13.1%,"44,563",31.8%
탐 켄치,B,4.50,15.1%,"43,343",31.0%
우르곳,B,4.53,13.6%,"23,511",16.8%
자야,B,4.54,13.4%,"11,698",8.4%
피즈,B,4.54,12.6%,"10,469",7.5%
마오카이,B,4.54,11.9%,"31,284",22.3%
잭스,B,4.55,11.9%,"16,466",11.8%
오른,B,4.55,11.9%,"22,021",15.7%
마스터 이,B,4.55,12.4%,"18,654",13.3%
베이가,B,4.56,14.4%,"4,179",3.0%
그레이브즈,B,4.56,15.5%,"20,501",14.6%
판테온,B,4.57,13.6%,"16,574",11.8%
트위스티드 페이트,B,4.58,9.9%,"7,341",5.2%
르블랑,B,4.58,10.1%,"21,410",15.3%
카이사,B,4.60,9.5%,"5,864",4.2%
조이,C,4.61,8.4%,"10,017",7.2%
나서스,C,4.61,11.5%,"12,288",8.8%
람머스,C,4.63,11.9%,"32,989",23.6%
뽀삐,C,4.65,12.5%,"10,903",7.8%
나르,C,4.68,13.8%,"6,233",4.5%
레오나,C,4.69,9.2%,"18,998",13.6%
브라이어,C,4.72,8.3%,"4,900",3.5%
미스 포츈,D,4.81,6.4%,"3,508",2.5%
이즈리얼,D,4.83,11.7%,"3,966",2.8%
그라가스,D,4.84,6.8%,"7,137",5.1%
오로라,D,4.88,14.6%,"5,979",4.3%
초가스,D,4.88,11.3%,"4,400",3.1%
룰루,D,4.89,9.4%,"4,022",2.9%
다이애나,D,5.03,12.7%,"3,479",2.5%
징크스,D,5.20,12.8%,"3,492",2.5%
