Unit,Cost,Avg Place,Top 4%,Games,Win%
태고족 우두머리,S,1.00,100.0%,1,0.0%
모르가나,S,3.50,23.7%,"6,393",13.8%
진,S,3.64,22.3%,"8,063",17.4%
쉔,S,3.83,19.4%,"7,899",17.0%
소나,S,3.86,18.3%,"5,236",11.3%
바드,S,3.90,19.3%,"7,227",15.6%
블리츠크랭크,S,3.93,18.7%,"8,968",19.3%
피오라,S,3.96,18.6%,"7,231",15.6%
라아스트,S,4.14,15.2%,"10,304",22.2%
벡스,S,4.15,19.1%,"4,234",9.1%
티모,S,4.15,11.8%,"2,898",6.2%
리븐,S,4.17,15.5%,"9,512",20.5%
킨드레드,A,4.21,12.0%,"9,002",19.4%
제드,A,4.25,23.6%,700,1.5%
탈론,A,4.28,12.1%,"3,294",7.1%
코르키,A,4.29,12.6%,"5,454",11.7%
케이틀린,A,4.29,11.2%,"3,439",7.4%
밀리오,A,4.31,14.2%,"6,380",13.7%
카이사,A,4.31,13.6%,"7,104",15.3%
트위스티드 페이트,A,4.32,11.8%,"3,371",7.3%
벨베스,A,4.34,10.8%,"7,731",16.6%
그레이브즈,A,4.35,17.6%,"3,398",7.3%
카르마,A,4.36,14.0%,"11,090",23.9%
렉사이,A,4.36,10.7%,"4,316",9.3%
아트록스,A,4.37,13.4%,"8,545",18.4%
탐 켄치,A,4.38,15.3%,"13,638",29.3%
나미,A,4.38,10.6%,"4,284",9.2%
브라이어,B,4.40,10.0%,"3,985",8.6%
아칼리,B,4.43,12.3%,"12,927",27.8%
모데카이저,B,4.43,12.9%,"15,571",33.5%
마스터 이,B,4.44,11.4%,"6,641",14.3%
거대 메크 로봇,B,4.44,13.4%,"8,475",18.2%
누누와 윌럼프,B,4.45,14.1%,"13,761",29.6%
자야,B,4.46,15.9%,"5,197",11.2%
조이,B,4.47,10.2%,"3,611",7.8%
잭스,B,4.47,13.3%,"7,371",15.9%
그웬,B,4.47,10.5%,"2,947",6.3%
아우렐리온 솔,B,4.48,18.8%,"1,963",4.2%
초가스,B,4.49,14.7%,"6,574",14.1%
리산드라,B,4.50,11.0%,"8,175",17.6%
마오카이,B,4.52,12.3%,"14,146",30.4%
나서스,B,4.52,10.1%,"3,532",7.6%
일라오이,B,4.54,10.8%,"11,413",24.6%
꼬마 정령,B,4.55,11.3%,"11,813",25.4%
르블랑,B,4.57,10.5%,"4,098",8.8%
우르곳,B,4.57,12.3%,"9,217",19.8%
람머스,B,4.57,12.4%,"9,595",20.6%
이즈리얼,B,4.60,17.2%,"3,430",7.4%
판테온,C,4.60,14.2%,"7,004",15.1%
레오나,C,4.60,9.6%,"5,677",12.2%
피즈,C,4.61,11.1%,"4,009",8.6%
그라가스,C,4.61,9.8%,"4,852",10.4%
파이크,C,4.62,8.9%,"2,494",5.4%
베이가,C,4.67,12.4%,"1,929",4.2%
뽀삐,C,4.67,11.1%,"4,115",8.9%
룰루,C,4.70,11.8%,"1,563",3.4%
사미라,C,4.71,12.8%,"1,767",3.8%
나르,C,4.72,14.7%,"2,856",6.1%
빅토르,D,4.81,7.3%,"1,868",4.0%
오로라,D,4.88,10.4%,"3,429",7.4%
오른,D,4.88,9.6%,"4,036",8.7%
미스 포츈,D,5.19,7.0%,"1,018",2.2%
다이애나,D,5.33,7.4%,"1,027",2.2%
징크스,D,5.36,11.2%,823,1.8%
