Unit,Cost,Avg Place,Top 4%,Games,Win%
모르가나,S,3.95,19.5%,"101,182",19.1%
진,S,4.01,17.5%,"63,450",11.9%
소나,S,4.03,17.5%,"61,258",11.5%
쉔,S,4.03,17.9%,"154,025",29.0%
바드,S,4.06,17.7%,"106,951",20.1%
나미,S,4.11,14.3%,"76,980",14.5%
블리츠크랭크,S,4.12,17.2%,"148,805",28.0%
라아스트,S,4.13,14.5%,"97,799",18.4%
리산드라,S,4.17,11.9%,"71,756",13.5%
제드,S,4.20,18.8%,"7,576",1.4%
파이크,A,4.21,11.3%,"58,902",11.1%
피오라,A,4.23,17.2%,"104,052",19.6%
벡스,A,4.26,17.1%,"91,216",17.2%
리븐,A,4.28,14.5%,"96,040",18.1%
코르키,A,4.31,13.1%,"49,766",9.4%
빅토르,A,4.32,11.3%,"61,602",11.6%
킨드레드,A,4.32,10.9%,"62,332",11.7%
케이틀린,A,4.34,10.2%,"59,169",11.1%
벨베스,A,4.34,10.7%,"45,529",8.6%
사미라,A,4.35,14.7%,"34,344",6.5%
꼬마 정령,A,4.36,12.6%,"180,108",33.9%
렉사이,A,4.37,9.6%,"28,403",5.3%
모데카이저,A,4.39,12.4%,"187,552",35.3%
밀리오,A,4.39,12.6%,"44,893",8.5%
그웬,A,4.39,13.4%,"47,364",8.9%
카르마,B,4.41,13.3%,"141,075",26.6%
자야,B,4.41,14.1%,"61,189",11.5%
아트록스,B,4.42,12.5%,"131,190",24.7%
탈론,B,4.43,10.8%,"34,765",6.5%
아칼리,B,4.45,13.0%,"104,964",19.8%
일라오이,B,4.46,11.4%,"138,561",26.1%
티모,B,4.46,10.6%,"20,161",3.8%
카이사,B,4.46,11.2%,"29,500",5.6%
누누와 윌럼프,B,4.47,13.6%,"177,367",33.4%
잭스,B,4.48,12.2%,"81,196",15.3%
피즈,B,4.51,12.8%,"43,132",8.1%
람머스,B,4.52,13.0%,"135,207",25.5%
오른,B,4.52,12.3%,"90,676",17.1%
마오카이,B,4.54,11.3%,"100,765",19.0%
트위스티드 페이트,B,4.56,9.6%,"33,594",6.3%
브라이어,B,4.59,9.3%,"29,335",5.5%
르블랑,B,4.59,9.8%,"67,581",12.7%
거대 메크 로봇,C,4.60,13.5%,"87,661",16.5%
조이,C,4.61,8.7%,"37,573",7.1%
그레이브즈,C,4.61,15.0%,"70,699",13.3%
나서스,C,4.61,11.2%,"47,636",9.0%
판테온,C,4.62,13.0%,"63,716",12.0%
나르,C,4.62,13.8%,"33,585",6.3%
뽀삐,C,4.63,12.0%,"46,631",8.8%
베이가,C,4.63,12.8%,"16,850",3.2%
탐 켄치,C,4.64,13.8%,"146,759",27.6%
마스터 이,C,4.65,11.1%,"57,493",10.8%
레오나,C,4.68,9.2%,"64,124",12.1%
아우렐리온 솔,C,4.71,14.0%,"52,404",9.9%
초가스,C,4.76,11.4%,"23,148",4.4%
우르곳,C,4.77,12.3%,"66,345",12.5%
오로라,D,4.84,14.4%,"23,723",4.5%
이즈리얼,D,4.85,12.6%,"18,047",3.4%
룰루,D,4.88,9.7%,"19,083",3.6%
미스 포츈,D,4.89,6.8%,"11,133",2.1%
그라가스,D,4.89,6.2%,"24,022",4.5%
다이애나,D,4.94,12.2%,"11,915",2.2%
징크스,D,5.29,12.2%,"12,633",2.4%
