Unit,Cost,Avg Place,Top 4%,Games,Win%
모르가나,S,3.92,19.2%,"104,692",20.5%
쉔,S,4.05,17.4%,"149,724",29.3%
바드,S,4.06,16.8%,"112,194",22.0%
소나,S,4.06,16.5%,"62,698",12.3%
진,S,4.10,16.8%,"49,630",9.7%
나미,S,4.10,14.4%,"73,076",14.3%
피오라,S,4.14,17.8%,"108,006",21.2%
블리츠크랭크,S,4.15,16.4%,"143,059",28.0%
라아스트,S,4.16,13.2%,"84,262",16.5%
파이크,S,4.18,11.1%,"51,761",10.1%
리산드라,S,4.20,11.3%,"62,704",12.3%
빅토르,A,4.28,11.2%,"60,424",11.8%
벡스,A,4.30,16.0%,"87,547",17.2%
리븐,A,4.32,14.8%,"87,411",17.1%
제드,A,4.34,16.8%,"6,030",1.2%
그웬,A,4.37,14.2%,"43,855",8.6%
코르키,A,4.38,13.7%,"43,645",8.6%
사미라,A,4.39,14.5%,"27,416",5.4%
카르마,A,4.39,13.1%,"145,733",28.6%
벨베스,A,4.39,11.3%,"42,042",8.2%
킨드레드,A,4.39,11.5%,"62,082",12.2%
꼬마 정령,A,4.40,11.9%,"170,851",33.5%
모데카이저,B,4.42,11.6%,"173,461",34.0%
아우렐리온 솔,B,4.44,15.2%,"71,209",14.0%
탈론,B,4.44,10.8%,"29,675",5.8%
티모,B,4.44,11.0%,"18,670",3.7%
일라오이,B,4.45,11.1%,"136,384",26.7%
거대 메크 로봇,B,4.46,14.5%,"104,649",20.5%
아트록스,B,4.46,12.4%,"123,030",24.1%
케이틀린,B,4.46,9.8%,"50,346",9.9%
밀리오,B,4.46,13.0%,"39,267",7.7%
아칼리,B,4.49,13.0%,"104,750",20.5%
누누와 윌럼프,B,4.49,13.1%,"161,829",31.7%
자야,B,4.51,13.4%,"44,556",8.7%
렉사이,B,4.52,8.6%,"20,243",4.0%
탐 켄치,B,4.53,15.1%,"158,062",31.0%
우르곳,B,4.54,13.9%,"84,798",16.6%
오른,B,4.54,12.2%,"79,927",15.7%
잭스,B,4.55,11.4%,"62,245",12.2%
르블랑,B,4.55,10.3%,"74,398",14.6%
피즈,B,4.56,12.9%,"36,843",7.2%
마스터 이,B,4.58,12.1%,"64,067",12.6%
마오카이,B,4.59,11.4%,"105,959",20.8%
조이,B,4.59,8.8%,"38,595",7.6%
트위스티드 페이트,B,4.59,9.3%,"28,600",5.6%
그레이브즈,C,4.60,15.0%,"70,136",13.7%
판테온,C,4.60,13.7%,"58,925",11.5%
나서스,C,4.60,11.6%,"44,432",8.7%
카이사,C,4.61,10.1%,"22,681",4.4%
베이가,C,4.62,13.5%,"14,590",2.9%
람머스,C,4.63,12.1%,"115,600",22.7%
뽀삐,C,4.66,12.4%,"39,189",7.7%
레오나,C,4.67,9.4%,"67,351",13.2%
나르,C,4.70,13.6%,"22,585",4.4%
브라이어,C,4.74,8.2%,"20,604",4.0%
미스 포츈,D,4.82,6.9%,"11,495",2.3%
그라가스,D,4.88,6.6%,"23,643",4.6%
오로라,D,4.88,14.1%,"22,256",4.4%
이즈리얼,D,4.89,11.9%,"15,392",3.0%
초가스,D,4.91,10.6%,"17,945",3.5%
룰루,D,4.92,9.3%,"15,556",3.0%
다이애나,D,5.04,12.1%,"11,866",2.3%
징크스,D,5.29,12.2%,"12,242",2.4%
