Unit,Cost,Avg Place,Top 4%,Games,Win%
진,S,3.95,19.6%,"668,466",15.1%
모르가나,S,3.99,19.6%,"740,933",16.8%
바드,S,3.99,19.7%,"852,263",19.3%
소나,S,4.03,17.6%,"478,577",10.8%
쉔,S,4.05,17.9%,"1,121,314",25.4%
나미,S,4.11,13.4%,"669,051",15.1%
블리츠크랭크,S,4.12,17.3%,"1,185,035",26.8%
제드,S,4.17,19.0%,"66,939",1.5%
라아스트,S,4.18,14.8%,"929,889",21.0%
파이크,A,4.22,11.3%,"510,371",11.5%
리산드라,A,4.22,11.1%,"730,682",16.5%
킨드레드,A,4.25,10.6%,"479,200",10.8%
피오라,A,4.26,17.6%,"747,892",16.9%
리븐,A,4.26,13.9%,"773,382",17.5%
빅토르,A,4.28,11.0%,"457,885",10.4%
케이틀린,A,4.29,9.8%,"526,148",11.9%
코르키,A,4.32,12.3%,"434,188",9.8%
벡스,A,4.33,16.5%,"694,770",15.7%
벨베스,A,4.34,9.8%,"387,186",8.8%
모데카이저,A,4.38,13.2%,"1,647,170",37.2%
렉사이,A,4.38,8.9%,"288,087",6.5%
꼬마 정령,A,4.38,12.2%,"1,366,349",30.9%
티모,A,4.40,9.7%,"231,321",5.2%
아트록스,A,4.40,11.9%,"1,066,128",24.1%
카르마,A,4.40,13.5%,"990,451",22.4%
사미라,B,4.40,14.2%,"329,925",7.5%
그웬,B,4.41,12.6%,"395,976",9.0%
밀리오,B,4.42,11.8%,"381,429",8.6%
아칼리,B,4.42,12.5%,"830,530",18.8%
자야,B,4.43,16.1%,"706,373",16.0%
탈론,B,4.44,10.3%,"316,848",7.2%
누누와 윌럼프,B,4.46,14.8%,"1,599,052",36.2%
잭스,B,4.47,13.8%,"879,764",19.9%
일라오이,B,4.49,11.3%,"1,163,858",26.3%
마오카이,B,4.50,10.8%,"814,076",18.4%
카이사,B,4.50,10.3%,"285,165",6.4%
람머스,B,4.51,13.9%,"1,207,123",27.3%
조이,B,4.51,8.9%,"300,151",6.8%
거대 메크 로봇,B,4.52,14.1%,"633,586",14.3%
트위스티드 페이트,B,4.54,9.1%,"309,389",7.0%
나르,B,4.55,16.5%,"434,283",9.8%
오른,B,4.55,11.7%,"777,939",17.6%
르블랑,B,4.56,10.0%,"426,765",9.6%
피즈,B,4.57,11.7%,"354,408",8.0%
나서스,B,4.58,10.3%,"450,288",10.2%
베이가,C,4.60,12.3%,"184,399",4.2%
그레이브즈,C,4.62,15.2%,"548,545",12.4%
뽀삐,C,4.62,11.7%,"400,724",9.1%
마스터 이,C,4.62,11.5%,"364,965",8.3%
아우렐리온 솔,C,4.64,15.7%,"309,660",7.0%
레오나,C,4.65,8.9%,"484,941",11.0%
탐 켄치,C,4.65,13.9%,"1,077,084",24.4%
판테온,C,4.68,12.2%,"544,532",12.3%
우르곳,C,4.69,13.4%,"421,806",9.5%
브라이어,C,4.70,8.3%,"309,220",7.0%
초가스,C,4.73,10.5%,"255,243",5.8%
룰루,D,4.87,9.7%,"144,025",3.3%
미스 포츈,D,4.87,6.6%,"82,705",1.9%
그라가스,D,4.89,6.3%,"187,929",4.2%
이즈리얼,D,4.91,11.3%,"170,167",3.8%
오로라,D,4.96,12.2%,"224,208",5.1%
다이애나,D,5.12,9.6%,"91,433",2.1%
징크스,D,5.76,9.5%,"108,265",2.4%
