Unit,Cost,Avg Place,Top 4%,Games,Win%
모르가나,S,3.96,19.7%,"501,944",18.2%
진,S,4.00,17.9%,"364,167",13.2%
소나,S,4.03,17.7%,"305,144",11.0%
바드,S,4.03,18.4%,"540,993",19.6%
쉔,S,4.04,18.0%,"764,143",27.6%
블리츠크랭크,S,4.11,17.4%,"766,160",27.7%
나미,S,4.12,13.8%,"410,129",14.8%
라아스트,S,4.16,14.6%,"554,272",20.1%
제드,S,4.16,19.3%,"40,404",1.5%
리산드라,A,4.21,11.5%,"413,459",15.0%
파이크,A,4.22,11.2%,"315,601",11.4%
피오라,A,4.23,17.6%,"506,647",18.3%
리븐,A,4.27,14.2%,"496,160",18.0%
벡스,A,4.28,17.1%,"462,832",16.7%
킨드레드,A,4.28,10.8%,"314,126",11.4%
빅토르,A,4.31,11.2%,"309,487",11.2%
코르키,A,4.32,12.8%,"263,498",9.5%
케이틀린,A,4.33,9.9%,"324,838",11.8%
벨베스,A,4.34,10.2%,"240,234",8.7%
사미라,A,4.37,14.7%,"189,338",6.9%
꼬마 정령,A,4.38,12.5%,"912,094",33.0%
렉사이,A,4.38,9.1%,"167,250",6.1%
모데카이저,A,4.39,12.6%,"997,737",36.1%
카르마,B,4.40,13.5%,"686,341",24.8%
그웬,B,4.41,12.9%,"253,089",9.2%
아트록스,B,4.41,12.3%,"683,366",24.7%
자야,B,4.41,14.7%,"361,008",13.1%
밀리오,B,4.42,12.2%,"242,201",8.8%
티모,B,4.43,10.3%,"122,307",4.4%
탈론,B,4.43,10.6%,"186,133",6.7%
아칼리,B,4.43,12.9%,"533,545",19.3%
누누와 윌럼프,B,4.46,14.1%,"937,592",33.9%
일라오이,B,4.47,11.4%,"715,865",25.9%
잭스,B,4.48,12.7%,"473,120",17.1%
카이사,B,4.49,10.6%,"173,283",6.3%
람머스,B,4.51,13.3%,"733,002",26.5%
오른,B,4.53,12.1%,"484,417",17.5%
마오카이,B,4.53,11.1%,"518,364",18.8%
피즈,B,4.54,12.3%,"225,907",8.2%
거대 메크 로봇,B,4.56,14.0%,"420,485",15.2%
트위스티드 페이트,B,4.56,9.4%,"187,871",6.8%
르블랑,B,4.57,10.1%,"314,948",11.4%
조이,B,4.57,8.9%,"187,818",6.8%
나르,B,4.58,14.6%,"213,024",7.7%
그레이브즈,C,4.60,15.2%,"358,529",13.0%
나서스,C,4.61,10.8%,"263,282",9.5%
베이가,C,4.62,12.6%,"94,071",3.4%
브라이어,C,4.62,8.7%,"174,198",6.3%
뽀삐,C,4.63,11.9%,"243,992",8.8%
마스터 이,C,4.64,11.4%,"261,900",9.5%
탐 켄치,C,4.65,13.9%,"721,220",26.1%
판테온,C,4.66,12.4%,"342,823",12.4%
레오나,C,4.67,9.3%,"319,626",11.6%
아우렐리온 솔,C,4.67,15.0%,"227,475",8.2%
우르곳,C,4.74,13.0%,"293,653",10.6%
초가스,C,4.76,10.9%,"144,005",5.2%
룰루,D,4.86,9.8%,"91,655",3.3%
미스 포츈,D,4.88,6.9%,"55,254",2.0%
오로라,D,4.89,13.9%,"129,441",4.7%
이즈리얼,D,4.89,11.6%,"101,939",3.7%
그라가스,D,4.89,6.5%,"123,569",4.5%
다이애나,D,5.01,11.4%,"62,523",2.3%
징크스,D,5.43,11.5%,"67,524",2.4%
