Unit,Cost,Avg Place,Top 4%,Games,Win%
모르가나,S,3.48,24.6%,"4,984",13.2%
진,S,3.72,20.9%,"6,575",17.4%
쉔,S,3.78,20.1%,"6,038",16.0%
소나,S,3.89,18.3%,"4,221",11.2%
피오라,S,3.89,19.3%,"6,327",16.8%
바드,S,3.99,18.4%,"5,803",15.4%
제드,S,4.01,24.5%,550,1.5%
블리츠크랭크,S,4.04,17.2%,"7,196",19.1%
라아스트,S,4.09,16.3%,"8,114",21.5%
킨드레드,S,4.11,13.0%,"7,670",20.3%
티모,S,4.19,11.0%,"2,584",6.8%
벡스,A,4.22,18.1%,"3,469",9.2%
벨베스,A,4.23,12.2%,"6,873",18.2%
마스터 이,A,4.24,13.2%,"5,953",15.8%
리븐,A,4.27,13.7%,"8,097",21.4%
케이틀린,A,4.28,11.4%,"2,527",6.7%
코르키,A,4.31,12.6%,"4,601",12.2%
렉사이,A,4.31,10.3%,"3,150",8.3%
탐 켄치,A,4.32,15.2%,"11,096",29.4%
탈론,A,4.34,11.4%,"2,646",7.0%
브라이어,A,4.36,9.9%,"2,905",7.7%
아트록스,A,4.36,13.9%,"6,744",17.9%
그라가스,A,4.36,12.3%,"4,629",12.3%
나미,B,4.40,11.0%,"3,151",8.3%
카이사,B,4.40,12.3%,"6,186",16.4%
아칼리,B,4.41,12.6%,"9,501",25.2%
트위스티드 페이트,B,4.42,11.7%,"3,332",8.8%
카르마,B,4.43,13.4%,"9,380",24.8%
우르곳,B,4.44,13.3%,"7,795",20.6%
마오카이,B,4.44,13.2%,"11,614",30.8%
밀리오,B,4.45,12.8%,"6,067",16.1%
거대 메크 로봇,B,4.46,13.4%,"6,876",18.2%
그레이브즈,B,4.47,17.3%,"2,618",6.9%
모데카이저,B,4.48,12.4%,"12,894",34.1%
나서스,B,4.49,9.6%,"2,841",7.5%
조이,B,4.49,9.2%,"3,104",8.2%
누누와 윌럼프,B,4.50,13.7%,"11,321",30.0%
자야,B,4.51,15.9%,"3,888",10.3%
그웬,B,4.52,10.6%,"1,951",5.2%
잭스,B,4.52,13.3%,"6,323",16.7%
리산드라,B,4.53,10.5%,"6,903",18.3%
아우렐리온 솔,B,4.55,18.4%,"1,405",3.7%
레오나,B,4.55,9.8%,"4,708",12.5%
일라오이,B,4.56,11.2%,"9,572",25.3%
꼬마 정령,B,4.57,11.6%,"9,641",25.5%
초가스,B,4.60,12.4%,"5,864",15.5%
람머스,B,4.60,12.3%,"7,427",19.7%
피즈,B,4.60,11.5%,"3,380",8.9%
르블랑,C,4.61,9.6%,"3,359",8.9%
룰루,C,4.66,13.9%,"1,859",4.9%
뽀삐,C,4.68,11.4%,"3,409",9.0%
베이가,C,4.68,13.4%,"1,334",3.5%
파이크,C,4.69,8.5%,"1,699",4.5%
나르,C,4.71,15.6%,"2,091",5.5%
판테온,C,4.72,12.1%,"5,923",15.7%
빅토르,C,4.76,9.0%,"1,088",2.9%
사미라,D,4.80,12.5%,"1,228",3.3%
오른,D,4.87,10.3%,"2,739",7.3%
이즈리얼,D,4.90,13.2%,"2,545",6.7%
오로라,D,4.91,10.8%,"2,394",6.3%
미스 포츈,D,4.95,11.2%,699,1.9%
다이애나,D,5.03,11.3%,629,1.7%
징크스,D,5.09,14.8%,582,1.5%
