Unit,Cost,Avg Place,Top 4%,Games,Win%
진,S,3.89,21.4%,"1,177,704",17.4%
바드,S,3.96,21.3%,"1,209,765",17.9%
모르가나,S,3.98,19.7%,"931,485",13.8%
소나,S,4.06,17.3%,"726,726",10.7%
나미,S,4.07,13.2%,"982,834",14.5%
쉔,S,4.08,17.7%,"1,368,250",20.2%
블리츠크랭크,S,4.12,17.3%,"1,610,554",23.8%
라아스트,S,4.14,15.3%,"1,790,104",26.4%
파이크,S,4.18,11.4%,"739,012",10.9%
빅토르,A,4.21,11.3%,"649,762",9.6%
리산드라,A,4.21,11.1%,"1,163,266",17.2%
킨드레드,A,4.22,10.5%,"734,944",10.9%
리븐,A,4.26,13.4%,"1,082,673",16.0%
제드,A,4.27,17.2%,"104,549",1.5%
코르키,A,4.30,12.1%,"642,148",9.5%
피오라,A,4.31,17.4%,"939,908",13.9%
케이틀린,A,4.34,9.3%,"736,630",10.9%
벨베스,A,4.34,9.7%,"643,047",9.5%
렉사이,A,4.36,9.1%,"516,382",7.6%
티모,A,4.36,9.4%,"447,786",6.6%
아칼리,A,4.37,12.2%,"1,496,097",22.1%
모데카이저,A,4.37,14.1%,"2,586,342",38.2%
벡스,A,4.38,15.7%,"905,126",13.4%
꼬마 정령,A,4.38,12.2%,"1,821,462",26.9%
사미라,A,4.40,14.3%,"495,346",7.3%
밀리오,A,4.40,11.2%,"556,135",8.2%
카이사,B,4.40,10.8%,"573,267",8.5%
카르마,B,4.40,13.7%,"1,347,234",19.9%
거대 메크 로봇,B,4.43,13.5%,"1,158,478",17.1%
그웬,B,4.44,11.8%,"553,319",8.2%
아트록스,B,4.44,11.3%,"1,405,445",20.8%
조이,B,4.46,8.9%,"460,115",6.8%
탈론,B,4.47,9.8%,"527,824",7.8%
마오카이,B,4.47,10.8%,"1,400,556",20.7%
자야,B,4.47,17.5%,"1,236,473",18.3%
누누와 윌럼프,B,4.48,15.7%,"2,515,620",37.1%
잭스,B,4.48,15.0%,"1,514,171",22.4%
일라오이,B,4.50,11.4%,"1,802,619",26.6%
트위스티드 페이트,B,4.53,8.9%,"503,436",7.4%
람머스,B,4.53,14.9%,"1,717,762",25.4%
나르,B,4.55,18.2%,"737,225",10.9%
우르곳,B,4.56,12.6%,"883,963",13.1%
나서스,B,4.56,9.6%,"679,406",10.0%
오른,B,4.57,11.5%,"1,048,688",15.5%
르블랑,B,4.58,9.8%,"522,032",7.7%
아우렐리온 솔,B,4.58,15.6%,"416,993",6.2%
피즈,C,4.60,11.3%,"470,007",6.9%
레오나,C,4.63,8.6%,"703,823",10.4%
뽀삐,C,4.63,11.6%,"533,657",7.9%
탐 켄치,C,4.65,13.4%,"1,496,251",22.1%
마스터 이,C,4.66,11.1%,"479,659",7.1%
그레이브즈,C,4.66,14.8%,"669,117",9.9%
베이가,C,4.67,11.9%,"266,221",3.9%
초가스,C,4.69,10.6%,"437,990",6.5%
오로라,C,4.70,11.7%,"609,933",9.0%
브라이어,C,4.71,8.4%,"568,786",8.4%
판테온,C,4.74,11.5%,"746,397",11.0%
미스 포츈,D,4.87,6.9%,"124,227",1.8%
룰루,D,4.89,9.4%,"216,032",3.2%
그라가스,D,4.89,6.3%,"282,215",4.2%
이즈리얼,D,4.96,11.2%,"242,737",3.6%
다이애나,D,5.22,7.5%,"115,841",1.7%
징크스,D,6.12,7.5%,"156,492",2.3%
