Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
우주 그루브 상징,B,4.21,-0.20,16.4%,142740,5.2%,리븐 | 탐 켄치 | 쉔 | 누누와 윌럼프 | 그레이브즈
여행자 상징,B,4.18,-0.16,16.0%,51619,1.9%,일라오이 | 모데카이저 | 바드 | 블리츠크랭크 | 탐 켄치
불한당 상징,B,4.22,-0.15,14.2%,48863,1.8%,라아스트 | 카르마 | 블리츠크랭크 | 코르키 | 피오라
선봉대 상징,B,4.29,-0.13,14.8%,57731,2.1%,꼬마 정령 | 르블랑 | 람머스 | 탐 켄치 | 오른
시간 균열자 상징,B,4.29,-0.12,16.0%,41262,1.5%,블리츠크랭크 | 진 | 자야 | 쉔 | 탐 켄치
길잡이 상징,B,4.31,-0.11,13.8%,35884,1.3%,카르마 | 모데카이저 | 블리츠크랭크 | 레오나 | 누누와 윌럼프
암흑의 별 상징,C,4.38,-0.09,13.6%,52840,1.9%,자야 | 리븐 | 블리츠크랭크 | 바드 | 탐 켄치
N.O.V.A. 상징,C,4.44,-0.08,11.5%,106633,3.9%,마스터 이 | 피오라 | 벨베스 | 그레이브즈 | 쉔
별돌보미 상징,C,4.46,-0.08,13.9%,114508,4.1%,진 | 리븐 | 쉔 | 람머스 | 모데카이저
습격자 상징,C,4.40,-0.08,13.6%,35620,1.3%,킨드레드 | 그레이브즈 | 리븐 | 쉔 | 블리츠크랭크
요새 상징,C,4.44,-0.07,13.1%,49732,1.8%,누누와 윌럼프 | 탐 켄치 | 블리츠크랭크 | 리븐 | 마오카이
태고족 상징,C,4.42,-0.06,11.8%,24256,0.9%,마오카이 | 아칼리 | 탐 켄치 | 아트록스 | 누누와 윌럼프
싸움꾼 상징,C,4.46,-0.06,13.0%,43871,1.6%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 리븐 | 오른
초능력 상징,C,4.57,-0.02,11.0%,35269,1.3%,피오라 | 일라오이 | 블리츠크랭크 | 라아스트 | 탐 켄치
정령족 상징,C,4.60,-0.01,14.8%,53657,1.9%,리븐 | 쉔 | 누누와 윌럼프 | 거대 메크 로봇 | 블리츠크랭크
저격수 상징,C,4.60,-0.01,13.1%,34707,1.3%,바드 | 그레이브즈 | 카르마 | 코르키 | 리븐
도전자 상징,D,4.71,+0.03,10.4%,37217,1.3%,마스터 이 | 피오라 | 아칼리 | 르블랑 | 그레이브즈
중재자 상징,D,4.85,+0.07,9.1%,32686,1.2%,카르마 | 일라오이 | 누누와 윌럼프 | 블리츠크랭크 | 모데카이저
동물특공대 상징,D,5.41,+0.24,10.1%,23978,0.9%,모데카이저 | 꼬마 정령 | 탐 켄치 | 누누와 윌럼프 | 블리츠크랭크
