Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
전략가의 왕관,S,2.96,-1.54,31.0%,32886,0.6%,리산드라 | 카르마 | 바드 | 케이틀린 | 소나
여행자 상징,B,4.18,-0.16,16.1%,104310,1.8%,모데카이저 | 라아스트 | 일라오이 | 바드 | 블리츠크랭크
우주 그루브 상징,B,4.31,-0.15,15.2%,294982,5.1%,리븐 | 탐 켄치 | 쉔 | 누누와 윌럼프 | 그레이브즈
불한당 상징,B,4.28,-0.13,13.3%,97821,1.7%,라아스트 | 카르마 | 블리츠크랭크 | 코르키 | 진
별돌보미 상징,B,4.37,-0.12,15.4%,269511,4.6%,진 | 리븐 | 람머스 | 바드 | 모데카이저
선봉대 상징,B,4.33,-0.11,14.6%,114015,2.0%,르블랑 | 람머스 | 탐 켄치 | 꼬마 정령 | 리븐
길잡이 상징,C,4.33,-0.10,13.3%,73215,1.3%,카르마 | 모데카이저 | 블리츠크랭크 | 누누와 윌럼프 | 바드
시간 균열자 상징,C,4.34,-0.10,15.1%,82962,1.4%,블리츠크랭크 | 진 | 자야 | 쉔 | 코르키
암흑의 별 상징,C,4.39,-0.09,14.1%,131444,2.3%,자야 | 리븐 | 블리츠크랭크 | 바드 | 그레이브즈
N.O.V.A. 상징,C,4.43,-0.08,11.3%,176545,3.0%,마스터 이 | 피오라 | 벨베스 | 그레이브즈 | 브라이어
습격자 상징,C,4.44,-0.06,13.1%,74102,1.3%,킨드레드 | 그레이브즈 | 리븐 | 쉔 | 거대 메크 로봇
싸움꾼 상징,C,4.48,-0.05,12.9%,86896,1.5%,누누와 윌럼프 | 거대 메크 로봇 | 마스터 이 | 람머스 | 리븐
요새 상징,C,4.49,-0.05,12.8%,97303,1.7%,누누와 윌럼프 | 탐 켄치 | 리븐 | 블리츠크랭크 | 마오카이
태고족 상징,C,4.49,-0.04,10.8%,50910,0.9%,마오카이 | 아칼리 | 탐 켄치 | 아트록스 | 누누와 윌럼프
초능력 상징,C,4.58,-0.01,10.7%,68759,1.2%,일라오이 | 피오라 | 블리츠크랭크 | 모데카이저 | 라아스트
전략가의 망토,C,4.32,-0.00,13.4%,40456,0.7%,리산드라 | 카르마 | 나르 | 케이틀린 | 바드
전략가의 방패,C,3.93,-0.00,19.6%,1650,0.0%,아트록스 | 모데카이저 | 꼬마 정령 | 잭스 | 아칼리
저격수 상징,D,4.63,+0.00,13.0%,73113,1.3%,바드 | 그레이브즈 | 카르마 | 코르키 | 블리츠크랭크
정령족 상징,D,4.64,+0.01,14.6%,116035,2.0%,리븐 | 누누와 윌럼프 | 일라오이 | 블리츠크랭크 | 리산드라
도전자 상징,D,4.74,+0.04,10.1%,72622,1.2%,마스터 이 | 피오라 | 아칼리 | 그레이브즈 | 르블랑
중재자 상징,D,4.89,+0.08,8.7%,65283,1.1%,카르마 | 일라오이 | 누누와 윌럼프 | 블리츠크랭크 | 모데카이저
동물특공대 상징,D,5.51,+0.27,9.9%,51616,0.9%,모데카이저 | 탐 켄치 | 누누와 윌럼프 | 꼬마 정령 | 마오카이
