Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
우주 그루브 상징,A,4.01,-0.29,19.0%,7382,5.0%,리븐 | 쉔 | 진 | 누누와 윌럼프 | 일라오이
여행자 상징,A,3.94,-0.27,17.9%,3380,2.3%,일라오이 | 모데카이저 | 바드 | 블리츠크랭크 | 피오라
습격자 상징,B,4.13,-0.18,17.3%,2456,1.6%,킨드레드 | 그레이브즈 | 브라이어 | 리븐 | 쉔
선봉대 상징,B,4.19,-0.17,15.4%,3855,2.6%,꼬마 정령 | 오른 | 초가스 | 탐 켄치 | 람머스
길잡이 상징,B,4.16,-0.17,15.1%,2517,1.7%,카르마 | 모데카이저 | 레오나 | 블리츠크랭크 | 바드
시간 균열자 상징,B,4.17,-0.17,16.9%,2546,1.7%,진 | 탐 켄치 | 자야 | 모데카이저 | 쉔
불한당 상징,B,4.21,-0.15,15.0%,2986,2.0%,라아스트 | 카르마 | 진 | 피오라 | 그레이브즈
싸움꾼 상징,B,4.23,-0.15,15.1%,3151,2.1%,모데카이저 | 거대 메크 로봇 | 아트록스 | 람머스 | 오른
N.O.V.A. 상징,B,4.34,-0.14,13.5%,9066,6.1%,마스터 이 | 피오라 | 그레이브즈 | 벨베스 | 쉔
요새 상징,B,4.30,-0.13,13.9%,3414,2.3%,꼬마 정령 | 마오카이 | 누누와 윌럼프 | 탐 켄치 | 블리츠크랭크
암흑의 별 상징,B,4.32,-0.11,14.9%,2570,1.7%,자야 | 탐 켄치 | 블리츠크랭크 | 리븐 | 모르가나
태고족 상징,B,4.28,-0.11,13.5%,1420,1.0%,마오카이 | 모데카이저 | 일라오이 | 탐 켄치 | 꼬마 정령
정령족 상징,C,4.42,-0.08,15.8%,3144,2.1%,쉔 | 오른 | 리븐 | 거대 메크 로봇 | 블리츠크랭크
초능력 상징,C,4.44,-0.07,12.3%,2578,1.7%,모데카이저 | 피오라 | 라아스트 | 우르곳 | 꼬마 정령
별돌보미 상징,C,4.52,-0.05,12.6%,5403,3.6%,리븐 | 진 | 쉔 | 블리츠크랭크 | 아트록스
도전자 상징,C,4.60,-0.01,11.4%,2431,1.6%,피오라 | 마스터 이 | 르블랑 | 그레이브즈 | 아칼리
저격수 상징,D,4.65,+0.01,12.1%,1953,1.3%,카이사 | 코르키 | 그레이브즈 | 티모 | 나미
중재자 상징,D,4.75,+0.04,10.7%,2239,1.5%,일라오이 | 모데카이저 | 누누와 윌럼프 | 꼬마 정령 | 카르마
동물특공대 상징,D,5.32,+0.22,9.0%,1391,0.9%,모데카이저 | 꼬마 정령 | 탐 켄치 | 블리츠크랭크 | 누누와 윌럼프
