Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
전략가의 왕관,S,2.96,-1.54,30.7%,39717,0.6%,리산드라 | 카르마 | 바드 | 소나 | 케이틀린
여행자 상징,B,4.17,-0.16,16.2%,122536,1.8%,라아스트 | 모데카이저 | 일라오이 | 우르곳 | 바드
불한당 상징,B,4.27,-0.13,13.1%,114031,1.7%,라아스트 | 카르마 | 블리츠크랭크 | 코르키 | 벨베스
우주 그루브 상징,B,4.35,-0.13,14.8%,322681,4.7%,리븐 | 탐 켄치 | 쉔 | 누누와 윌럼프 | 판테온
별돌보미 상징,B,4.36,-0.12,15.8%,318159,4.6%,진 | 리븐 | 람머스 | 바드 | 모데카이저
선봉대 상징,B,4.35,-0.10,14.4%,130209,1.9%,람머스 | 르블랑 | 탐 켄치 | 꼬마 정령 | 리븐
길잡이 상징,C,4.34,-0.09,13.2%,84049,1.2%,카르마 | 모데카이저 | 블리츠크랭크 | 누누와 윌럼프 | 바드
암흑의 별 상징,C,4.40,-0.09,14.0%,172968,2.5%,자야 | 리븐 | 블리츠크랭크 | 바드 | 이즈리얼
시간 균열자 상징,C,4.37,-0.09,14.7%,94990,1.4%,블리츠크랭크 | 진 | 자야 | 쉔 | 코르키
N.O.V.A. 상징,C,4.47,-0.07,11.0%,190161,2.8%,마스터 이 | 피오라 | 벨베스 | 그레이브즈 | 브라이어
싸움꾼 상징,C,4.46,-0.06,13.0%,101177,1.5%,누누와 윌럼프 | 거대 메크 로봇 | 마스터 이 | 람머스 | 리븐
습격자 상징,C,4.48,-0.05,12.7%,86468,1.3%,킨드레드 | 그레이브즈 | 리븐 | 거대 메크 로봇 | 브라이어
요새 상징,C,4.50,-0.04,12.8%,111152,1.6%,누누와 윌럼프 | 탐 켄치 | 리븐 | 블리츠크랭크 | 마오카이
태고족 상징,C,4.50,-0.04,11.1%,59758,0.9%,마오카이 | 아칼리 | 탐 켄치 | 아트록스 | 누누와 윌럼프
초능력 상징,C,4.60,-0.01,10.6%,77951,1.1%,일라오이 | 블리츠크랭크 | 피오라 | 모데카이저 | 라아스트
전략가의 망토,C,4.32,-0.00,13.5%,47256,0.7%,리산드라 | 나르 | 카르마 | 케이틀린 | 바드
전략가의 방패,C,3.84,-0.00,21.0%,1914,0.0%,아트록스 | 모데카이저 | 아칼리 | 꼬마 정령 | 리산드라
저격수 상징,D,4.63,+0.00,13.4%,85431,1.2%,바드 | 카르마 | 그레이브즈 | 코르키 | 카이사
정령족 상징,D,4.66,+0.01,14.6%,132524,1.9%,리븐 | 누누와 윌럼프 | 일라오이 | 거대 메크 로봇 | 블리츠크랭크
도전자 상징,D,4.77,+0.05,9.9%,83297,1.2%,마스터 이 | 피오라 | 아칼리 | 브라이어 | 그레이브즈
중재자 상징,D,4.89,+0.09,8.7%,74331,1.1%,카르마 | 일라오이 | 누누와 윌럼프 | 모데카이저 | 블리츠크랭크
동물특공대 상징,D,5.54,+0.28,9.9%,59840,0.9%,모데카이저 | 탐 켄치 | 누누와 윌럼프 | 꼬마 정령 | 마오카이
