Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
전략가의 왕관,S,2.96,-1.54,30.1%,45595,0.6%,리산드라 | 카르마 | 소나 | 바드 | 아칼리
여행자 상징,B,4.17,-0.16,16.3%,133218,1.7%,라아스트 | 모데카이저 | 일라오이 | 마오카이 | 바드
별돌보미 상징,B,4.35,-0.13,16.2%,346592,4.5%,진 | 람머스 | 리븐 | 바드 | 모데카이저
불한당 상징,B,4.26,-0.13,13.4%,122260,1.6%,라아스트 | 카르마 | 블리츠크랭크 | 벨베스 | 코르키
우주 그루브 상징,B,4.37,-0.12,14.8%,336072,4.4%,리븐 | 탐 켄치 | 누누와 윌럼프 | 쉔 | 판테온
선봉대 상징,B,4.35,-0.10,14.7%,139906,1.8%,람머스 | 르블랑 | 꼬마 정령 | 탐 켄치 | 리븐
암흑의 별 상징,C,4.38,-0.10,14.1%,194471,2.5%,자야 | 리븐 | 블리츠크랭크 | 바드 | 이즈리얼
길잡이 상징,C,4.35,-0.09,13.2%,91442,1.2%,카르마 | 모데카이저 | 블리츠크랭크 | 누누와 윌럼프 | 바드
시간 균열자 상징,C,4.39,-0.08,14.6%,101572,1.3%,블리츠크랭크 | 진 | 자야 | 쉔 | 나미
N.O.V.A. 상징,C,4.49,-0.06,10.9%,197964,2.6%,마스터 이 | 피오라 | 벨베스 | 그레이브즈 | 브라이어
싸움꾼 상징,C,4.47,-0.05,12.9%,109615,1.4%,누누와 윌럼프 | 거대 메크 로봇 | 마스터 이 | 람머스 | 라아스트
습격자 상징,C,4.49,-0.04,12.3%,95829,1.3%,킨드레드 | 그레이브즈 | 리븐 | 거대 메크 로봇 | 브라이어
요새 상징,C,4.51,-0.04,12.8%,117476,1.5%,누누와 윌럼프 | 탐 켄치 | 블리츠크랭크 | 리븐 | 마오카이
태고족 상징,C,4.52,-0.03,10.8%,65532,0.9%,마오카이 | 아칼리 | 탐 켄치 | 누누와 윌럼프 | 아트록스
전략가의 망토,C,4.31,-0.00,13.9%,50804,0.7%,리산드라 | 나르 | 카르마 | 아칼리 | 바드
전략가의 방패,C,3.75,-0.00,20.8%,2197,0.0%,모데카이저 | 아칼리 | 아트록스 | 꼬마 정령 | 리산드라
초능력 상징,C,4.62,-0.00,10.6%,83182,1.1%,일라오이 | 모데카이저 | 블리츠크랭크 | 피오라 | 라아스트
저격수 상징,D,4.63,+0.00,13.3%,91648,1.2%,바드 | 카르마 | 그레이브즈 | 카이사 | 코르키
정령족 상징,D,4.67,+0.02,14.6%,145255,1.9%,리븐 | 누누와 윌럼프 | 일라오이 | 거대 메크 로봇 | 리산드라
도전자 상징,D,4.78,+0.05,9.9%,90410,1.2%,마스터 이 | 피오라 | 브라이어 | 아칼리 | 그레이브즈
중재자 상징,D,4.89,+0.08,8.7%,80898,1.1%,일라오이 | 카르마 | 누누와 윌럼프 | 모데카이저 | 나서스
동물특공대 상징,D,5.54,+0.28,10.0%,64974,0.9%,모데카이저 | 탐 켄치 | 누누와 윌럼프 | 꼬마 정령 | 마오카이
