Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
우주 그루브 상징,A,4.14,-0.23,17.3%,25937,4.9%,리븐 | 탐 켄치 | 쉔 | 누누와 윌럼프 | 그레이브즈
여행자 상징,B,4.16,-0.17,15.8%,10189,1.9%,바드 | 일라오이 | 모데카이저 | 우르곳 | 블리츠크랭크
불한당 상징,B,4.22,-0.15,14.2%,9360,1.8%,라아스트 | 카르마 | 블리츠크랭크 | 코르키 | 피오라
시간 균열자 상징,B,4.25,-0.13,16.7%,8000,1.5%,블리츠크랭크 | 쉔 | 자야 | 진 | 탐 켄치
선봉대 상징,B,4.33,-0.11,14.5%,11414,2.1%,르블랑 | 꼬마 정령 | 탐 켄치 | 람머스 | 리븐
길잡이 상징,B,4.29,-0.11,14.1%,6981,1.3%,카르마 | 블리츠크랭크 | 모데카이저 | 누누와 윌럼프 | 레오나
습격자 상징,C,4.38,-0.08,14.5%,6974,1.3%,킨드레드 | 그레이브즈 | 리븐 | 쉔 | 블리츠크랭크
암흑의 별 상징,C,4.40,-0.08,13.7%,9352,1.8%,자야 | 리븐 | 블리츠크랭크 | 바드 | 르블랑
요새 상징,C,4.42,-0.08,13.2%,10183,1.9%,누누와 윌럼프 | 탐 켄치 | 리븐 | 블리츠크랭크 | 마오카이
N.O.V.A. 상징,C,4.46,-0.07,11.5%,23244,4.4%,마스터 이 | 피오라 | 그레이브즈 | 벨베스 | 쉔
태고족 상징,C,4.39,-0.07,12.1%,4741,0.9%,마오카이 | 탐 켄치 | 아칼리 | 아트록스 | 누누와 윌럼프
별돌보미 상징,C,4.47,-0.07,13.6%,21311,4.0%,진 | 리븐 | 쉔 | 모데카이저 | 블리츠크랭크
싸움꾼 상징,C,4.46,-0.06,13.0%,8638,1.6%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 마스터 이 | 리븐
초능력 상징,C,4.56,-0.02,11.0%,7082,1.3%,피오라 | 탐 켄치 | 일라오이 | 블리츠크랭크 | 라아스트
정령족 상징,C,4.57,-0.02,14.7%,10154,1.9%,리븐 | 쉔 | 블리츠크랭크 | 탐 켄치 | 누누와 윌럼프
저격수 상징,C,4.59,-0.01,12.7%,6739,1.3%,바드 | 그레이브즈 | 리븐 | 코르키 | 나미
도전자 상징,D,4.67,+0.01,10.4%,7497,1.4%,마스터 이 | 피오라 | 그레이브즈 | 아칼리 | 르블랑
중재자 상징,D,4.80,+0.06,8.9%,6491,1.2%,카르마 | 누누와 윌럼프 | 일라오이 | 블리츠크랭크 | 모데카이저
동물특공대 상징,D,5.31,+0.21,9.9%,4502,0.8%,모데카이저 | 꼬마 정령 | 탐 켄치 | 누누와 윌럼프 | 블리츠크랭크
