Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
전략가의 왕관,S,2.98,-1.52,30.9%,24780,0.6%,리산드라 | 케이틀린 | 카르마 | 바드 | 소나
우주 그루브 상징,B,4.26,-0.17,15.7%,239769,5.4%,리븐 | 탐 켄치 | 쉔 | 누누와 윌럼프 | 그레이브즈
여행자 상징,B,4.18,-0.16,15.9%,80796,1.8%,일라오이 | 모데카이저 | 블리츠크랭크 | 바드 | 라아스트
불한당 상징,B,4.25,-0.14,13.9%,77209,1.7%,라아스트 | 카르마 | 블리츠크랭크 | 코르키 | 피오라
선봉대 상징,B,4.30,-0.12,14.6%,89995,2.0%,꼬마 정령 | 람머스 | 탐 켄치 | 르블랑 | 오른
길잡이 상징,B,4.30,-0.11,13.5%,57001,1.3%,카르마 | 모데카이저 | 블리츠크랭크 | 누누와 윌럼프 | 레오나
시간 균열자 상징,B,4.33,-0.10,15.4%,66015,1.5%,블리츠크랭크 | 진 | 자야 | 쉔 | 탐 켄치
별돌보미 상징,B,4.40,-0.10,14.8%,199327,4.5%,진 | 리븐 | 람머스 | 쉔 | 모데카이저
암흑의 별 상징,C,4.38,-0.09,13.7%,90998,2.0%,자야 | 리븐 | 블리츠크랭크 | 바드 | 탐 켄치
N.O.V.A. 상징,C,4.43,-0.08,11.4%,149559,3.3%,마스터 이 | 피오라 | 벨베스 | 그레이브즈 | 브라이어
습격자 상징,C,4.42,-0.07,13.1%,57080,1.3%,킨드레드 | 그레이브즈 | 리븐 | 쉔 | 파이크
요새 상징,C,4.48,-0.05,13.0%,77609,1.7%,누누와 윌럼프 | 탐 켄치 | 블리츠크랭크 | 리븐 | 꼬마 정령
싸움꾼 상징,C,4.47,-0.05,13.0%,67805,1.5%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 리븐 | 오른
태고족 상징,C,4.46,-0.05,11.1%,39255,0.9%,마오카이 | 아칼리 | 탐 켄치 | 아트록스 | 누누와 윌럼프
초능력 상징,C,4.58,-0.02,10.8%,54795,1.2%,피오라 | 일라오이 | 라아스트 | 블리츠크랭크 | 모데카이저
전략가의 망토,C,4.31,-0.00,13.4%,31390,0.7%,리산드라 | 카르마 | 나르 | 케이틀린 | 바드
정령족 상징,C,4.62,-0.00,14.7%,90052,2.0%,리븐 | 누누와 윌럼프 | 쉔 | 일라오이 | 블리츠크랭크
전략가의 방패,C,3.86,-0.00,19.9%,1304,0.0%,꼬마 정령 | 모데카이저 | 아트록스 | 카르마 | 오른
저격수 상징,D,4.63,+0.00,12.8%,55940,1.2%,바드 | 그레이브즈 | 카르마 | 코르키 | 블리츠크랭크
도전자 상징,D,4.73,+0.03,10.4%,57884,1.3%,마스터 이 | 피오라 | 아칼리 | 르블랑 | 그레이브즈
중재자 상징,D,4.88,+0.08,8.7%,51114,1.1%,카르마 | 일라오이 | 누누와 윌럼프 | 블리츠크랭크 | 모데카이저
동물특공대 상징,D,5.47,+0.26,10.0%,39683,0.9%,모데카이저 | 꼬마 정령 | 탐 켄치 | 누누와 윌럼프 | 블리츠크랭크
