Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
전략가의 왕관,S,3.00,-1.50,30.8%,20269,0.5%,리산드라 | 케이틀린 | 카르마 | 바드 | 소나
우주 그루브 상징,B,4.24,-0.19,16.1%,198324,5.3%,리븐 | 탐 켄치 | 쉔 | 누누와 윌럼프 | 그레이브즈
여행자 상징,B,4.18,-0.16,16.1%,68317,1.8%,일라오이 | 모데카이저 | 바드 | 블리츠크랭크 | 탐 켄치
불한당 상징,B,4.23,-0.15,14.1%,65359,1.8%,라아스트 | 카르마 | 블리츠크랭크 | 코르키 | 피오라
선봉대 상징,B,4.28,-0.13,14.8%,76492,2.0%,꼬마 정령 | 람머스 | 르블랑 | 탐 켄치 | 오른
시간 균열자 상징,B,4.31,-0.11,15.7%,55790,1.5%,블리츠크랭크 | 진 | 자야 | 쉔 | 탐 켄치
길잡이 상징,B,4.30,-0.11,13.7%,48142,1.3%,카르마 | 모데카이저 | 블리츠크랭크 | 레오나 | 누누와 윌럼프
암흑의 별 상징,C,4.38,-0.09,13.7%,73894,2.0%,자야 | 리븐 | 블리츠크랭크 | 바드 | 탐 켄치
별돌보미 상징,C,4.43,-0.09,14.4%,160147,4.3%,진 | 리븐 | 람머스 | 쉔 | 모데카이저
N.O.V.A. 상징,C,4.43,-0.09,11.5%,133302,3.6%,마스터 이 | 피오라 | 벨베스 | 그레이브즈 | 벡스
습격자 상징,C,4.41,-0.07,13.4%,47934,1.3%,킨드레드 | 그레이브즈 | 리븐 | 쉔 | 파이크
요새 상징,C,4.45,-0.06,13.1%,65971,1.8%,누누와 윌럼프 | 탐 켄치 | 블리츠크랭크 | 리븐 | 마오카이
싸움꾼 상징,C,4.46,-0.06,13.2%,58014,1.6%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 리븐 | 오른
태고족 상징,C,4.43,-0.06,11.5%,32712,0.9%,마오카이 | 아칼리 | 탐 켄치 | 아트록스 | 누누와 윌럼프
초능력 상징,C,4.57,-0.02,10.9%,46477,1.2%,피오라 | 일라오이 | 라아스트 | 블리츠크랭크 | 모데카이저
정령족 상징,C,4.61,-0.01,14.8%,74200,2.0%,리븐 | 쉔 | 누누와 윌럼프 | 거대 메크 로봇 | 일라오이
전략가의 망토,C,4.31,-0.00,13.6%,26320,0.7%,리산드라 | 카르마 | 케이틀린 | 나르 | 바드
저격수 상징,C,4.61,-0.00,13.2%,46776,1.3%,바드 | 그레이브즈 | 카르마 | 코르키 | 나미
전략가의 방패,C,3.96,-0.00,19.2%,1033,0.0%,모데카이저 | 꼬마 정령 | 아트록스 | 카르마 | 오른
도전자 상징,D,4.72,+0.03,10.4%,49140,1.3%,마스터 이 | 피오라 | 아칼리 | 르블랑 | 그레이브즈
중재자 상징,D,4.87,+0.08,8.9%,43343,1.2%,카르마 | 일라오이 | 누누와 윌럼프 | 블리츠크랭크 | 모데카이저
동물특공대 상징,D,5.45,+0.25,10.1%,32927,0.9%,모데카이저 | 꼬마 정령 | 탐 켄치 | 누누와 윌럼프 | 블리츠크랭크
