Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
전략가의 왕관,S,2.97,-1.53,30.2%,43230,0.6%,리산드라 | 카르마 | 바드 | 소나 | 아칼리
여행자 상징,B,4.18,-0.16,16.3%,129498,1.8%,라아스트 | 모데카이저 | 일라오이 | 바드 | 마오카이
불한당 상징,B,4.26,-0.13,13.3%,119641,1.6%,라아스트 | 카르마 | 블리츠크랭크 | 코르키 | 벨베스
별돌보미 상징,B,4.35,-0.13,16.0%,337476,4.6%,진 | 리븐 | 람머스 | 바드 | 모데카이저
우주 그루브 상징,B,4.36,-0.12,14.9%,332806,4.5%,리븐 | 탐 켄치 | 누누와 윌럼프 | 쉔 | 판테온
선봉대 상징,B,4.35,-0.10,14.6%,136767,1.9%,람머스 | 르블랑 | 탐 켄치 | 꼬마 정령 | 리븐
암흑의 별 상징,C,4.39,-0.09,14.1%,185912,2.5%,자야 | 리븐 | 블리츠크랭크 | 바드 | 이즈리얼
길잡이 상징,C,4.34,-0.09,13.3%,88504,1.2%,카르마 | 모데카이저 | 블리츠크랭크 | 누누와 윌럼프 | 바드
시간 균열자 상징,C,4.38,-0.08,14.6%,99714,1.4%,블리츠크랭크 | 진 | 자야 | 쉔 | 나미
N.O.V.A. 상징,C,4.48,-0.06,11.0%,195645,2.7%,마스터 이 | 피오라 | 벨베스 | 그레이브즈 | 브라이어
싸움꾼 상징,C,4.47,-0.06,12.9%,106815,1.5%,누누와 윌럼프 | 거대 메크 로봇 | 마스터 이 | 람머스 | 라아스트
습격자 상징,C,4.49,-0.04,12.5%,92354,1.3%,킨드레드 | 그레이브즈 | 리븐 | 거대 메크 로봇 | 브라이어
요새 상징,C,4.50,-0.04,12.9%,115746,1.6%,누누와 윌럼프 | 탐 켄치 | 블리츠크랭크 | 리븐 | 마오카이
태고족 상징,C,4.51,-0.03,11.0%,63489,0.9%,마오카이 | 아칼리 | 탐 켄치 | 누누와 윌럼프 | 아트록스
전략가의 망토,C,4.31,-0.00,13.7%,49603,0.7%,리산드라 | 나르 | 카르마 | 바드 | 아칼리
초능력 상징,C,4.61,-0.00,10.7%,81418,1.1%,일라오이 | 모데카이저 | 블리츠크랭크 | 피오라 | 라아스트
전략가의 방패,C,3.82,-0.00,20.3%,2099,0.0%,모데카이저 | 아칼리 | 아트록스 | 꼬마 정령 | 리산드라
저격수 상징,D,4.64,+0.00,13.3%,89444,1.2%,바드 | 카르마 | 그레이브즈 | 코르키 | 카이사
정령족 상징,D,4.67,+0.02,14.5%,140205,1.9%,리븐 | 누누와 윌럼프 | 일라오이 | 거대 메크 로봇 | 블리츠크랭크
도전자 상징,D,4.78,+0.05,9.9%,88018,1.2%,마스터 이 | 피오라 | 아칼리 | 브라이어 | 그레이브즈
중재자 상징,D,4.89,+0.09,8.6%,78331,1.1%,일라오이 | 카르마 | 누누와 윌럼프 | 모데카이저 | 블리츠크랭크
동물특공대 상징,D,5.55,+0.28,10.0%,63142,0.9%,모데카이저 | 탐 켄치 | 누누와 윌럼프 | 꼬마 정령 | 마오카이
