Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
전략가의 왕관,S,2.96,-1.54,31.1%,36152,0.6%,리산드라 | 카르마 | 바드 | 소나 | 케이틀린
여행자 상징,B,4.18,-0.16,16.2%,113949,1.8%,라아스트 | 모데카이저 | 일라오이 | 바드 | 우르곳
우주 그루브 상징,B,4.33,-0.14,15.1%,309667,4.9%,리븐 | 탐 켄치 | 쉔 | 누누와 윌럼프 | 그레이브즈
불한당 상징,B,4.27,-0.13,13.1%,106275,1.7%,라아스트 | 카르마 | 블리츠크랭크 | 코르키 | 진
별돌보미 상징,B,4.37,-0.12,15.6%,294810,4.6%,진 | 리븐 | 람머스 | 바드 | 모데카이저
선봉대 상징,B,4.34,-0.11,14.5%,122714,1.9%,람머스 | 르블랑 | 탐 켄치 | 꼬마 정령 | 리븐
길잡이 상징,C,4.33,-0.10,13.3%,79085,1.2%,카르마 | 모데카이저 | 블리츠크랭크 | 누누와 윌럼프 | 바드
시간 균열자 상징,C,4.35,-0.09,14.9%,89548,1.4%,블리츠크랭크 | 진 | 자야 | 쉔 | 코르키
암흑의 별 상징,C,4.39,-0.09,14.1%,152454,2.4%,자야 | 리븐 | 블리츠크랭크 | 바드 | 이즈리얼
N.O.V.A. 상징,C,4.45,-0.07,11.2%,183868,2.9%,마스터 이 | 피오라 | 벨베스 | 그레이브즈 | 브라이어
싸움꾼 상징,C,4.47,-0.05,13.0%,94421,1.5%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 마스터 이 | 리븐
습격자 상징,C,4.47,-0.05,13.0%,80510,1.3%,킨드레드 | 그레이브즈 | 리븐 | 거대 메크 로봇 | 진
요새 상징,C,4.49,-0.05,12.8%,104545,1.6%,누누와 윌럼프 | 탐 켄치 | 리븐 | 블리츠크랭크 | 마오카이
태고족 상징,C,4.50,-0.04,11.0%,55504,0.9%,마오카이 | 아칼리 | 탐 켄치 | 누누와 윌럼프 | 아트록스
초능력 상징,C,4.58,-0.02,10.7%,73784,1.2%,일라오이 | 피오라 | 블리츠크랭크 | 모데카이저 | 라아스트
전략가의 망토,C,4.32,-0.00,13.5%,43913,0.7%,리산드라 | 나르 | 카르마 | 케이틀린 | 바드
전략가의 방패,C,3.90,-0.00,20.0%,1761,0.0%,아트록스 | 모데카이저 | 꼬마 정령 | 아칼리 | 잭스
저격수 상징,D,4.63,+0.00,13.2%,79703,1.3%,바드 | 카르마 | 그레이브즈 | 코르키 | 블리츠크랭크
정령족 상징,D,4.65,+0.01,14.6%,124476,2.0%,리븐 | 누누와 윌럼프 | 일라오이 | 블리츠크랭크 | 거대 메크 로봇
도전자 상징,D,4.76,+0.05,10.1%,78282,1.2%,마스터 이 | 피오라 | 아칼리 | 브라이어 | 그레이브즈
중재자 상징,D,4.89,+0.09,8.7%,69940,1.1%,카르마 | 일라오이 | 누누와 윌럼프 | 모데카이저 | 블리츠크랭크
동물특공대 상징,D,5.53,+0.28,9.8%,55935,0.9%,모데카이저 | 탐 켄치 | 누누와 윌럼프 | 꼬마 정령 | 마오카이
